id,region,city,n_files,bldgs_n_tot,a_tot,a_mean,a_med,a_max,a_min,a_25,a_75,a_n_0,a_p_0,a_n_10,a_p_10,height_n,height_p,height_n_inf_0,height_n_0_2,height_n_3_5,height_n_6_10,height_n_11_15,height_n_16_25,height_n_26_inf,height_p_inf_0,height_p_0_2,height_p_3_5,height_p_6_10,height_p_11_15,height_p_16_25,height_p_26_inf,height_mean,height_med,height_max,height_min,age_n,age_p,age_n_0_1800,age_n_1801_1900,age_n_1901_1950,age_n_1951_2000,age_n_2001_2022,age_n_2023_inf,age_p_0_1800,age_p_1801_1900,age_p_1901_1950,age_p_1951_2000,age_p_2001_2022,age_p_2023_inf,age_mean,age_med,age_max,age_min,type_n,type_p,type_n_res,type_n_non_res,type_p_res,type_p_non_res,extra_attribs,const_bldgs_file,const_id_files,n_bldg_buffer,unnamed_0_bits
vmsft24-AUT.1.2.1_1,Burgenland,Eisenstadt,"[1, 1, 1, 1, 1, 1]",4178.0,1501091.669,359.285,160.52,22996.339,5.439,47.415,280.681,0.0,0.0,61.0,0.015,4178.0,1.0,4178.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,[['confidence']],1.0,1.0,268.0,"[0, 0, 0, 0, 0, 0]"
vmsft24-AUT.1.1.1_1,Burgenland,Breitenbrunn am Neusiedler See,"[1, 1, 1, 1, 1, 1]",1631.0,321248.125,196.964,79.02,6947.356,5.758,31.117,231.262,0.0,0.0,30.0,0.018,1631.0,1.0,1631.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,[['confidence']],1.0,1.0,205.0,"[0, 0, 0, 0, 0, 0]"
vmsft24-AUT.1.1.2_1,Burgenland,Donnerskirchen,"[1, 1, 1, 1, 1, 1]",1195.0,273508.549,228.877,121.276,8929.999,6.097,39.54,238.784,0.0,0.0,22.0,0.018,1195.0,1.0,1195.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,[['confidence']],1.0,1.0,17.0,"[0, 0, 0, 0, 0, 0]"
vmsft24-AUT.1.1.3_1,Burgenland,Großhöflein,"[1, 1, 1, 1, 1, 1]",1071.0,232339.23,216.937,152.488,2967.171,7.03,41.119,252.728,0.0,0.0,20.0,0.019,1071.0,1.0,1071.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,[['confidence']],1.0,1.0,579.0,"[0, 0, 0, 0, 0, 0]"
vmsft24-AUT.1.1.4_1,Burgenland,Hornstein,"[1, 1, 1, 1, 1, 1]",2935.0,495967.598,168.984,99.9,9196.106,5.454,36.069,186.786,0.0,0.0,54.0,0.018,2935.0,1.0,2935.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,[['confidence']],1.0,1.0,1468.0,"[0, 0, 0, 0, 0, 0]"
vmsft24-AUT.1.1.5_1,Burgenland,Klingenbach,"[1, 1, 1, 1, 1, 1]",559.0,125079.02,223.755,160.091,2197.208,5.077,45.279,288.797,0.0,0.0,10.0,0.018,559.0,1.0,559.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,[['confidence']],1.0,1.0,242.0,"[0, 0, 0, 0, 0, 0]"
vmsft24-AUT.1.1.6_1,Burgenland,Leithaprodersdorf,"[1, 1, 1, 1, 1, 1]",1070.0,324176.365,302.969,115.898,14180.918,5.391,31.346,253.316,0.0,0.0,29.0,0.027,1070.0,1.0,1070.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,[['confidence']],1.0,1.0,630.0,"[0, 0, 0, 0, 0, 0]"
vmsft24-AUT.1.1.7_1,Burgenland,Loretto,"[1, 1, 1, 1, 1, 1]",333.0,49549.138,148.796,82.106,4637.886,6.775,28.278,182.197,0.0,0.0,7.0,0.021,333.0,1.0,333.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,[['confidence']],1.0,1.0,226.0,"[0, 0, 0, 0, 0, 0]"
vmsft24-AUT.1.1.8_1,Burgenland,Mörbisch am See,"[1, 1, 1, 1, 1, 1]",1324.0,380124.949,287.103,140.305,5765.322,6.354,42.392,281.53,0.0,0.0,27.0,0.02,1324.0,1.0,1324.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,[['confidence']],1.0,1.0,6.0,"[0, 0, 0, 0, 0, 0]"
vmsft24-AUT.1.1.9_1,Burgenland,Müllendorf,"[1, 1, 1, 1, 1, 1]",947.0,300009.959,316.8,139.721,37797.21,6.331,41.207,244.19,0.0,0.0,19.0,0.02,947.0,1.0,947.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,[['confidence']],1.0,1.0,191.0,"[0, 0, 0, 0, 0, 0]"
vmsft24-AUT.1.1.10_1,Burgenland,Neufeld an der Leitha,"[1, 1, 1, 1, 1, 1]",2586.0,348442.151,134.742,56.976,4517.237,6.135,31.99,155.225,0.0,0.0,61.0,0.024,2586.0,1.0,2586.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,[['confidence']],1.0,1.0,2111.0,"[0, 0, 0, 0, 0, 0]"
vmsft24-AUT.1.1.11_1,Burgenland,Oggau am Neusiedler See,"[1, 1, 1, 1, 1, 1]",1389.0,261297.174,188.119,66.289,6271.6,4.905,27.656,196.983,0.0,0.0,43.0,0.031,1389.0,1.0,1389.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,[['confidence']],1.0,1.0,30.0,"[0, 0, 0, 0, 0, 0]"
