id,region,city,n_files,bldgs_n_tot,a_tot,a_mean,a_med,a_max,a_min,a_25,a_75,a_n_0,a_p_0,a_n_10,a_p_10,height_n,height_p,height_n_inf_0,height_n_0_2,height_n_3_5,height_n_6_10,height_n_11_15,height_n_16_25,height_n_26_inf,height_p_inf_0,height_p_0_2,height_p_3_5,height_p_6_10,height_p_11_15,height_p_16_25,height_p_26_inf,height_mean,height_med,height_max,height_min,age_n,age_p,age_n_0_1800,age_n_1801_1900,age_n_1901_1950,age_n_1951_2000,age_n_2001_2022,age_n_2023_inf,age_p_0_1800,age_p_1801_1900,age_p_1901_1950,age_p_1951_2000,age_p_2001_2022,age_p_2023_inf,age_mean,age_med,age_max,age_min,type_n,type_p,type_n_res,type_n_non_res,type_p_res,type_p_non_res,extra_attribs,const_bldgs_file,const_id_files,n_bldg_buffer,unnamed_0_bits
vmsft24-BEL.1.1.1.1_1,Bruxelles,Anderlecht,"[1, 1, 1, 1, 1, 1]",4725.0,3567904.222,755.112,189.371,40020.279,4.234,52.836,512.897,0.0,0.0,154.0,0.033,4725.0,1.0,3.0,220.0,1305.0,2513.0,521.0,128.0,35.0,0.001,0.047,0.276,0.532,0.11,0.027,0.007,6.886,6.294,35.862,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,[['confidence']],1.0,0.0,2728.0,"[0, 0, 0, 0, 0, 0]"
vmsft24-BEL.1.1.1.2_1,Bruxelles,Brussel,"[1, 1, 1, 1, 1, 1]",6484.0,7080677.738,1092.023,190.342,54539.335,4.237,52.949,699.854,0.0,0.0,202.0,0.031,6484.0,1.0,235.0,269.0,1409.0,2663.0,1338.0,517.0,53.0,0.036,0.041,0.217,0.411,0.206,0.08,0.008,7.96,7.055,35.786,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,[['confidence']],1.0,1.0,10119.0,"[0, 0, 0, 0, 0, 0]"
vmsft24-BEL.1.1.1.3_1,Bruxelles,Elsene,"[1, 1, 1, 1, 1, 1]",3726.0,2055227.553,551.591,93.152,28484.715,4.334,30.583,372.235,0.0,0.0,166.0,0.045,3726.0,1.0,1.0,26.0,546.0,1490.0,1372.0,285.0,6.0,0.0,0.007,0.147,0.4,0.368,0.076,0.002,9.468,9.433,29.139,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,[['confidence']],1.0,1.0,4160.0,"[0, 0, 0, 0, 0, 0]"
vmsft24-BEL.1.1.1.4_1,Bruxelles,Etterbeek,"[1, 1, 1, 1, 1, 1]",1876.0,1122101.501,598.135,102.805,57196.859,4.228,32.309,388.679,0.0,0.0,98.0,0.052,1876.0,1.0,1.0,15.0,309.0,796.0,656.0,95.0,4.0,0.001,0.008,0.165,0.424,0.35,0.051,0.002,8.988,8.9,33.386,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,[['confidence']],1.0,1.0,2199.0,"[0, 0, 0, 0, 0, 0]"
vmsft24-BEL.1.1.1.5_1,Bruxelles,Evere,"[1, 1, 1, 1, 1, 1]",1321.0,1048354.882,793.607,302.668,26433.416,4.321,84.374,769.555,0.0,0.0,40.0,0.03,1321.0,1.0,10.0,41.0,285.0,738.0,163.0,70.0,14.0,0.008,0.031,0.216,0.559,0.123,0.053,0.011,7.661,6.928,36.066,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,[['confidence']],1.0,0.0,1443.0,"[0, 0, 0, 0, 0, 0]"
vmsft24-BEL.1.1.1.6_1,Bruxelles,Ganshoren,"[1, 1, 1, 1, 1, 1]",791.0,462024.729,584.102,193.454,11806.746,5.194,39.876,532.702,0.0,0.0,46.0,0.058,791.0,1.0,0.0,19.0,207.0,433.0,96.0,24.0,12.0,0.0,0.024,0.262,0.547,0.121,0.03,0.015,7.254,6.276,34.104,0.654,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,[['confidence']],1.0,0.0,1253.0,"[0, 0, 0, 0, 0, 0]"
vmsft24-BEL.1.1.1.7_1,Bruxelles,Jette,"[1, 1, 1, 1, 1, 1]",2026.0,1339654.98,661.231,178.537,36187.736,4.346,41.736,557.955,0.0,0.0,99.0,0.049,2026.0,1.0,0.0,50.0,548.0,1092.0,273.0,49.0,14.0,0.0,0.025,0.27,0.539,0.135,0.024,0.007,7.183,6.682,33.349,0.407,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,[['confidence']],1.0,0.0,1990.0,"[0, 0, 0, 0, 0, 0]"
vmsft24-BEL.1.1.1.8_1,Bruxelles,Koekelberg,"[1, 1, 1, 1, 1, 1]",528.0,439860.245,833.069,148.85,26175.995,5.593,35.075,532.804,0.0,0.0,31.0,0.059,528.0,1.0,1.0,24.0,125.0,244.0,118.0,14.0,2.0,0.002,0.045,0.237,0.462,0.223,0.027,0.004,7.595,7.637,29.494,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,[['confidence']],1.0,1.0,1342.0,"[0, 0, 0, 0, 0, 0]"
vmsft24-BEL.1.1.1.9_1,Bruxelles,Oudergem,"[1, 1, 1, 1, 1, 1]",2756.0,1156070.257,419.474,184.926,30433.585,4.216,98.437,325.003,0.0,0.0,87.0,0.032,2756.0,1.0,0.0,51.0,538.0,1906.0,181.0,68.0,12.0,0.0,0.019,0.195,0.692,0.066,0.025,0.004,6.9,6.484,32.465,0.114,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,[['confidence']],1.0,0.0,2347.0,"[0, 0, 0, 0, 0, 0]"
vmsft24-BEL.1.1.1.10_1,Bruxelles,Schaarbeek,"[1, 1, 1, 1, 1, 1]",3788.0,2351412.383,620.753,116.113,41269.549,4.365,30.946,479.531,0.0,0.0,235.0,0.062,3788.0,1.0,0.0,71.0,838.0,1749.0,977.0,144.0,9.0,0.0,0.019,0.221,0.462,0.258,0.038,0.002,8.155,8.075,35.132,0.002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,[['confidence']],1.0,0.0,2614.0,"[0, 0, 0, 0, 0, 0]"
