id,region,city,n_files,bldgs_n_tot,a_tot,a_mean,a_med,a_max,a_min,a_25,a_75,a_n_0,a_p_0,a_n_10,a_p_10,height_n,height_p,height_n_inf_0,height_n_0_2,height_n_3_5,height_n_6_10,height_n_11_15,height_n_16_25,height_n_26_inf,height_p_inf_0,height_p_0_2,height_p_3_5,height_p_6_10,height_p_11_15,height_p_16_25,height_p_26_inf,height_mean,height_med,height_max,height_min,age_n,age_p,age_n_0_1800,age_n_1801_1900,age_n_1901_1950,age_n_1951_2000,age_n_2001_2022,age_n_2023_inf,age_p_0_1800,age_p_1801_1900,age_p_1901_1950,age_p_1951_2000,age_p_2001_2022,age_p_2023_inf,age_mean,age_med,age_max,age_min,type_n,type_p,type_n_res,type_n_non_res,type_p_res,type_p_non_res,extra_attribs,const_bldgs_file,const_id_files,n_bldg_buffer,unnamed_0_bits
vmsft24-DNK.1.1_1,Hovedstaden,Albertslund,"[1, 1, 1, 1, 1, 1]",8390.0,2287072.917,272.595,64.974,53560.693,3.595,14.316,233.685,0.0,0.0,1324.0,0.158,8390.0,1.0,3582.0,0.0,3485.0,1262.0,53.0,8.0,0.0,0.427,0.0,0.415,0.15,0.006,0.001,0.0,2.177,3.28,23.955,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,[['confidence']],1.0,1.0,4426.0,"[0, 0, 0, 0, 0, 0]"
vmsft24-DNK.1.2_1,Hovedstaden,Allerød,"[1, 1, 1, 1, 1, 1]",15299.0,2720410.394,177.816,89.657,15936.486,3.314,21.872,216.355,0.0,0.0,1352.0,0.088,15299.0,1.0,6621.0,0.0,7338.0,1315.0,21.0,4.0,0.0,0.433,0.0,0.48,0.086,0.001,0.0,0.0,1.965,3.315,15.996,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,[['confidence']],1.0,1.0,3070.0,"[0, 0, 0, 0, 0, 0]"
vmsft24-DNK.1.3_1,Hovedstaden,Ballerup,"[1, 1, 1, 1, 1, 1]",23812.0,3960282.141,166.315,67.623,26895.653,3.334,17.928,170.924,0.0,0.0,2646.0,0.111,23812.0,1.0,11127.0,0.0,10302.0,2118.0,232.0,32.0,1.0,0.467,0.0,0.433,0.089,0.01,0.001,0.0,1.911,3.148,29.648,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,[['confidence']],1.0,1.0,8544.0,"[0, 0, 0, 0, 0, 0]"
vmsft24-DNK.1.4_1,Hovedstaden,Bornholm,"[1, 1, 1, 1, 1, 1]",737.0,94310.59,127.966,74.379,2122.367,3.671,26.02,156.246,0.0,0.0,49.0,0.066,737.0,1.0,511.0,0.0,219.0,7.0,0.0,0.0,0.0,0.693,0.0,0.297,0.009,0.0,0.0,0.0,0.444,-1.0,9.943,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,[['confidence']],1.0,1.0,0.0,"[0, 0, 0, 0, 0, 0]"
vmsft24-DNK.1.5_1,Hovedstaden,Brøndby,"[1, 1, 1, 1, 1, 1]",12754.0,2709477.993,212.441,57.564,41759.23,3.457,17.648,176.395,0.0,0.0,1411.0,0.111,12754.0,1.0,6133.0,0.0,5023.0,1326.0,234.0,28.0,10.0,0.481,0.0,0.394,0.104,0.018,0.002,0.001,1.992,3.096,29.872,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,[['confidence']],1.0,1.0,7736.0,"[0, 0, 0, 0, 0, 0]"
vmsft24-DNK.1.6_1,Hovedstaden,Christiansø,"[0, 0, 0, 0, 0, 1]",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,[0],1.0,1.0,0.0,"[0, 0, 0, 0, 0, 0]"
vmsft24-DNK.1.7_1,Hovedstaden,Dragør,"[1, 1, 1, 1, 1, 1]",10936.0,1227526.906,112.246,55.959,7439.716,3.61,17.521,163.069,0.0,0.0,1307.0,0.12,10936.0,1.0,5246.0,4.0,4654.0,1016.0,14.0,2.0,0.0,0.48,0.0,0.426,0.093,0.001,0.0,0.0,1.745,3.078,18.669,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,[['confidence']],1.0,0.0,379.0,"[0, 0, 0, 0, 0, 0]"
vmsft24-DNK.1.8_1,Hovedstaden,Egedal,"[1, 1, 1, 1, 1, 1]",26881.0,4216379.975,156.854,92.097,10437.387,3.365,20.613,211.876,0.0,0.0,2483.0,0.092,26881.0,1.0,12061.0,0.0,12969.0,1818.0,28.0,5.0,0.0,0.449,0.0,0.482,0.068,0.001,0.0,0.0,1.829,3.236,22.667,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,[['confidence']],1.0,0.0,7172.0,"[0, 0, 0, 0, 0, 0]"
vmsft24-DNK.1.9_1,Hovedstaden,Fredensborg,"[1, 1, 1, 1, 1, 1]",21695.0,3461814.474,159.567,65.503,20414.318,3.467,18.3,199.038,0.0,0.0,2566.0,0.118,21695.0,1.0,8171.0,0.0,9071.0,4297.0,136.0,20.0,0.0,0.377,0.0,0.418,0.198,0.006,0.001,0.0,2.587,3.699,24.802,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,[['confidence']],1.0,1.0,3910.0,"[0, 0, 0, 0, 0, 0]"
vmsft24-DNK.1.10_1,Hovedstaden,Frederiksberg,"[1, 1, 1, 1, 1, 1]",5846.0,2041610.571,349.232,121.186,16095.229,4.031,24.504,251.595,0.0,0.0,439.0,0.075,5846.0,1.0,1472.0,0.0,1054.0,2045.0,680.0,588.0,7.0,0.252,0.0,0.18,0.35,0.116,0.101,0.001,6.103,5.788,28.125,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,[['confidence']],1.0,1.0,5087.0,"[0, 0, 0, 0, 0, 0]"
