id,region,city,n_files,bldgs_n_tot,a_tot,a_mean,a_med,a_max,a_min,a_25,a_75,a_n_0,a_p_0,a_n_10,a_p_10,height_n,height_p,height_n_inf_0,height_n_0_2,height_n_3_5,height_n_6_10,height_n_11_15,height_n_16_25,height_n_26_inf,height_p_inf_0,height_p_0_2,height_p_3_5,height_p_6_10,height_p_11_15,height_p_16_25,height_p_26_inf,height_mean,height_med,height_max,height_min,age_n,age_p,age_n_0_1800,age_n_1801_1900,age_n_1901_1950,age_n_1951_2000,age_n_2001_2022,age_n_2023_inf,age_p_0_1800,age_p_1801_1900,age_p_1901_1950,age_p_1951_2000,age_p_2001_2022,age_p_2023_inf,age_mean,age_med,age_max,age_min,type_n,type_p,type_n_res,type_n_non_res,type_p_res,type_p_non_res,extra_attribs,const_bldgs_file,const_id_files,n_bldg_buffer,unnamed_0_bits
vmsft24-FIN.1.1.1.1_1,Eastern Finland,Ilomantsi,"[1, 1, 1, 1, 1, 1]",14597.0,1041325.876,71.338,35.461,5299.611,2.433,13.199,90.483,0.0,0.0,2696.0,0.185,14597.0,1.0,14597.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,[['confidence']],1.0,0.0,286.0,"[0, 0, 0, 0, 0, 0]"
vmsft24-FIN.1.1.1.2_1,Eastern Finland,Tuupovaara,"[1, 1, 1, 1, 1, 1]",6172.0,425151.63,68.884,36.325,3039.664,2.384,14.46,86.061,0.0,0.0,1019.0,0.165,6172.0,1.0,6172.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,[['confidence']],1.0,0.0,320.0,"[0, 0, 0, 0, 0, 0]"
vmsft24-FIN.1.1.2.1_1,Eastern Finland,Eno,"[1, 1, 1, 1, 1, 1]",12349.0,1044019.79,84.543,42.679,5921.568,2.63,15.422,104.238,0.0,0.0,1825.0,0.148,12349.0,1.0,12349.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,[['confidence']],1.0,0.0,508.0,"[0, 0, 0, 0, 0, 0]"
vmsft24-FIN.1.1.2.2_1,Eastern Finland,Joensuu,"[1, 1, 1, 1, 1, 1]",19652.0,3636931.717,185.067,101.617,15908.678,2.258,30.456,214.695,0.0,0.0,1539.0,0.078,19652.0,1.0,19652.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,[['confidence']],1.0,1.0,1409.0,"[0, 0, 0, 0, 0, 0]"
vmsft24-FIN.1.1.2.3_1,Eastern Finland,Kiihtelysvaara,"[1, 1, 1, 1, 1, 1]",6781.0,518492.854,76.463,37.479,2815.403,2.31,13.766,96.974,0.0,0.0,1170.0,0.173,6781.0,1.0,6781.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,[['confidence']],1.0,1.0,474.0,"[0, 0, 0, 0, 0, 0]"
vmsft24-FIN.1.1.2.4_1,Eastern Finland,Kontiolahti,"[1, 1, 1, 1, 1, 1]",16575.0,1746804.157,105.388,62.146,5541.579,2.526,19.615,150.211,0.0,0.0,1925.0,0.116,16575.0,1.0,16575.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,[['confidence']],1.0,1.0,3028.0,"[0, 0, 0, 0, 0, 0]"
vmsft24-FIN.1.1.2.5_1,Eastern Finland,Liperi,"[1, 1, 1, 1, 1, 1]",15148.0,1478623.557,97.612,49.679,5719.265,2.597,15.729,129.107,0.0,0.0,2251.0,0.149,15148.0,1.0,15148.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,[['confidence']],1.0,1.0,509.0,"[0, 0, 0, 0, 0, 0]"
vmsft24-FIN.1.1.2.6_1,Eastern Finland,Outokumpu,"[1, 1, 1, 1, 1, 1]",1917.0,124148.988,64.762,39.801,933.707,3.391,15.893,84.942,0.0,0.0,292.0,0.152,1917.0,1.0,1917.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,[['confidence']],1.0,0.0,96.0,"[0, 0, 0, 0, 0, 0]"
vmsft24-FIN.1.1.2.7_1,Eastern Finland,Polvijärvi,"[1, 1, 1, 1, 1, 1]",1706.0,145263.492,85.149,48.929,1654.333,2.973,19.458,105.5,0.0,0.0,208.0,0.122,1706.0,1.0,1706.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,[['confidence']],1.0,1.0,159.0,"[0, 0, 0, 0, 0, 0]"
vmsft24-FIN.1.1.2.8_1,Eastern Finland,Pyhäselkä,"[1, 1, 1, 1, 1, 1]",11948.0,1133908.416,94.904,48.239,4367.157,2.326,15.486,135.788,0.0,0.0,1721.0,0.144,11948.0,1.0,11948.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,[['confidence']],1.0,1.0,490.0,"[0, 0, 0, 0, 0, 0]"
