id,region,city,n_files,bldgs_n_tot,a_tot,a_mean,a_med,a_max,a_min,a_25,a_75,a_n_0,a_p_0,a_n_10,a_p_10,height_n,height_p,height_n_inf_0,height_n_0_2,height_n_3_5,height_n_6_10,height_n_11_15,height_n_16_25,height_n_26_inf,height_p_inf_0,height_p_0_2,height_p_3_5,height_p_6_10,height_p_11_15,height_p_16_25,height_p_26_inf,height_mean,height_med,height_max,height_min,age_n,age_p,age_n_0_1800,age_n_1801_1900,age_n_1901_1950,age_n_1951_2000,age_n_2001_2022,age_n_2023_inf,age_p_0_1800,age_p_1801_1900,age_p_1901_1950,age_p_1951_2000,age_p_2001_2022,age_p_2023_inf,age_mean,age_med,age_max,age_min,type_n,type_p,type_n_res,type_n_non_res,type_p_res,type_p_non_res,extra_attribs,const_bldgs_file,const_id_files,n_bldg_buffer,unnamed_0_bits
vmsft24-GRC.1.1.1_1,Aegean,Agios Efstratios,"[1, 1, 1, 1, 1, 1]",494.0,31623.121,64.014,41.964,536.748,8.152,20.783,85.059,0.0,0.0,8.0,0.016,494.0,1.0,494.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,[['confidence']],1.0,1.0,0.0,"[0, 0, 0, 0, 0, 0]"
vmsft24-GRC.1.1.2_1,Aegean,Chios,"[1, 1, 1, 1, 1, 1]",43782.0,4579826.437,104.605,67.41,3873.003,6.26,32.437,133.074,0.0,0.0,209.0,0.005,43782.0,1.0,43782.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,[['confidence']],1.0,0.0,58.0,"[0, 0, 0, 0, 0, 0]"
vmsft24-GRC.1.1.3_1,Aegean,Fournoi Korseon,"[1, 1, 1, 1, 1, 1]",1216.0,83666.294,68.805,51.049,534.751,7.376,28.111,86.982,0.0,0.0,3.0,0.002,1216.0,1.0,1216.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,[['confidence']],1.0,1.0,7.0,"[0, 0, 0, 0, 0, 0]"
vmsft24-GRC.1.1.4_1,Aegean,Ikaria,"[1, 1, 1, 1, 1, 1]",12636.0,929495.955,73.559,55.947,1956.101,7.085,29.267,99.591,0.0,0.0,36.0,0.003,12636.0,1.0,12636.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,[['confidence']],1.0,0.0,11.0,"[0, 0, 0, 0, 0, 0]"
vmsft24-GRC.1.1.5_1,Aegean,Lemnos,"[1, 1, 1, 1, 1, 1]",24894.0,2234827.873,89.774,60.112,4616.445,6.186,31.096,111.389,0.0,0.0,139.0,0.006,24894.0,1.0,24894.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,[['confidence']],1.0,0.0,24.0,"[0, 0, 0, 0, 0, 0]"
vmsft24-GRC.1.1.6_1,Aegean,Lesbos,"[1, 1, 1, 1, 1, 1]",87293.0,7552029.283,86.514,57.07,4520.06,6.101,30.772,101.985,0.0,0.0,468.0,0.005,87293.0,1.0,87293.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,[['confidence']],1.0,0.0,70.0,"[0, 0, 0, 0, 0, 0]"
vmsft24-GRC.1.1.7_1,Aegean,Oinousses,"[1, 1, 1, 1, 1, 1]",1036.0,81311.563,78.486,61.754,1315.546,7.583,28.318,97.265,0.0,0.0,10.0,0.01,1036.0,1.0,1036.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,[['confidence']],1.0,1.0,5.0,"[0, 0, 0, 0, 0, 0]"
vmsft24-GRC.1.1.8_1,Aegean,Psara,"[1, 1, 1, 1, 1, 1]",718.0,51694.896,71.998,54.045,924.87,9.058,27.064,95.251,0.0,0.0,4.0,0.006,718.0,1.0,718.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,[['confidence']],1.0,1.0,5.0,"[0, 0, 0, 0, 0, 0]"
vmsft24-GRC.1.1.9_1,Aegean,Samos,"[1, 1, 1, 1, 1, 1]",34000.0,3352522.707,98.604,61.068,3684.601,6.61,32.059,116.624,0.0,0.0,145.0,0.004,34000.0,1.0,34000.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,[['confidence']],1.0,0.0,44.0,"[0, 0, 0, 0, 0, 0]"
vmsft24-GRC.1.2.1_1,Aegean,Agathonisi,"[1, 1, 1, 1, 1, 1]",289.0,18959.644,65.604,40.219,378.72,9.451,23.229,92.447,0.0,0.0,1.0,0.003,289.0,1.0,289.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,[['confidence']],1.0,1.0,2.0,"[0, 0, 0, 0, 0, 0]"
