id,region,city,n_files,bldgs_n_tot,a_tot,a_mean,a_med,a_max,a_min,a_25,a_75,a_n_0,a_p_0,a_n_10,a_p_10,height_n,height_p,height_n_inf_0,height_n_0_2,height_n_3_5,height_n_6_10,height_n_11_15,height_n_16_25,height_n_26_inf,height_p_inf_0,height_p_0_2,height_p_3_5,height_p_6_10,height_p_11_15,height_p_16_25,height_p_26_inf,height_mean,height_med,height_max,height_min,age_n,age_p,age_n_0_1800,age_n_1801_1900,age_n_1901_1950,age_n_1951_2000,age_n_2001_2022,age_n_2023_inf,age_p_0_1800,age_p_1801_1900,age_p_1901_1950,age_p_1951_2000,age_p_2001_2022,age_p_2023_inf,age_mean,age_med,age_max,age_min,type_n,type_p,type_n_res,type_n_non_res,type_p_res,type_p_non_res,extra_attribs,const_bldgs_file,const_id_files,n_bldg_buffer,unnamed_0_bits
vmsft24-IRL.1_1,ireland,Carlow,"[1, 1, 1, 1, 1, 1]",42087.0,7578658.2,180.071,122.381,23745.467,3.831,51.907,198.802,0.0,0.0,575.0,0.014,42087.0,1.0,1919.0,11499.0,24151.0,4393.0,83.0,42.0,0.0,0.046,0.273,0.574,0.104,0.002,0.001,0.0,2.926,2.897,24.37,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,[['confidence']],1.0,1.0,3792.0,"[0, 0, 0, 0, 0, 0]"
vmsft24-IRL.2_1,ireland,Cavan,"[1, 1, 1, 1, 1, 1]",76370.0,12164742.066,159.287,106.842,20049.018,3.542,47.271,187.377,0.0,0.0,1753.0,0.023,76370.0,1.0,76370.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,[['confidence']],1.0,0.0,2886.0,"[0, 0, 0, 0, 0, 0]"
vmsft24-IRL.3_1,ireland,Clare,"[1, 1, 1, 1, 1, 1]",60180.0,7468090.411,124.096,83.573,19212.297,3.707,37.513,162.006,0.0,0.0,2008.0,0.033,60180.0,1.0,60180.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,[['confidence']],1.0,0.0,930.0,"[0, 0, 0, 0, 0, 0]"
vmsft24-IRL.4_1,ireland,Cork,"[1, 1, 1, 1, 1, 1]",338570.0,57906261.54,171.032,108.419,58856.081,3.833,37.278,190.123,0.0,0.0,11117.0,0.033,338570.0,1.0,322567.0,3668.0,9269.0,2994.0,56.0,13.0,3.0,0.953,0.011,0.027,0.009,0.0,0.0,0.0,-0.785,-1.0,28.701,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,[['confidence']],1.0,0.0,3133.0,"[0, 0, 0, 0, 0, 0]"
vmsft24-IRL.5_1,ireland,Donegal,"[1, 1, 1, 1, 1, 1]",165625.0,22817277.05,137.765,107.143,18543.818,3.433,49.598,168.083,0.0,0.0,2224.0,0.013,165625.0,1.0,165625.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,[['confidence']],1.0,0.0,942.0,"[0, 0, 0, 0, 0, 0]"
vmsft24-IRL.6_1,ireland,Dublin,"[1, 1, 1, 1, 1, 1]",925.0,265347.95,286.863,135.927,17052.303,5.878,85.585,209.788,0.0,0.0,13.0,0.014,925.0,1.0,36.0,72.0,329.0,449.0,34.0,5.0,0.0,0.039,0.078,0.356,0.485,0.037,0.005,0.0,4.926,5.087,22.136,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,[['confidence']],1.0,0.0,191.0,"[0, 0, 0, 0, 0, 0]"
vmsft24-IRL.7_1,ireland,Galway,"[1, 1, 1, 1, 1, 1]",206554.0,30125921.379,145.85,106.815,33771.984,3.623,47.016,178.231,0.0,0.0,4686.0,0.023,206554.0,1.0,206554.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,[['confidence']],1.0,0.0,2687.0,"[0, 0, 0, 0, 0, 0]"
vmsft24-IRL.8_1,ireland,Kerry,"[1, 1, 1, 1, 1, 1]",148702.0,21385948.461,143.817,95.239,37287.968,3.883,36.904,175.603,0.0,0.0,4629.0,0.031,148702.0,1.0,148702.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,[['confidence']],1.0,0.0,1657.0,"[0, 0, 0, 0, 0, 0]"
vmsft24-IRL.9_1,ireland,Kildare,"[1, 1, 1, 1, 1, 1]",15540.0,2992316.556,192.556,130.096,12909.081,3.662,51.676,214.902,0.0,0.0,189.0,0.012,15540.0,1.0,3837.0,3240.0,7068.0,1343.0,37.0,15.0,0.0,0.247,0.208,0.455,0.086,0.002,0.001,0.0,2.153,2.335,24.759,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,[['confidence']],1.0,0.0,2621.0,"[0, 0, 0, 0, 0, 0]"
vmsft24-IRL.10_1,ireland,Kilkenny,"[1, 1, 1, 1, 1, 1]",79637.0,14605617.753,183.402,114.98,31129.749,3.97,41.899,209.283,0.0,0.0,2325.0,0.029,79637.0,1.0,63123.0,4779.0,10163.0,1474.0,58.0,35.0,5.0,0.793,0.06,0.128,0.019,0.001,0.0,0.0,-0.152,-1.0,30.111,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,[['confidence']],1.0,1.0,5968.0,"[0, 0, 0, 0, 0, 0]"
