id,region,city,n_files,bldgs_n_tot,a_tot,a_mean,a_med,a_max,a_min,a_25,a_75,a_n_0,a_p_0,a_n_10,a_p_10,height_n,height_p,height_n_inf_0,height_n_0_2,height_n_3_5,height_n_6_10,height_n_11_15,height_n_16_25,height_n_26_inf,height_p_inf_0,height_p_0_2,height_p_3_5,height_p_6_10,height_p_11_15,height_p_16_25,height_p_26_inf,height_mean,height_med,height_max,height_min,age_n,age_p,age_n_0_1800,age_n_1801_1900,age_n_1901_1950,age_n_1951_2000,age_n_2001_2022,age_n_2023_inf,age_p_0_1800,age_p_1801_1900,age_p_1901_1950,age_p_1951_2000,age_p_2001_2022,age_p_2023_inf,age_mean,age_med,age_max,age_min,type_n,type_p,type_n_res,type_n_non_res,type_p_res,type_p_non_res,extra_attribs,const_bldgs_file,const_id_files,n_bldg_buffer,unnamed_0_bits
vmsft24-LTU.1.1_1,Alytaus,Alytaus,"[1, 1, 1, 1, 1, 1]",76686.0,8954943.467,116.774,58.497,78214.779,3.47,23.479,131.02,0.0,0.0,3432.0,0.045,76686.0,1.0,76686.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,[['confidence']],1.0,1.0,3278.0,"[0, 0, 0, 0, 0, 0]"
vmsft24-LTU.1.2_1,Alytaus,Druskininkų,"[1, 1, 1, 1, 1, 1]",3303.0,694829.793,210.363,96.812,13849.408,3.543,35.278,192.596,0.0,0.0,78.0,0.024,3303.0,1.0,3303.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,[['confidence']],1.0,1.0,315.0,"[0, 0, 0, 0, 0, 0]"
vmsft24-LTU.1.3_1,Alytaus,Lazdijų,"[1, 1, 1, 1, 1, 1]",46747.0,4446324.665,95.115,65.731,8819.768,3.663,24.302,123.441,0.0,0.0,2194.0,0.047,46747.0,1.0,46747.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,[['confidence']],1.0,0.0,2631.0,"[0, 0, 0, 0, 0, 0]"
vmsft24-LTU.1.4_1,Alytaus,Varėnos,"[1, 1, 1, 1, 1, 1]",48122.0,4805204.525,99.855,63.772,18891.905,3.443,26.453,120.552,0.0,0.0,1756.0,0.036,48122.0,1.0,48122.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,[['confidence']],1.0,0.0,3534.0,"[0, 0, 0, 0, 0, 0]"
vmsft24-LTU.2.1_1,Kauno,Birštono,"[1, 1, 1, 1, 1, 1]",1193.0,227574.087,190.758,85.105,6196.738,5.776,27.142,176.314,0.0,0.0,60.0,0.05,1193.0,1.0,1193.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,[['confidence']],1.0,1.0,576.0,"[0, 0, 0, 0, 0, 0]"
vmsft24-LTU.2.2_1,Kauno,Jonavos,"[1, 1, 1, 1, 1, 1]",34732.0,4400289.252,126.693,56.674,29688.593,3.473,23.823,124.737,0.0,0.0,1447.0,0.042,34732.0,1.0,34732.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,[['confidence']],1.0,0.0,2012.0,"[0, 0, 0, 0, 0, 0]"
vmsft24-LTU.2.3_1,Kauno,Kaišiadorių,"[1, 1, 1, 1, 1, 1]",49659.0,5668738.056,114.153,64.603,146199.771,3.426,23.666,127.432,0.0,0.0,2296.0,0.046,49659.0,1.0,49659.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,[['confidence']],1.0,0.0,3773.0,"[0, 0, 0, 0, 0, 0]"
vmsft24-LTU.2.4_1,Kauno,Kauno,"[1, 1, 1, 1, 1, 1]",167331.0,27202591.85,162.568,73.782,83615.506,3.351,25.918,161.379,0.0,0.0,6951.0,0.042,167331.0,1.0,167331.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,[['confidence']],1.0,0.0,6543.0,"[0, 0, 0, 0, 0, 0]"
vmsft24-LTU.2.5_1,Kauno,Kėdainių,"[1, 1, 1, 1, 1, 1]",48234.0,6687785.253,138.653,73.946,43764.721,3.492,26.833,137.599,0.0,0.0,2041.0,0.042,48234.0,1.0,48234.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,[['confidence']],1.0,0.0,1114.0,"[0, 0, 0, 0, 0, 0]"
vmsft24-LTU.2.6_1,Kauno,Prienų,"[1, 1, 1, 1, 1, 1]",49266.0,5236200.552,106.284,67.654,16470.846,3.641,24.557,133.331,0.0,0.0,2299.0,0.047,49266.0,1.0,49266.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,[['confidence']],1.0,0.0,5011.0,"[0, 0, 0, 0, 0, 0]"
