id,region,city,n_files,bldgs_n_tot,a_tot,a_mean,a_med,a_max,a_min,a_25,a_75,a_n_0,a_p_0,a_n_10,a_p_10,height_n,height_p,height_n_inf_0,height_n_0_2,height_n_3_5,height_n_6_10,height_n_11_15,height_n_16_25,height_n_26_inf,height_p_inf_0,height_p_0_2,height_p_3_5,height_p_6_10,height_p_11_15,height_p_16_25,height_p_26_inf,height_mean,height_med,height_max,height_min,age_n,age_p,age_n_0_1800,age_n_1801_1900,age_n_1901_1950,age_n_1951_2000,age_n_2001_2022,age_n_2023_inf,age_p_0_1800,age_p_1801_1900,age_p_1901_1950,age_p_1951_2000,age_p_2001_2022,age_p_2023_inf,age_mean,age_med,age_max,age_min,type_n,type_p,type_n_res,type_n_non_res,type_p_res,type_p_non_res,extra_attribs,const_bldgs_file,const_id_files,n_bldg_buffer,unnamed_0_bits
vmsft24-MLT.1.1_1,Ċentrali,Birkirkara,"[1, 1, 1, 1, 1, 1]",1064.0,1148894.772,1079.788,389.56,13350.31,7.973,97.762,1390.475,0.0,0.0,4.0,0.004,1064.0,1.0,1064.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,[['confidence']],1.0,1.0,1332.0,"[0, 0, 0, 0, 0, 0]"
vmsft24-MLT.1.2_1,Ċentrali,Ħ'Attard,"[1, 1, 1, 1, 1, 1]",1689.0,837710.599,495.98,218.776,13001.972,7.245,67.921,449.767,0.0,0.0,7.0,0.004,1689.0,1.0,1689.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,[['confidence']],1.0,1.0,1639.0,"[0, 0, 0, 0, 0, 0]"
vmsft24-MLT.1.3_1,Ċentrali,Ħal Balzan,"[1, 1, 1, 1, 1, 1]",496.0,362296.16,730.436,296.083,12431.223,8.929,113.711,786.73,0.0,0.0,1.0,0.002,496.0,1.0,496.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,[['confidence']],1.0,1.0,1031.0,"[0, 0, 0, 0, 0, 0]"
vmsft24-MLT.1.4_1,Ċentrali,Ħal Lija,"[1, 1, 1, 1, 1, 1]",452.0,273791.331,605.733,157.242,17086.674,9.753,54.677,471.349,0.0,0.0,1.0,0.002,452.0,1.0,452.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,[['confidence']],1.0,1.0,1340.0,"[0, 0, 0, 0, 0, 0]"
vmsft24-MLT.1.5_1,Ċentrali,Il-Gżira,"[1, 1, 1, 1, 1, 1]",356.0,318451.925,894.528,354.941,19540.33,8.693,143.603,981.216,0.0,0.0,1.0,0.003,356.0,1.0,356.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,[['confidence']],1.0,1.0,1163.0,"[0, 0, 0, 0, 0, 0]"
vmsft24-MLT.1.6_1,Ċentrali,L-Iklin,"[1, 1, 1, 1, 1, 1]",541.0,257649.117,476.246,178.399,10473.497,8.162,52.007,393.195,0.0,0.0,2.0,0.004,541.0,1.0,541.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,[['confidence']],1.0,1.0,1177.0,"[0, 0, 0, 0, 0, 0]"
vmsft24-MLT.1.7_1,Ċentrali,L-Imsida,"[1, 1, 1, 1, 1, 1]",620.0,565770.543,912.533,327.126,25820.496,8.129,87.046,1026.931,0.0,0.0,1.0,0.002,620.0,1.0,620.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,[['confidence']],1.0,1.0,1813.0,"[0, 0, 0, 0, 0, 0]"
vmsft24-MLT.1.8_1,Ċentrali,San Ġiljan,"[1, 1, 1, 1, 1, 1]",757.0,527727.328,697.13,274.836,9067.402,8.885,125.465,742.193,0.0,0.0,1.0,0.001,757.0,1.0,757.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,[['confidence']],1.0,1.0,1368.0,"[0, 0, 0, 0, 0, 0]"
vmsft24-MLT.1.9_1,Ċentrali,San Ġwann,"[1, 1, 1, 1, 1, 1]",1212.0,675008.444,556.938,245.043,10399.212,7.342,113.679,504.594,0.0,0.0,4.0,0.003,1212.0,1.0,1212.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,[['confidence']],1.0,1.0,1634.0,"[0, 0, 0, 0, 0, 0]"
vmsft24-MLT.1.10_1,Ċentrali,Santa Venera,"[1, 1, 1, 1, 1, 1]",361.0,405989.079,1124.623,392.532,12955.746,9.886,91.704,1444.456,0.0,0.0,1.0,0.003,361.0,1.0,361.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,[['confidence']],1.0,1.0,1125.0,"[0, 0, 0, 0, 0, 0]"
vmsft24-MLT.1.11_1,Ċentrali,Ta' Xbiex,"[1, 1, 1, 1, 1, 1]",185.0,95920.809,518.491,313.705,10533.437,12.507,189.857,499.088,0.0,0.0,0.0,0.0,185.0,1.0,185.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,[['confidence']],1.0,1.0,720.0,"[0, 0, 0, 0, 0, 0]"
