id,region,city,n_files,bldgs_n_tot,a_tot,a_mean,a_med,a_max,a_min,a_25,a_75,a_n_0,a_p_0,a_n_10,a_p_10,height_n,height_p,height_n_inf_0,height_n_0_2,height_n_3_5,height_n_6_10,height_n_11_15,height_n_16_25,height_n_26_inf,height_p_inf_0,height_p_0_2,height_p_3_5,height_p_6_10,height_p_11_15,height_p_16_25,height_p_26_inf,height_mean,height_med,height_max,height_min,age_n,age_p,age_n_0_1800,age_n_1801_1900,age_n_1901_1950,age_n_1951_2000,age_n_2001_2022,age_n_2023_inf,age_p_0_1800,age_p_1801_1900,age_p_1901_1950,age_p_1951_2000,age_p_2001_2022,age_p_2023_inf,age_mean,age_med,age_max,age_min,type_n,type_p,type_n_res,type_n_non_res,type_p_res,type_p_non_res,extra_attribs,const_bldgs_file,const_id_files,n_bldg_buffer,unnamed_0_bits
vmsft24-NOR.1.1_1,Akershus,Ås,"[1, 1, 1, 1, 1, 1]",11243.0,1801256.192,160.211,94.635,47993.009,2.716,38.467,172.335,0.0,0.0,513.0,0.046,11243.0,1.0,7593.0,221.0,1638.0,1775.0,16.0,0.0,0.0,0.675,0.02,0.146,0.158,0.001,0.0,0.0,0.881,-1.0,14.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,[['confidence']],1.0,1.0,3659.0,"[0, 0, 0, 0, 0, 0]"
vmsft24-NOR.1.2_1,Akershus,Asker,"[1, 1, 1, 1, 1, 1]",26575.0,3889174.202,146.347,105.178,20180.244,2.579,43.064,179.184,0.0,0.0,1096.0,0.041,26575.0,1.0,69.0,1344.0,11978.0,12736.0,354.0,88.0,6.0,0.003,0.051,0.451,0.479,0.013,0.003,0.0,4.94,4.984,29.965,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,[['confidence']],1.0,0.0,2775.0,"[0, 0, 0, 0, 0, 0]"
vmsft24-NOR.1.3_1,Akershus,Aurskog-Høland,"[1, 1, 1, 1, 1, 1]",18584.0,2162818.853,116.381,70.004,7083.132,2.836,25.385,150.124,0.0,0.0,1378.0,0.074,18584.0,1.0,18584.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,[['confidence']],1.0,1.0,473.0,"[0, 0, 0, 0, 0, 0]"
vmsft24-NOR.1.4_1,Akershus,Bærum,"[1, 1, 1, 1, 1, 1]",41771.0,6850726.583,164.007,113.208,18158.731,2.557,40.678,183.324,0.0,0.0,1740.0,0.042,41771.0,1.0,324.0,2141.0,17511.0,20568.0,904.0,314.0,9.0,0.008,0.051,0.419,0.492,0.022,0.008,0.0,5.1,5.109,30.445,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,[['confidence']],1.0,0.0,4551.0,"[0, 0, 0, 0, 0, 0]"
vmsft24-NOR.1.5_1,Akershus,Eidsvoll,"[1, 1, 1, 1, 1, 1]",22760.0,2713338.895,119.215,70.029,14095.575,2.791,23.791,154.964,0.0,0.0,1822.0,0.08,22760.0,1.0,22760.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,[['confidence']],1.0,0.0,673.0,"[0, 0, 0, 0, 0, 0]"
vmsft24-NOR.1.6_1,Akershus,Enebakk,"[1, 1, 1, 1, 1, 1]",8306.0,975333.882,117.425,76.232,10308.296,3.036,28.634,153.058,0.0,0.0,556.0,0.067,8306.0,1.0,8306.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,[['confidence']],1.0,1.0,597.0,"[0, 0, 0, 0, 0, 0]"
vmsft24-NOR.1.7_1,Akershus,Fet,"[1, 1, 1, 1, 1, 1]",8137.0,871640.86,107.121,64.255,13031.825,2.646,21.606,145.307,0.0,0.0,795.0,0.098,8137.0,1.0,6527.0,175.0,854.0,580.0,1.0,0.0,0.0,0.802,0.022,0.105,0.071,0.0,0.0,0.0,0.039,-1.0,10.358,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,[['confidence']],1.0,0.0,1185.0,"[0, 0, 0, 0, 0, 0]"
vmsft24-NOR.1.8_1,Akershus,Frogn,"[1, 1, 1, 1, 1, 1]",9993.0,1311697.985,131.262,96.557,6776.61,3.43,41.475,156.197,0.0,0.0,385.0,0.039,9993.0,1.0,9993.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,[['confidence']],1.0,1.0,1338.0,"[0, 0, 0, 0, 0, 0]"
vmsft24-NOR.1.9_1,Akershus,Gjerdrum,"[1, 1, 1, 1, 1, 1]",4855.0,547525.23,112.776,63.933,3342.037,3.196,17.182,156.86,0.0,0.0,671.0,0.138,4855.0,1.0,4715.0,26.0,55.0,57.0,2.0,0.0,0.0,0.971,0.005,0.011,0.012,0.0,0.0,0.0,-0.843,-1.0,14.85,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,[['confidence']],1.0,1.0,642.0,"[0, 0, 0, 0, 0, 0]"
vmsft24-NOR.1.10_1,Akershus,Hurdal,"[1, 1, 1, 1, 1, 1]",4696.0,416486.901,88.69,56.038,4270.937,2.446,22.136,114.931,0.0,0.0,412.0,0.088,4696.0,1.0,4696.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,[['confidence']],1.0,1.0,175.0,"[0, 0, 0, 0, 0, 0]"
vmsft24-NOR.1.11_1,Akershus,Lørenskog,"[1, 1, 1, 1, 1, 1]",10332.0,1914275.632,185.276,114.659,42900.135,2.67,41.672,178.894,0.0,0.0,458.0,0.044,10332.0,1.0,37.0,574.0,4352.0,5046.0,186.0,122.0,15.0,0.004,0.056,0.421,0.488,0.018,0.012,0.001,5.112,5.085,35.274,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,[['confidence']],1.0,0.0,3283.0,"[0, 0, 0, 0, 0, 0]"
vmsft24-NOR.1.12_1,Akershus,Nannestad,"[1, 1, 1, 1, 1, 1]",10372.0,1422056.577,137.105,82.861,6442.107,2.495,27.944,183.468,0.0,0.0,692.0,0.067,10372.0,1.0,10370.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.999,-1.0,3.589,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,[['confidence']],1.0,0.0,761.0,"[0, 0, 0, 0, 0, 0]"
vmsft24-NOR.1.13_1,Akershus,Nesodden,"[1, 1, 1, 1, 1, 1]",32620.0,3586039.491,109.934,67.639,18914.473,2.686,23.134,146.985,0.0,0.0,2678.0,0.082,32620.0,1.0,32298.0,16.0,120.0,183.0,3.0,0.0,0.0,0.99,0.0,0.004,0.006,0.0,0.0,0.0,-0.938,-1.0,12.001,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,[['confidence']],1.0,1.0,2161.0,"[0, 0, 0, 0, 0, 0]"
vmsft24-NOR.1.14_1,Akershus,Nittedal,"[1, 1, 1, 1, 1, 1]",12847.0,1839403.345,143.178,85.262,55797.865,2.708,34.98,159.038,0.0,0.0,685.0,0.053,12847.0,1.0,232.0,1056.0,5879.0,5533.0,122.0,24.0,1.0,0.018,0.082,0.458,0.431,0.009,0.002,0.0,4.571,4.736,25.218,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,[['confidence']],1.0,1.0,910.0,"[0, 0, 0, 0, 0, 0]"
vmsft24-NOR.1.15_1,Akershus,Oppegård,"[1, 1, 1, 1, 1, 1]",9179.0,1414594.849,154.112,110.442,17855.219,2.65,41.293,179.535,0.0,0.0,389.0,0.042,9179.0,1.0,35.0,346.0,3987.0,4664.0,109.0,36.0,2.0,0.004,0.038,0.434,0.508,0.012,0.004,0.0,4.995,5.102,29.554,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,[['confidence']],1.0,1.0,2056.0,"[0, 0, 0, 0, 0, 0]"
vmsft24-NOR.1.16_1,Akershus,Rælingen,"[1, 1, 1, 1, 1, 1]",3735.0,526678.731,141.012,93.916,6415.957,2.755,29.717,172.383,0.0,0.0,289.0,0.077,3735.0,1.0,2287.0,97.0,641.0,652.0,44.0,13.0,1.0,0.612,0.026,0.172,0.175,0.012,0.003,0.0,1.343,-1.0,28.383,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,[['confidence']],1.0,0.0,2514.0,"[0, 0, 0, 0, 0, 0]"
vmsft24-NOR.1.17_1,Akershus,Skedsmo,"[1, 1, 1, 1, 1, 1]",24373.0,4476586.626,183.67,106.523,51562.214,2.543,40.658,175.125,0.0,0.0,1249.0,0.051,24373.0,1.0,74.0,1569.0,10975.0,11172.0,431.0,139.0,13.0,0.003,0.064,0.45,0.458,0.018,0.006,0.001,4.89,4.915,30.771,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,[['confidence']],1.0,1.0,4828.0,"[0, 0, 0, 0, 0, 0]"
vmsft24-NOR.1.18_1,Akershus,Ski,"[1, 1, 1, 1, 1, 1]",13701.0,2260086.707,164.958,93.018,49343.793,2.592,36.459,172.133,0.0,0.0,831.0,0.061,13701.0,1.0,5664.0,549.0,4067.0,3319.0,90.0,12.0,0.0,0.413,0.04,0.297,0.242,0.007,0.001,0.0,2.279,2.722,18.862,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,[['confidence']],1.0,1.0,2321.0,"[0, 0, 0, 0, 0, 0]"
vmsft24-NOR.1.19_1,Akershus,Sørum,"[1, 1, 1, 1, 1, 1]",12307.0,1457808.043,118.454,64.472,8086.802,2.592,21.334,148.996,0.0,0.0,1250.0,0.102,12307.0,1.0,9303.0,291.0,1483.0,1199.0,28.0,3.0,0.0,0.756,0.024,0.121,0.097,0.002,0.0,0.0,0.343,-1.0,19.351,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,[['confidence']],1.0,1.0,2081.0,"[0, 0, 0, 0, 0, 0]"
vmsft24-NOR.1.20_1,Akershus,Ullensaker,"[1, 1, 1, 1, 1, 1]",20835.0,3479260.03,166.991,81.956,71248.157,2.802,25.22,188.135,0.0,0.0,1755.0,0.084,20835.0,1.0,20835.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,[['confidence']],1.0,0.0,2634.0,"[0, 0, 0, 0, 0, 0]"
