id,region,city,n_files,bldgs_n_tot,a_tot,a_mean,a_med,a_max,a_min,a_25,a_75,a_n_0,a_p_0,a_n_10,a_p_10,height_n,height_p,height_n_inf_0,height_n_0_2,height_n_3_5,height_n_6_10,height_n_11_15,height_n_16_25,height_n_26_inf,height_p_inf_0,height_p_0_2,height_p_3_5,height_p_6_10,height_p_11_15,height_p_16_25,height_p_26_inf,height_mean,height_med,height_max,height_min,age_n,age_p,age_n_0_1800,age_n_1801_1900,age_n_1901_1950,age_n_1951_2000,age_n_2001_2022,age_n_2023_inf,age_p_0_1800,age_p_1801_1900,age_p_1901_1950,age_p_1951_2000,age_p_2001_2022,age_p_2023_inf,age_mean,age_med,age_max,age_min,type_n,type_p,type_n_res,type_n_non_res,type_p_res,type_p_non_res,extra_attribs,const_bldgs_file,const_id_files,n_bldg_buffer,unnamed_0_bits
vmsft24-POL.1.1_1,Dolnośląskie,Bolesławiec,"[1, 1, 1, 1, 1, 1]",38800.0,6474940.737,166.88,96.921,74126.195,3.936,31.222,184.184,0.0,0.0,1201.0,0.031,38800.0,1.0,38800.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,[['confidence']],1.0,0.0,1002.0,"[0, 0, 0, 0, 0, 0]"
vmsft24-POL.1.2_1,Dolnośląskie,Dzierżoniów,"[1, 1, 1, 1, 1, 1]",28661.0,5262656.781,183.617,101.747,23967.249,4.277,29.21,208.539,0.0,0.0,729.0,0.025,28661.0,1.0,28661.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,[['confidence']],1.0,0.0,1023.0,"[0, 0, 0, 0, 0, 0]"
vmsft24-POL.1.3_1,Dolnośląskie,Głogów,"[1, 1, 1, 1, 1, 1]",21955.0,4109438.581,187.176,81.948,60313.432,4.63,29.272,198.57,0.0,0.0,664.0,0.03,21955.0,1.0,21955.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,[['confidence']],1.0,0.0,687.0,"[0, 0, 0, 0, 0, 0]"
vmsft24-POL.1.4_1,Dolnośląskie,Góra,"[1, 1, 1, 1, 1, 1]",21176.0,3257522.197,153.831,95.622,16667.557,3.854,31.036,184.005,0.0,0.0,788.0,0.037,21176.0,1.0,21176.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,[['confidence']],1.0,1.0,1167.0,"[0, 0, 0, 0, 0, 0]"
vmsft24-POL.1.5_1,Dolnośląskie,Jawor,"[1, 1, 1, 1, 1, 1]",20873.0,3546508.454,169.909,92.853,16278.742,4.099,27.029,204.241,0.0,0.0,769.0,0.037,20873.0,1.0,20873.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,[['confidence']],1.0,0.0,1409.0,"[0, 0, 0, 0, 0, 0]"
vmsft24-POL.1.7_1,Dolnośląskie,Jelenia Góra,"[1, 1, 1, 1, 1, 1]",29683.0,4965425.434,167.282,112.776,35723.817,4.218,33.504,211.03,0.0,0.0,757.0,0.026,29683.0,1.0,29683.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,[['confidence']],1.0,1.0,2111.0,"[0, 0, 0, 0, 0, 0]"
vmsft24-POL.1.6_1,Dolnośląskie,Jelenia Góra (City),"[1, 1, 1, 1, 1, 1]",13007.0,3469193.551,266.717,145.362,34203.541,4.049,34.255,267.084,0.0,0.0,291.0,0.022,13007.0,1.0,13007.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,[['confidence']],1.0,1.0,1587.0,"[0, 0, 0, 0, 0, 0]"
vmsft24-POL.1.8_1,Dolnośląskie,Kamienna Góra,"[1, 1, 1, 1, 1, 1]",16168.0,2592183.453,160.328,70.496,19635.384,4.756,25.904,195.427,0.0,0.0,398.0,0.025,16168.0,1.0,16168.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,[['confidence']],1.0,0.0,430.0,"[0, 0, 0, 0, 0, 0]"
vmsft24-POL.1.9_1,Dolnośląskie,Kłodzko,"[1, 1, 1, 1, 1, 1]",68330.0,10065104.012,147.301,74.559,32603.415,4.179,26.085,187.236,0.0,0.0,1918.0,0.028,68330.0,1.0,68330.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,[['confidence']],1.0,0.0,440.0,"[0, 0, 0, 0, 0, 0]"
vmsft24-POL.1.11_1,Dolnośląskie,Legnica,"[1, 1, 1, 1, 1, 1]",31542.0,5044567.099,159.932,95.872,73371.698,4.066,30.508,190.385,0.0,0.0,1018.0,0.032,31542.0,1.0,31542.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,[['confidence']],1.0,0.0,3244.0,"[0, 0, 0, 0, 0, 0]"
