id,region,city,n_files,bldgs_n_tot,a_tot,a_mean,a_med,a_max,a_min,a_25,a_75,a_n_0,a_p_0,a_n_10,a_p_10,height_n,height_p,height_n_inf_0,height_n_0_2,height_n_3_5,height_n_6_10,height_n_11_15,height_n_16_25,height_n_26_inf,height_p_inf_0,height_p_0_2,height_p_3_5,height_p_6_10,height_p_11_15,height_p_16_25,height_p_26_inf,height_mean,height_med,height_max,height_min,age_n,age_p,age_n_0_1800,age_n_1801_1900,age_n_1901_1950,age_n_1951_2000,age_n_2001_2022,age_n_2023_inf,age_p_0_1800,age_p_1801_1900,age_p_1901_1950,age_p_1951_2000,age_p_2001_2022,age_p_2023_inf,age_mean,age_med,age_max,age_min,type_n,type_p,type_n_res,type_n_non_res,type_p_res,type_p_non_res,extra_attribs,const_bldgs_file,const_id_files,n_bldg_buffer,unnamed_0_bits
vmsft24-SWE.1.1_1,Blekinge,Karlshamn,"[1, 1, 1, 1, 1, 1]",27434.0,3493300.859,127.335,67.272,14884.23,3.48,24.1,147.656,0.0,0.0,1811.0,0.066,27434.0,1.0,27434.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,[['confidence']],1.0,0.0,1199.0,"[0, 0, 0, 0, 0, 0]"
vmsft24-SWE.1.2_1,Blekinge,Karlskrona,"[1, 1, 1, 1, 1, 1]",61516.0,7008009.423,113.922,56.465,23900.158,3.191,21.373,134.03,0.0,0.0,4165.0,0.068,61516.0,1.0,61516.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,[['confidence']],1.0,0.0,1102.0,"[0, 0, 0, 0, 0, 0]"
vmsft24-SWE.1.3_1,Blekinge,Olofström,"[1, 1, 1, 1, 1, 1]",14093.0,1880504.807,133.435,66.439,93697.976,3.728,22.427,145.158,0.0,0.0,1025.0,0.073,14093.0,1.0,14093.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,[['confidence']],1.0,1.0,1056.0,"[0, 0, 0, 0, 0, 0]"
vmsft24-SWE.1.4_1,Blekinge,Ronneby,"[1, 1, 1, 1, 1, 1]",33652.0,3665883.855,108.935,59.079,15925.761,3.14,21.848,129.565,0.0,0.0,2400.0,0.071,33652.0,1.0,33652.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,[['confidence']],1.0,0.0,1413.0,"[0, 0, 0, 0, 0, 0]"
vmsft24-SWE.1.5_1,Blekinge,Sölvesborg,"[1, 1, 1, 1, 1, 1]",22497.0,2863565.113,127.287,72.719,12341.609,3.436,24.63,142.48,0.0,0.0,1284.0,0.057,22497.0,1.0,22497.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,[['confidence']],1.0,0.0,745.0,"[0, 0, 0, 0, 0, 0]"
vmsft24-SWE.2.1_1,Dalarna,Älvdalen,"[1, 1, 1, 1, 1, 1]",21510.0,1688224.106,78.486,44.775,5888.693,2.269,18.101,99.76,0.0,0.0,2224.0,0.103,21510.0,1.0,21510.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,[['confidence']],1.0,0.0,664.0,"[0, 0, 0, 0, 0, 0]"
vmsft24-SWE.2.2_1,Dalarna,Avesta,"[1, 1, 1, 1, 1, 1]",23356.0,3065324.117,131.244,58.535,24771.124,2.775,18.401,143.18,0.0,0.0,2492.0,0.107,23356.0,1.0,23356.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,[['confidence']],1.0,1.0,772.0,"[0, 0, 0, 0, 0, 0]"
vmsft24-SWE.2.3_1,Dalarna,Borlänge,"[1, 1, 1, 1, 1, 1]",33587.0,4975888.134,148.149,69.016,49548.041,3.179,22.628,153.879,0.0,0.0,2621.0,0.078,33587.0,1.0,33587.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,[['confidence']],1.0,0.0,1684.0,"[0, 0, 0, 0, 0, 0]"
vmsft24-SWE.2.4_1,Dalarna,Falun,"[1, 1, 1, 1, 1, 1]",51461.0,5913148.111,114.905,56.023,37330.089,2.5,20.397,133.946,0.0,0.0,4860.0,0.094,51461.0,1.0,51461.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,[['confidence']],1.0,0.0,1197.0,"[0, 0, 0, 0, 0, 0]"
vmsft24-SWE.2.5_1,Dalarna,Gagnef,"[1, 1, 1, 1, 1, 1]",20605.0,1746413.509,84.757,45.281,13482.729,2.877,18.484,107.174,0.0,0.0,2087.0,0.101,20605.0,1.0,20605.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,[['confidence']],1.0,0.0,1099.0,"[0, 0, 0, 0, 0, 0]"
