id,region,city,n_files,bldgs_n_tot,a_tot,a_mean,a_med,a_max,a_min,a_25,a_75,a_n_0,a_p_0,a_n_10,a_p_10,height_n,height_p,height_n_inf_0,height_n_0_2,height_n_3_5,height_n_6_10,height_n_11_15,height_n_16_25,height_n_26_inf,height_p_inf_0,height_p_0_2,height_p_3_5,height_p_6_10,height_p_11_15,height_p_16_25,height_p_26_inf,height_mean,height_med,height_max,height_min,age_n,age_p,age_n_0_1800,age_n_1801_1900,age_n_1901_1950,age_n_1951_2000,age_n_2001_2022,age_n_2023_inf,age_p_0_1800,age_p_1801_1900,age_p_1901_1950,age_p_1951_2000,age_p_2001_2022,age_p_2023_inf,age_mean,age_med,age_max,age_min,type_n,type_p,type_n_res,type_n_non_res,type_p_res,type_p_non_res,extra_attribs,const_bldgs_file,const_id_files,n_bldg_buffer,unnamed_0_bits
vmsft24-CHE.1.1_1,Aargau,Aarau,"[1, 1, 1, 1, 1, 1]",18501.0,4867808.13,263.111,159.118,28207.555,4.599,100.671,252.334,0.0,0.0,220.0,0.012,18501.0,1.0,33.0,1447.0,10265.0,6365.0,332.0,58.0,1.0,0.002,0.078,0.555,0.344,0.018,0.003,0.0,4.628,4.596,27.583,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,[['confidence']],1.0,0.0,3044.0,"[0, 0, 0, 0, 0, 0]"
vmsft24-CHE.1.2_1,Aargau,Baden,"[1, 1, 1, 1, 1, 1]",27549.0,7839768.991,284.575,173.715,53391.006,4.64,110.476,291.205,0.0,0.0,292.0,0.011,27549.0,1.0,75.0,1847.0,13288.0,11576.0,608.0,142.0,13.0,0.003,0.067,0.482,0.42,0.022,0.005,0.0,4.966,4.83,30.765,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,[['confidence']],1.0,0.0,4467.0,"[0, 0, 0, 0, 0, 0]"
vmsft24-CHE.1.3_1,Aargau,Bremgarten,"[1, 1, 1, 1, 1, 1]",20146.0,5516087.781,273.806,178.391,84993.102,4.782,108.495,281.183,0.0,0.0,203.0,0.01,20146.0,1.0,73.0,1707.0,10832.0,7218.0,267.0,49.0,0.0,0.004,0.085,0.538,0.358,0.013,0.002,0.0,4.594,4.606,21.516,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,[['confidence']],1.0,0.0,3483.0,"[0, 0, 0, 0, 0, 0]"
vmsft24-CHE.1.4_1,Aargau,Brugg,"[1, 1, 1, 1, 1, 1]",14889.0,4107559.745,275.879,166.12,85309.547,4.707,95.881,268.717,0.0,0.0,165.0,0.011,14889.0,1.0,89.0,1293.0,7636.0,5680.0,131.0,55.0,5.0,0.006,0.087,0.513,0.381,0.009,0.004,0.0,4.552,4.673,32.354,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,[['confidence']],1.0,0.0,2874.0,"[0, 0, 0, 0, 0, 0]"
vmsft24-CHE.1.5_1,Aargau,Kulm,"[1, 1, 1, 1, 1, 1]",15609.0,3815561.876,244.446,160.957,36367.794,5.244,90.162,257.773,0.0,0.0,162.0,0.01,15609.0,1.0,36.0,1521.0,8946.0,4978.0,117.0,8.0,3.0,0.002,0.097,0.573,0.319,0.007,0.001,0.0,4.34,4.431,30.433,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,[['confidence']],1.0,1.0,4656.0,"[0, 0, 0, 0, 0, 0]"
vmsft24-CHE.1.6_1,Aargau,Laufenburg,"[1, 1, 1, 1, 1, 1]",10792.0,2946805.73,273.055,181.054,18484.362,4.827,97.362,290.185,0.0,0.0,100.0,0.009,10792.0,1.0,37.0,1095.0,6037.0,3568.0,42.0,13.0,0.0,0.003,0.101,0.559,0.331,0.004,0.001,0.0,4.334,4.512,23.693,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,[['confidence']],1.0,0.0,1768.0,"[0, 0, 0, 0, 0, 0]"
vmsft24-CHE.1.7_1,Aargau,Lenzburg,"[1, 1, 1, 1, 1, 1]",19577.0,5331091.506,272.314,167.623,32425.238,4.857,105.237,264.376,0.0,0.0,264.0,0.013,19577.0,1.0,36.0,1833.0,11276.0,6200.0,202.0,28.0,2.0,0.002,0.094,0.576,0.317,0.01,0.001,0.0,4.414,4.464,25.602,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,[['confidence']],1.0,0.0,2996.0,"[0, 0, 0, 0, 0, 0]"
vmsft24-CHE.1.8_1,Aargau,Muri,"[1, 1, 1, 1, 1, 1]",12656.0,3700884.139,292.421,187.027,17988.575,4.882,107.759,301.449,0.0,0.0,127.0,0.01,12656.0,1.0,51.0,1336.0,7083.0,4087.0,81.0,18.0,0.0,0.004,0.106,0.56,0.323,0.006,0.001,0.0,4.334,4.451,21.467,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,[['confidence']],1.0,0.0,2872.0,"[0, 0, 0, 0, 0, 0]"
vmsft24-CHE.1.9_1,Aargau,Rheinfelden,"[0, 0, 0, 0, 0, 1]",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,[0],1.0,1.0,0.0,"[0, 0, 0, 0, 0, 0]"
vmsft24-CHE.1.10_1,Aargau,Zofingen,"[1, 1, 1, 1, 1, 1]",5751.0,1311513.886,228.05,158.582,8177.78,4.801,84.654,250.986,0.0,0.0,69.0,0.012,5751.0,1.0,20.0,792.0,3500.0,1428.0,11.0,0.0,0.0,0.003,0.138,0.609,0.248,0.002,0.0,0.0,3.963,4.153,14.269,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,[['confidence']],1.0,1.0,1545.0,"[0, 0, 0, 0, 0, 0]"
