id,region,city,n_files,bldgs_n_tot,a_tot,a_mean,a_med,a_max,a_min,a_25,a_75,a_n_0,a_p_0,a_n_10,a_p_10,height_n,height_p,height_n_inf_0,height_n_0_2,height_n_3_5,height_n_6_10,height_n_11_15,height_n_16_25,height_n_26_inf,height_p_inf_0,height_p_0_2,height_p_3_5,height_p_6_10,height_p_11_15,height_p_16_25,height_p_26_inf,height_mean,height_med,height_max,height_min,age_n,age_p,age_n_0_1800,age_n_1801_1900,age_n_1901_1950,age_n_1951_2000,age_n_2001_2022,age_n_2023_inf,age_p_0_1800,age_p_1801_1900,age_p_1901_1950,age_p_1951_2000,age_p_2001_2022,age_p_2023_inf,age_mean,age_med,age_max,age_min,type_n,type_p,type_n_res,type_n_non_res,type_p_res,type_p_non_res,extra_attribs,const_bldgs_file,const_id_files,n_bldg_buffer,unnamed_0_bits
v0.1-BEL.1.1.1.1_1,Bruxelles,Anderlecht,"[1, 1, 1, 1, 1, 1]",25163.0,3699642.323,147.027,73.283,49764.932,0.43,46.184,107.948,0.0,0.0,2826.0,0.112,25163.0,1.0,9.0,104.0,14941.0,6486.0,2902.0,605.0,116.0,0.0,0.004,0.594,0.258,0.115,0.024,0.005,6.013,4.37,87.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,"[['id_source', 'max_height', 'geometry', 'id_misaligned']]",1.0,1.0,6654.0,"[0, 0, 0, 0, 0, 0]"
v0.1-BEL.1.1.1.2_1,Bruxelles,Brussel,"[1, 1, 1, 1, 1, 1]",37949.0,7908327.547,208.394,86.605,164130.023,0.636,57.668,136.843,0.0,0.0,2318.0,0.061,37948.0,1.0,36.0,288.0,16146.0,11324.0,6335.0,3465.0,354.0,0.001,0.008,0.425,0.298,0.167,0.091,0.009,7.734,,104.22,-19.58,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,"[['id_source', 'max_height', 'geometry', 'id_misaligned']]",1.0,1.0,42162.0,"[0, 0, 0, 0, 0, 0]"
v0.1-BEL.1.1.1.3_1,Bruxelles,Elsene,"[1, 1, 1, 1, 1, 1]",15403.0,2404032.969,156.076,92.844,15115.66,0.688,68.858,133.612,0.0,0.0,431.0,0.028,15403.0,1.0,5.0,85.0,5380.0,5255.0,3099.0,1447.0,132.0,0.0,0.006,0.349,0.341,0.201,0.094,0.009,8.215,6.47,60.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,"[['id_source', 'max_height', 'geometry', 'id_misaligned']]",1.0,1.0,19044.0,"[0, 0, 0, 0, 0, 0]"
v0.1-BEL.1.1.1.4_1,Bruxelles,Etterbeek,"[1, 1, 1, 1, 1, 1]",9281.0,1261463.419,135.919,84.167,31446.167,0.857,62.417,115.382,0.0,0.0,331.0,0.036,9281.0,1.0,2.0,60.0,3925.0,2821.0,1858.0,566.0,49.0,0.0,0.006,0.423,0.304,0.2,0.061,0.005,7.52,5.66,47.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,"[['id_source', 'max_height', 'geometry', 'id_misaligned']]",1.0,1.0,10098.0,"[0, 0, 0, 0, 0, 0]"
v0.1-BEL.1.1.1.5_1,Bruxelles,Evere,"[1, 1, 1, 1, 1, 1]",7204.0,1124130.751,156.043,73.625,23276.056,0.757,51.052,106.618,0.0,0.0,818.0,0.114,7203.0,1.0,2.0,44.0,4244.0,1941.0,764.0,140.0,68.0,0.0,0.006,0.589,0.269,0.106,0.019,0.009,6.159,,49.78,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,"[['id_source', 'max_height', 'geometry', 'id_misaligned']]",1.0,1.0,6920.0,"[0, 0, 0, 0, 0, 0]"
v0.1-BEL.1.1.1.6_1,Bruxelles,Ganshoren,"[1, 1, 1, 1, 1, 1]",4983.0,515030.186,103.357,74.069,10105.788,0.75,53.854,102.492,0.0,0.0,499.0,0.1,4983.0,1.0,1.0,20.0,2842.0,1242.0,675.0,163.0,40.0,0.0,0.004,0.57,0.249,0.135,0.033,0.008,6.441,4.44,67.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,"[['id_source', 'max_height', 'geometry', 'id_misaligned']]",1.0,1.0,6657.0,"[0, 0, 0, 0, 0, 0]"
v0.1-BEL.1.1.1.7_1,Bruxelles,Jette,"[1, 1, 1, 1, 1, 1]",10917.0,1415995.738,129.706,79.188,16698.809,0.65,56.579,112.757,0.0,0.0,1020.0,0.093,10917.0,1.0,1.0,53.0,6511.0,2645.0,1323.0,330.0,54.0,0.0,0.005,0.596,0.242,0.121,0.03,0.005,6.196,4.44,79.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,"[['id_source', 'max_height', 'geometry', 'id_misaligned']]",1.0,1.0,10937.0,"[0, 0, 0, 0, 0, 0]"
v0.1-BEL.1.1.1.8_1,Bruxelles,Koekelberg,"[1, 1, 1, 1, 1, 1]",3450.0,446079.782,129.298,86.428,4011.675,0.895,63.825,122.757,0.0,0.0,136.0,0.039,3450.0,1.0,2.0,18.0,1709.0,888.0,580.0,228.0,25.0,0.001,0.005,0.495,0.257,0.168,0.066,0.007,7.254,5.0,45.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,"[['id_source', 'max_height', 'geometry', 'id_misaligned']]",1.0,1.0,10290.0,"[0, 0, 0, 0, 0, 0]"
v0.1-BEL.1.1.1.9_1,Bruxelles,Oudergem,"[1, 1, 1, 1, 1, 1]",11196.0,1236214.53,110.416,67.681,17231.114,0.554,46.758,92.711,0.0,0.0,1272.0,0.114,11196.0,1.0,2.0,63.0,5603.0,4260.0,1017.0,191.0,60.0,0.0,0.006,0.5,0.38,0.091,0.017,0.005,6.199,4.935,40.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,"[['id_source', 'max_height', 'geometry', 'id_misaligned']]",1.0,1.0,7838.0,"[0, 0, 0, 0, 0, 0]"
v0.1-BEL.1.1.1.10_1,Bruxelles,Schaarbeek,"[1, 1, 1, 1, 1, 1]",22132.0,2711013.166,122.493,84.563,25922.66,0.683,64.303,113.689,0.0,0.0,889.0,0.04,22132.0,1.0,5.0,147.0,9408.0,7198.0,3951.0,1332.0,91.0,0.0,0.007,0.425,0.325,0.179,0.06,0.004,7.355,5.63,103.83,-36.61,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,"[['id_source', 'max_height', 'geometry', 'id_misaligned']]",1.0,1.0,14739.0,"[0, 0, 0, 0, 0, 0]"
