id,region,city,n_files,bldgs_n_tot,a_tot,a_mean,a_med,a_max,a_min,a_25,a_75,a_n_0,a_p_0,a_n_10,a_p_10,height_n,height_p,height_n_inf_0,height_n_0_2,height_n_3_5,height_n_6_10,height_n_11_15,height_n_16_25,height_n_26_inf,height_p_inf_0,height_p_0_2,height_p_3_5,height_p_6_10,height_p_11_15,height_p_16_25,height_p_26_inf,height_mean,height_med,height_max,height_min,age_n,age_p,age_n_0_1800,age_n_1801_1900,age_n_1901_1950,age_n_1951_2000,age_n_2001_2022,age_n_2023_inf,age_p_0_1800,age_p_1801_1900,age_p_1901_1950,age_p_1951_2000,age_p_2001_2022,age_p_2023_inf,age_mean,age_med,age_max,age_min,type_n,type_p,type_n_res,type_n_non_res,type_p_res,type_p_non_res,extra_attribs,const_bldgs_file,const_id_files,n_bldg_buffer,unnamed_0_bits
v0.1-BGR.1.1_1,Blagoevgrad,Bansko,"[1, 1, 1, 1, 1, 1]",1915.0,791461.55,413.296,163.699,26931.315,7.719,113.736,407.605,0.0,0.0,7.0,0.004,144.0,0.08,0.0,0.0,67.0,57.0,19.0,0.0,1.0,0.0,0.0,0.035,0.03,0.01,0.0,0.001,7.969,,30.0,2.5,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.001,0.0,0.0,0.0,1945.0,,1945.0,1945.0,550.0,0.287,496.0,54.0,0.259,0.028,"[['id_source', 'building:use', 'amenity', 'building:material', 'geometry', 'id_misaligned']]",1.0,1.0,14.0,"[0, 0, 0, 0, 0, 0]"
v0.1-BGR.1.2_1,Blagoevgrad,Belitsa,"[1, 1, 1, 1, 1, 1]",57.0,17304.222,303.583,193.612,1705.137,23.571,80.888,284.608,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,4.0,0.07,0.0,4.0,0.0,0.07,"[['id_source', 'building:use', 'amenity', 'building:material', 'geometry', 'id_misaligned']]",1.0,1.0,31.0,"[0, 0, 0, 0, 0, 0]"
v0.1-BGR.1.3_1,Blagoevgrad,Blagoevgrad,"[1, 1, 1, 1, 1, 1]",1697.0,933398.832,550.029,203.198,157036.541,10.054,132.693,355.738,0.0,0.0,0.0,0.0,64.0,0.04,0.0,0.0,5.0,20.0,20.0,17.0,2.0,0.0,0.0,0.003,0.012,0.012,0.01,0.001,13.281,,30.0,2.5,3.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.002,0.0,0.0,1987.667,,1988.0,1987.0,1015.0,0.598,921.0,94.0,0.543,0.055,"[['id_source', 'building:use', 'amenity', 'building:material', 'geometry', 'id_misaligned']]",1.0,1.0,5.0,"[0, 0, 0, 0, 0, 0]"
v0.1-BGR.1.4_1,Blagoevgrad,Garmen,"[1, 1, 1, 1, 1, 1]",1277.0,218074.224,170.771,126.943,3602.805,10.513,102.084,164.168,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.0,0.0,0.0,0.0,5.0,,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,114.0,0.089,100.0,14.0,0.078,0.011,"[['id_source', 'building:use', 'amenity', 'building:material', 'geometry', 'id_misaligned']]",1.0,1.0,8.0,"[0, 0, 0, 0, 0, 0]"
v0.1-BGR.1.5_1,Blagoevgrad,Gotse Delchev,"[1, 1, 1, 1, 1, 1]",325.0,205555.021,632.477,206.06,17909.043,9.461,96.888,610.306,0.0,0.0,1.0,0.003,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003,0.0,0.0,0.0,0.0,2.5,,2.5,2.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,56.0,0.172,25.0,31.0,0.077,0.095,"[['id_source', 'building:use', 'amenity', 'building:material', 'geometry', 'id_misaligned']]",1.0,1.0,1.0,"[0, 0, 0, 0, 0, 0]"
v0.1-BGR.1.6_1,Blagoevgrad,Hadzhidimovo,"[1, 1, 1, 1, 1, 1]",42.0,18960.26,451.435,367.022,2204.936,35.805,142.022,635.21,0.0,0.0,0.0,0.0,1.0,0.02,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.024,0.0,0.0,0.0,7.5,,7.5,7.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,10.0,0.238,1.0,9.0,0.024,0.214,"[['id_source', 'building:use', 'amenity', 'building:material', 'geometry', 'id_misaligned']]",1.0,1.0,38.0,"[0, 0, 0, 0, 0, 0]"
v0.1-BGR.1.7_1,Blagoevgrad,Kresna,"[1, 1, 1, 1, 1, 1]",270.0,189172.528,700.639,109.671,30952.315,18.568,84.443,170.485,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,136.0,0.504,100.0,36.0,0.37,0.133,"[['id_source', 'building:use', 'amenity', 'building:material', 'geometry', 'id_misaligned']]",1.0,1.0,0.0,"[0, 0, 0, 0, 0, 0]"
v0.1-BGR.1.8_1,Blagoevgrad,Petrich,"[1, 1, 1, 1, 1, 1]",600.0,862009.787,1436.683,292.772,64754.425,11.852,134.276,576.508,0.0,0.0,0.0,0.0,72.0,0.12,0.0,0.0,2.0,25.0,19.0,23.0,3.0,0.0,0.0,0.003,0.042,0.032,0.038,0.005,14.333,,27.5,2.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,199.0,0.332,144.0,55.0,0.24,0.092,"[['id_source', 'building:use', 'amenity', 'building:material', 'geometry', 'id_misaligned']]",1.0,1.0,43.0,"[0, 0, 0, 0, 0, 0]"
v0.1-BGR.1.9_1,Blagoevgrad,Razlog,"[1, 1, 1, 1, 1, 1]",756.0,467028.038,617.762,339.001,13650.15,10.155,179.739,641.691,0.0,0.0,0.0,0.0,33.0,0.04,0.0,0.0,20.0,5.0,8.0,0.0,0.0,0.0,0.0,0.026,0.007,0.011,0.0,0.0,7.955,,15.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,117.0,0.155,102.0,15.0,0.135,0.02,"[['id_source', 'building:use', 'amenity', 'building:material', 'geometry', 'id_misaligned']]",1.0,1.0,10.0,"[0, 0, 0, 0, 0, 0]"
v0.1-BGR.1.10_1,Blagoevgrad,Sandanski,"[1, 1, 1, 1, 1, 1]",1741.0,664460.233,381.654,103.084,34207.471,12.19,71.816,174.926,0.0,0.0,0.0,0.0,147.0,0.08,0.0,0.0,109.0,35.0,3.0,0.0,0.0,0.0,0.0,0.063,0.02,0.002,0.0,0.0,5.391,,15.0,2.5,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.001,0.0,0.0,0.0,1934.0,,1934.0,1934.0,531.0,0.305,445.0,86.0,0.256,0.049,"[['id_source', 'building:use', 'amenity', 'building:material', 'geometry', 'id_misaligned']]",1.0,1.0,2.0,"[0, 0, 0, 0, 0, 0]"
