id,region,city,n_files,bldgs_n_tot,a_tot,a_mean,a_med,a_max,a_min,a_25,a_75,a_n_0,a_p_0,a_n_10,a_p_10,height_n,height_p,height_n_inf_0,height_n_0_2,height_n_3_5,height_n_6_10,height_n_11_15,height_n_16_25,height_n_26_inf,height_p_inf_0,height_p_0_2,height_p_3_5,height_p_6_10,height_p_11_15,height_p_16_25,height_p_26_inf,height_mean,height_med,height_max,height_min,age_n,age_p,age_n_0_1800,age_n_1801_1900,age_n_1901_1950,age_n_1951_2000,age_n_2001_2022,age_n_2023_inf,age_p_0_1800,age_p_1801_1900,age_p_1901_1950,age_p_1951_2000,age_p_2001_2022,age_p_2023_inf,age_mean,age_med,age_max,age_min,type_n,type_p,type_n_res,type_n_non_res,type_p_res,type_p_non_res,extra_attribs,const_bldgs_file,const_id_files,n_bldg_buffer,unnamed_0_bits
v0.1-HRV.1.1_1,Bjelovarska-Bilogorska,Berek,"[1, 1, 1, 1, 1, 1]",22.0,4196.05,190.73,144.323,1365.635,31.356,90.221,180.586,0.0,0.0,0.0,0.0,1.0,0.05,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.045,0.0,0.0,0.0,10.0,,10.0,10.0,1.0,0.05,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.045,0.0,0.0,1967.0,,1967.0,1967.0,1.0,0.045,0.0,1.0,0.0,0.045,"[['id_source', 'building:use', 'amenity', 'building:material', 'geometry', 'id_misaligned']]",1.0,1.0,2.0,"[0, 0, 0, 0, 0, 0]"
v0.1-HRV.1.2_1,Bjelovarska-Bilogorska,Bjelovar,"[1, 1, 1, 1, 1, 1]",1020.0,466821.364,457.668,184.743,17046.806,5.313,104.696,421.4,0.0,0.0,1.0,0.001,17.0,0.02,0.0,0.0,4.0,1.0,1.0,4.0,7.0,0.0,0.0,0.004,0.001,0.001,0.004,0.007,23.765,,52.0,2.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,308.0,0.302,207.0,100.0,0.203,0.098,"[['id_source', 'building:use', 'amenity', 'building:material', 'geometry', 'id_misaligned']]",1.0,1.0,8.0,"[0, 0, 0, 0, 0, 0]"
v0.1-HRV.1.3_1,Bjelovarska-Bilogorska,Čazma,"[1, 1, 1, 1, 1, 1]",4213.0,605651.399,143.758,109.47,4954.915,6.247,61.244,166.246,0.0,0.0,4.0,0.001,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5,,2.5,2.5,3.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1928.667,,1956.0,1893.0,53.0,0.013,31.0,22.0,0.007,0.005,"[['id_source', 'building:use', 'amenity', 'building:material', 'geometry', 'id_misaligned']]",1.0,1.0,494.0,"[0, 0, 0, 0, 0, 0]"
v0.1-HRV.1.4_1,Bjelovarska-Bilogorska,Daruvar,"[1, 1, 1, 1, 1, 1]",730.0,296896.999,406.708,194.341,14365.462,21.833,116.42,336.67,0.0,0.0,0.0,0.0,21.0,0.03,1.0,0.0,19.0,1.0,0.0,0.0,0.0,0.001,0.0,0.026,0.001,0.0,0.0,0.0,4.881,,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,67.0,0.092,42.0,25.0,0.058,0.034,"[['id_source', 'building:use', 'amenity', 'building:material', 'geometry', 'id_misaligned']]",1.0,1.0,39.0,"[0, 0, 0, 0, 0, 0]"
v0.1-HRV.1.5_1,Bjelovarska-Bilogorska,Dežanovac,"[1, 1, 1, 1, 1, 1]",37.0,9916.421,268.011,212.376,945.72,112.882,155.986,254.986,0.0,0.0,0.0,0.0,1.0,0.03,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.027,0.0,0.0,0.0,0.0,5.0,,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,16.0,0.432,9.0,7.0,0.243,0.189,"[['id_source', 'building:use', 'amenity', 'building:material', 'geometry', 'id_misaligned']]",1.0,1.0,209.0,"[0, 0, 0, 0, 0, 0]"
v0.1-HRV.1.6_1,Bjelovarska-Bilogorska,Đulovac,"[1, 1, 1, 1, 1, 1]",76.0,14895.427,195.992,143.836,1162.39,9.631,115.979,189.505,0.0,0.0,1.0,0.013,17.0,0.22,0.0,0.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.224,0.0,0.0,0.0,0.0,4.118,,5.0,2.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,32.0,0.421,22.0,10.0,0.289,0.132,"[['id_source', 'building:use', 'amenity', 'building:material', 'geometry', 'id_misaligned']]",1.0,1.0,4.0,"[0, 0, 0, 0, 0, 0]"
v0.1-HRV.1.7_1,Bjelovarska-Bilogorska,Garešnica,"[1, 1, 1, 1, 1, 1]",361.0,107127.384,296.752,162.346,5122.071,7.2,129.119,232.434,0.0,0.0,1.0,0.003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,23.0,0.064,11.0,12.0,0.03,0.033,"[['id_source', 'building:use', 'amenity', 'building:material', 'geometry', 'id_misaligned']]",1.0,1.0,15.0,"[0, 0, 0, 0, 0, 0]"
v0.1-HRV.1.8_1,Bjelovarska-Bilogorska,Grubišno Polje,"[1, 1, 1, 1, 1, 1]",359.0,61725.419,171.937,115.158,8157.941,5.627,64.493,198.166,0.0,0.0,2.0,0.006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,8.0,0.022,3.0,5.0,0.008,0.014,"[['id_source', 'building:use', 'amenity', 'building:material', 'geometry', 'id_misaligned']]",1.0,1.0,111.0,"[0, 0, 0, 0, 0, 0]"
v0.1-HRV.1.9_1,Bjelovarska-Bilogorska,Hercegovac,"[1, 1, 1, 1, 1, 1]",6.0,1533.529,255.588,271.602,340.358,173.447,203.073,290.117,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,4.0,0.667,3.0,1.0,0.5,0.167,"[['id_source', 'building:use', 'amenity', 'building:material', 'geometry', 'id_misaligned']]",1.0,1.0,0.0,"[0, 0, 0, 0, 0, 0]"
v0.1-HRV.1.10_1,Bjelovarska-Bilogorska,Ivanska,"[1, 1, 1, 1, 1, 1]",21.0,5419.488,258.071,232.465,742.114,15.897,132.859,337.828,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,6.0,0.286,1.0,5.0,0.048,0.238,"[['id_source', 'building:use', 'amenity', 'building:material', 'geometry', 'id_misaligned']]",1.0,1.0,0.0,"[0, 0, 0, 0, 0, 0]"
v0.1-HRV.1.11_1,Bjelovarska-Bilogorska,Kapela,"[1, 1, 1, 1, 1, 1]",61.0,6200.133,101.642,71.389,509.486,31.953,54.347,86.791,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,3.0,0.049,2.0,1.0,0.033,0.016,"[['id_source', 'building:use', 'amenity', 'building:material', 'geometry', 'id_misaligned']]",1.0,1.0,18.0,"[0, 0, 0, 0, 0, 0]"
v0.1-HRV.1.12_1,Bjelovarska-Bilogorska,Končanica,"[1, 1, 1, 1, 1, 1]",9.0,4118.082,457.565,331.673,1525.547,172.977,210.197,386.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,1.0,0.111,0.0,1.0,0.0,0.111,"[['id_source', 'building:use', 'amenity', 'building:material', 'geometry', 'id_misaligned']]",1.0,1.0,0.0,"[0, 0, 0, 0, 0, 0]"
v0.1-HRV.1.13_1,Bjelovarska-Bilogorska,Nova Rača,"[1, 1, 1, 1, 1, 1]",3.0,1080.257,360.086,109.655,928.091,42.51,76.083,518.873,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,2.0,0.667,1.0,1.0,0.333,0.333,"[['id_source', 'building:use', 'amenity', 'building:material', 'geometry', 'id_misaligned']]",1.0,1.0,0.0,"[0, 0, 0, 0, 0, 0]"
