id,region,city,n_files,bldgs_n_tot,a_tot,a_mean,a_med,a_max,a_min,a_25,a_75,a_n_0,a_p_0,a_n_10,a_p_10,height_n,height_p,height_n_inf_0,height_n_0_2,height_n_3_5,height_n_6_10,height_n_11_15,height_n_16_25,height_n_26_inf,height_p_inf_0,height_p_0_2,height_p_3_5,height_p_6_10,height_p_11_15,height_p_16_25,height_p_26_inf,height_mean,height_med,height_max,height_min,age_n,age_p,age_n_0_1800,age_n_1801_1900,age_n_1901_1950,age_n_1951_2000,age_n_2001_2022,age_n_2023_inf,age_p_0_1800,age_p_1801_1900,age_p_1901_1950,age_p_1951_2000,age_p_2001_2022,age_p_2023_inf,age_mean,age_med,age_max,age_min,type_n,type_p,type_n_res,type_n_non_res,type_p_res,type_p_non_res,extra_attribs,const_bldgs_file,const_id_files,n_bldg_buffer,unnamed_0_bits
v0.1-CZE.1.1_1,Jihočeský,České Budějovice,"[1, 1, 1, 1, 1, 1]",82168.0,14228881.935,173.168,106.994,26678.349,0.983,43.075,168.954,0.0,0.0,622.0,0.008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,81035.0,0.986,50486.0,30549.0,0.614,0.372,"[['id_source', 'building_units', 'estimated_horizontal_accuracy', 'geometry', 'id_misaligned']]",1.0,1.0,2345.0,"[0, 0, 0, 0, 0, 0]"
v0.1-CZE.1.2_1,Jihočeský,Český Krumlov,"[1, 1, 1, 1, 1, 1]",30052.0,4565703.048,151.927,87.207,32591.391,0.674,30.585,155.584,0.0,0.0,249.0,0.008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,29927.0,0.996,16887.0,13040.0,0.562,0.434,"[['id_source', 'building_units', 'estimated_horizontal_accuracy', 'geometry', 'id_misaligned']]",1.0,1.0,1573.0,"[0, 0, 0, 0, 0, 0]"
v0.1-CZE.1.3_1,Jihočeský,Jindřichův Hradec,"[1, 1, 1, 1, 1, 1]",52523.0,9341452.816,177.855,112.984,30223.225,0.248,42.324,192.736,0.0,0.0,403.0,0.008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,52382.0,0.997,30927.0,21455.0,0.589,0.408,"[['id_source', 'building_units', 'estimated_horizontal_accuracy', 'geometry', 'id_misaligned']]",1.0,1.0,2097.0,"[0, 0, 0, 0, 0, 0]"
v0.1-CZE.1.4_1,Jihočeský,Písek,"[1, 1, 1, 1, 1, 1]",38009.0,6716041.175,176.696,115.75,17841.368,1.055,45.947,190.08,0.0,0.0,300.0,0.008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,37891.0,0.997,23935.0,13956.0,0.63,0.367,"[['id_source', 'building_units', 'estimated_horizontal_accuracy', 'geometry', 'id_misaligned']]",1.0,1.0,1814.0,"[0, 0, 0, 0, 0, 0]"
v0.1-CZE.1.5_1,Jihočeský,Prachatice,"[1, 1, 1, 1, 1, 1]",25681.0,4266711.961,166.143,109.108,17162.715,0.515,39.125,185.196,0.0,0.0,267.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,25607.0,0.997,13854.0,11753.0,0.539,0.458,"[['id_source', 'building_units', 'estimated_horizontal_accuracy', 'geometry', 'id_misaligned']]",1.0,1.0,1038.0,"[0, 0, 0, 0, 0, 0]"
v0.1-CZE.1.6_1,Jihočeský,Strakonice,"[1, 1, 1, 1, 1, 1]",33900.0,6066084.688,178.941,114.654,36325.429,0.595,46.645,187.083,0.0,0.0,245.0,0.007,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,33736.0,0.995,20504.0,13232.0,0.605,0.39,"[['id_source', 'building_units', 'estimated_horizontal_accuracy', 'geometry', 'id_misaligned']]",1.0,1.0,2674.0,"[0, 0, 0, 0, 0, 0]"
v0.1-CZE.1.7_1,Jihočeský,Tábor,"[1, 1, 1, 1, 1, 1]",55040.0,9345066.993,169.787,108.464,27778.342,0.98,41.192,170.58,0.0,0.0,380.0,0.007,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,54867.0,0.997,33000.0,21867.0,0.6,0.397,"[['id_source', 'building_units', 'estimated_horizontal_accuracy', 'geometry', 'id_misaligned']]",1.0,1.0,1953.0,"[0, 0, 0, 0, 0, 0]"
v0.1-CZE.2.1_1,Jihomoravský,Blansko,"[1, 1, 1, 1, 1, 1]",53528.0,8718251.411,162.873,107.708,29715.999,0.648,48.101,164.205,0.0,0.0,461.0,0.009,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,53304.0,0.996,35912.0,17392.0,0.671,0.325,"[['id_source', 'building_units', 'estimated_horizontal_accuracy', 'geometry', 'id_misaligned']]",1.0,1.0,2823.0,"[0, 0, 0, 0, 0, 0]"
v0.1-CZE.2.2_1,Jihomoravský,Břeclav,"[1, 1, 1, 1, 1, 1]",56208.0,10121360.191,180.07,117.89,51368.916,0.573,54.28,180.873,0.0,0.0,579.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,56022.0,0.997,33318.0,22704.0,0.593,0.404,"[['id_source', 'building_units', 'estimated_horizontal_accuracy', 'geometry', 'id_misaligned']]",1.0,1.0,3169.0,"[0, 0, 0, 0, 0, 0]"
v0.1-CZE.2.3_1,Jihomoravský,Brno,"[1, 1, 1, 0, 1, 1]",105237.0,15235564.644,144.774,60.326,36598.599,0.379,21.178,126.054,0.0,0.0,3528.0,0.034,105237.0,1.0,0.0,100.0,13404.0,39911.0,25404.0,18592.0,7826.0,0.0,0.001,0.127,0.379,0.241,0.177,0.074,12.701,9.851,327.963,0.728,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,[0],1.0,1.0,3463.0,"[0, 0, 0, 0, 0, 0]"
