id,region,city,n_files,bldgs_n_tot,a_tot,a_mean,a_med,a_max,a_min,a_25,a_75,a_n_0,a_p_0,a_n_10,a_p_10,height_n,height_p,height_n_inf_0,height_n_0_2,height_n_3_5,height_n_6_10,height_n_11_15,height_n_16_25,height_n_26_inf,height_p_inf_0,height_p_0_2,height_p_3_5,height_p_6_10,height_p_11_15,height_p_16_25,height_p_26_inf,height_mean,height_med,height_max,height_min,age_n,age_p,age_n_0_1800,age_n_1801_1900,age_n_1901_1950,age_n_1951_2000,age_n_2001_2022,age_n_2023_inf,age_p_0_1800,age_p_1801_1900,age_p_1901_1950,age_p_1951_2000,age_p_2001_2022,age_p_2023_inf,age_mean,age_med,age_max,age_min,type_n,type_p,type_n_res,type_n_non_res,type_p_res,type_p_non_res,extra_attribs,const_bldgs_file,const_id_files,n_bldg_buffer,unnamed_0_bits
v0.1-GRC.1.1.1_1,Aegean,Agios Efstratios,"[1, 1, 1, 1, 1, 1]",67.0,7061.658,105.398,79.767,436.426,14.827,56.395,126.131,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,"[['id_source', 'building:use', 'amenity', 'building:material', 'geometry', 'id_misaligned']]",1.0,1.0,0.0,"[0, 0, 0, 0, 0, 0]"
v0.1-GRC.1.1.2_1,Aegean,Chios,"[1, 1, 1, 1, 1, 1]",7194.0,1117678.193,155.363,99.078,9819.405,4.096,52.049,170.156,0.0,0.0,21.0,0.003,852.0,0.12,0.0,0.0,804.0,25.0,22.0,1.0,0.0,0.0,0.0,0.112,0.003,0.003,0.0,0.0,5.264,,17.5,2.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,140.0,0.019,95.0,45.0,0.013,0.006,"[['id_source', 'building:use', 'amenity', 'building:material', 'geometry', 'id_misaligned']]",1.0,1.0,4.0,"[0, 0, 0, 0, 0, 0]"
v0.1-GRC.1.1.3_1,Aegean,Fournoi Korseon,"[1, 1, 1, 1, 1, 1]",1158.0,74558.784,64.386,52.313,639.576,3.248,29.396,83.205,0.0,0.0,31.0,0.027,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,14.0,0.012,0.0,14.0,0.0,0.012,"[['id_source', 'building:use', 'amenity', 'building:material', 'geometry', 'id_misaligned']]",1.0,1.0,0.0,"[0, 0, 0, 0, 0, 0]"
v0.1-GRC.1.1.4_1,Aegean,Ikaria,"[1, 1, 1, 1, 1, 1]",274.0,52875.187,192.975,104.819,4421.606,9.038,61.308,170.856,0.0,0.0,1.0,0.004,2.0,0.01,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.004,0.004,0.0,0.0,0.0,0.0,2.25,,2.5,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,56.0,0.204,39.0,17.0,0.142,0.062,"[['id_source', 'building:use', 'amenity', 'building:material', 'geometry', 'id_misaligned']]",1.0,1.0,0.0,"[0, 0, 0, 0, 0, 0]"
v0.1-GRC.1.1.5_1,Aegean,Lemnos,"[1, 1, 1, 1, 1, 1]",7446.0,1066811.607,143.273,95.386,9474.212,7.315,58.39,155.912,0.0,0.0,5.0,0.001,5.0,0.0,0.0,0.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.8,,7.5,2.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,100.0,0.013,35.0,65.0,0.005,0.009,"[['id_source', 'building:use', 'amenity', 'building:material', 'geometry', 'id_misaligned']]",1.0,1.0,4.0,"[0, 0, 0, 0, 0, 0]"
v0.1-GRC.1.1.6_1,Aegean,Lesbos,"[1, 1, 1, 1, 1, 1]",9820.0,1694560.436,172.562,83.006,55418.451,3.719,40.473,159.601,0.0,0.0,34.0,0.003,1078.0,0.11,0.0,0.0,1049.0,27.0,2.0,0.0,0.0,0.0,0.0,0.107,0.003,0.0,0.0,0.0,2.483,,12.5,2.2,984.0,0.1,0.0,0.0,0.0,0.0,984.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,2020.0,,2020.0,2020.0,1782.0,0.181,478.0,1299.0,0.049,0.132,"[['id_source', 'building:use', 'amenity', 'building:material', 'geometry', 'id_misaligned']]",1.0,1.0,10.0,"[0, 0, 0, 0, 0, 0]"
v0.1-GRC.1.1.7_1,Aegean,Oinousses,"[1, 1, 1, 1, 1, 1]",21.0,3014.235,143.535,65.558,817.727,31.541,58.0,92.794,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,"[['id_source', 'building:use', 'amenity', 'building:material', 'geometry', 'id_misaligned']]",1.0,1.0,0.0,"[0, 0, 0, 0, 0, 0]"
v0.1-GRC.1.1.8_1,Aegean,Psara,"[1, 1, 1, 1, 1, 1]",254.0,24383.265,95.997,71.963,690.157,11.816,44.075,110.71,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,1.0,0.004,0.0,1.0,0.0,0.004,"[['id_source', 'building:use', 'amenity', 'building:material', 'geometry', 'id_misaligned']]",1.0,1.0,1.0,"[0, 0, 0, 0, 0, 0]"
v0.1-GRC.1.1.9_1,Aegean,Samos,"[1, 1, 1, 1, 1, 1]",6648.0,1038168.19,156.162,90.873,18620.281,4.808,50.351,159.331,0.0,0.0,34.0,0.005,30.0,0.0,0.0,0.0,24.0,6.0,0.0,0.0,0.0,0.0,0.0,0.004,0.001,0.0,0.0,0.0,4.817,,10.0,2.5,2.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1949.5,,1987.0,1912.0,449.0,0.068,362.0,87.0,0.054,0.013,"[['id_source', 'building:use', 'amenity', 'building:material', 'geometry', 'id_misaligned']]",1.0,1.0,5.0,"[0, 0, 0, 0, 0, 0]"
v0.1-GRC.1.2.1_1,Aegean,Agathonisi,"[1, 1, 1, 1, 1, 1]",174.0,13582.287,78.059,65.017,474.854,5.183,31.25,111.202,0.0,0.0,4.0,0.023,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,7.0,0.04,0.0,7.0,0.0,0.04,"[['id_source', 'building:use', 'amenity', 'building:material', 'geometry', 'id_misaligned']]",1.0,1.0,0.0,"[0, 0, 0, 0, 0, 0]"
v0.1-GRC.1.2.2_1,Aegean,Amorgos,"[1, 1, 1, 1, 1, 1]",152.0,16718.256,109.989,82.497,608.024,14.704,37.277,146.472,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,7.0,0.046,0.0,7.0,0.0,0.046,"[['id_source', 'building:use', 'amenity', 'building:material', 'geometry', 'id_misaligned']]",1.0,1.0,0.0,"[0, 0, 0, 0, 0, 0]"
