id,region,city,n_files,bldgs_n_tot,a_tot,a_mean,a_med,a_max,a_min,a_25,a_75,a_n_0,a_p_0,a_n_10,a_p_10,height_n,height_p,height_n_inf_0,height_n_0_2,height_n_3_5,height_n_6_10,height_n_11_15,height_n_16_25,height_n_26_inf,height_p_inf_0,height_p_0_2,height_p_3_5,height_p_6_10,height_p_11_15,height_p_16_25,height_p_26_inf,height_mean,height_med,height_max,height_min,age_n,age_p,age_n_0_1800,age_n_1801_1900,age_n_1901_1950,age_n_1951_2000,age_n_2001_2022,age_n_2023_inf,age_p_0_1800,age_p_1801_1900,age_p_1901_1950,age_p_1951_2000,age_p_2001_2022,age_p_2023_inf,age_mean,age_med,age_max,age_min,type_n,type_p,type_n_res,type_n_non_res,type_p_res,type_p_non_res,extra_attribs,const_bldgs_file,const_id_files,n_bldg_buffer,unnamed_0_bits
v0.1-HUN.1.1_1,Bács-Kiskun,Bácsalmás,"[1, 1, 1, 1, 1, 1]",3081.0,553618.742,179.688,129.591,4214.837,5.389,85.727,191.62,0.0,0.0,7.0,0.002,7.0,0.0,0.0,0.0,6.0,0.0,0.0,1.0,0.0,0.0,0.0,0.002,0.0,0.0,0.0,0.0,5.143,,16.0,2.5,8.0,0.0,2.0,4.0,2.0,0.0,0.0,0.0,0.001,0.001,0.001,0.0,0.0,0.0,1858.125,,1936.0,1783.0,219.0,0.071,55.0,164.0,0.018,0.053,"[['id_source', 'building:use', 'amenity', 'building:material', 'geometry', 'id_misaligned']]",1.0,1.0,28.0,"[0, 0, 0, 0, 0, 0]"
v0.1-HUN.1.2_1,Bács-Kiskun,Baja,"[1, 1, 1, 1, 1, 1]",9758.0,2403169.45,246.277,145.668,26596.579,1.477,102.3,225.368,0.0,0.0,12.0,0.001,38.0,0.0,0.0,0.0,23.0,13.0,1.0,0.0,1.0,0.0,0.0,0.002,0.001,0.0,0.0,0.0,5.784,,26.0,2.5,25.0,0.0,7.0,6.0,3.0,7.0,2.0,0.0,0.001,0.001,0.0,0.001,0.0,0.0,1892.68,,2012.0,1745.0,757.0,0.078,210.0,547.0,0.022,0.056,"[['id_source', 'building:use', 'amenity', 'building:material', 'geometry', 'id_misaligned']]",1.0,1.0,95.0,"[0, 0, 0, 0, 0, 0]"
v0.1-HUN.1.3_1,Bács-Kiskun,Jánoshalm,"[1, 1, 1, 1, 1, 1]",974.0,285559.382,293.182,178.7,11621.221,6.277,111.153,293.455,0.0,0.0,5.0,0.005,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.0,16.0,,16.0,16.0,8.0,0.01,2.0,3.0,2.0,1.0,0.0,0.0,0.002,0.003,0.002,0.001,0.0,0.0,1868.5,,1959.0,1761.0,185.0,0.19,40.0,145.0,0.041,0.149,"[['id_source', 'building:use', 'amenity', 'building:material', 'geometry', 'id_misaligned']]",1.0,1.0,16.0,"[0, 0, 0, 0, 0, 0]"
v0.1-HUN.1.4_1,Bács-Kiskun,Kalocsa,"[1, 1, 1, 1, 1, 1]",4497.0,943212.727,209.743,116.193,11206.563,0.171,60.296,194.32,0.0,0.0,23.0,0.005,29.0,0.01,0.0,0.0,14.0,14.0,0.0,1.0,0.0,0.0,0.0,0.003,0.003,0.0,0.0,0.0,6.172,,21.0,2.5,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1910.0,,1910.0,1910.0,279.0,0.062,118.0,161.0,0.026,0.036,"[['id_source', 'building:use', 'amenity', 'building:material', 'geometry', 'id_misaligned']]",1.0,1.0,123.0,"[0, 0, 0, 0, 0, 0]"
v0.1-HUN.1.5_1,Bács-Kiskun,Kecskemét,"[1, 1, 1, 1, 1, 1]",22231.0,6018753.777,270.737,123.691,103549.391,0.55,72.026,212.325,0.0,0.0,43.0,0.002,249.0,0.01,3.0,1.0,114.0,102.0,6.0,17.0,6.0,0.0,0.0,0.005,0.005,0.0,0.001,0.0,7.843,,65.0,0.0,7.0,0.0,0.0,1.0,1.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1959.0,,2013.0,1815.0,3596.0,0.162,1023.0,2573.0,0.046,0.116,"[['id_source', 'building:use', 'amenity', 'building:material', 'geometry', 'id_misaligned']]",1.0,1.0,620.0,"[0, 0, 0, 0, 0, 0]"
v0.1-HUN.1.6_1,Bács-Kiskun,Kiskőrös,"[1, 1, 1, 1, 1, 1]",10268.0,1797691.923,175.077,130.288,7007.186,2.932,81.649,188.066,0.0,0.0,2.0,0.0,7.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.0,0.0,0.0,0.0,3.0,,5.0,2.5,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1280.0,,1280.0,1280.0,323.0,0.031,33.0,290.0,0.003,0.028,"[['id_source', 'building:use', 'amenity', 'building:material', 'geometry', 'id_misaligned']]",1.0,1.0,218.0,"[0, 0, 0, 0, 0, 0]"
v0.1-HUN.1.7_1,Bács-Kiskun,Kiskunfélegyház,"[1, 1, 1, 1, 1, 1]",3994.0,952647.967,238.52,119.561,32014.271,7.91,74.19,196.473,0.0,0.0,4.0,0.001,9.0,0.0,0.0,0.0,7.0,1.0,0.0,1.0,0.0,0.0,0.0,0.002,0.0,0.0,0.0,0.0,6.833,,24.0,2.5,3.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1885.333,,1975.0,1755.0,381.0,0.095,99.0,282.0,0.025,0.071,"[['id_source', 'building:use', 'amenity', 'building:material', 'geometry', 'id_misaligned']]",1.0,1.0,63.0,"[0, 0, 0, 0, 0, 0]"
v0.1-HUN.1.8_1,Bács-Kiskun,Kiskunhalas,"[1, 1, 1, 1, 1, 1]",2156.0,478297.403,221.845,124.582,8246.257,4.386,60.667,217.861,0.0,0.0,11.0,0.005,26.0,0.01,0.0,0.0,4.0,16.0,5.0,0.0,1.0,0.0,0.0,0.002,0.007,0.002,0.0,0.0,10.077,,27.0,2.5,9.0,0.0,2.0,2.0,3.0,1.0,1.0,0.0,0.001,0.001,0.001,0.0,0.0,0.0,1688.444,,2007.0,19.0,520.0,0.241,344.0,176.0,0.16,0.082,"[['id_source', 'building:use', 'amenity', 'building:material', 'geometry', 'id_misaligned']]",1.0,1.0,142.0,"[0, 0, 0, 0, 0, 0]"
v0.1-HUN.1.9_1,Bács-Kiskun,Kiskunmajsa,"[1, 1, 1, 1, 1, 1]",2537.0,473904.87,186.797,128.338,3327.491,2.486,75.611,218.464,0.0,0.0,5.0,0.002,3.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.0,0.0,0.0,0.0,2.667,,3.0,2.5,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1898.0,,1898.0,1898.0,220.0,0.087,34.0,186.0,0.013,0.073,"[['id_source', 'building:use', 'amenity', 'building:material', 'geometry', 'id_misaligned']]",1.0,1.0,34.0,"[0, 0, 0, 0, 0, 0]"
v0.1-HUN.1.10_1,Bács-Kiskun,Kunszentmiklós,"[1, 1, 1, 1, 1, 1]",7184.0,1069865.02,148.923,81.236,10320.099,4.133,42.391,151.101,0.0,0.0,39.0,0.005,8.0,0.0,0.0,0.0,6.0,2.0,0.0,0.0,0.0,0.0,0.0,0.001,0.0,0.0,0.0,0.0,4.375,,8.0,2.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,688.0,0.096,299.0,389.0,0.042,0.054,"[['id_source', 'building:use', 'amenity', 'building:material', 'geometry', 'id_misaligned']]",1.0,1.0,308.0,"[0, 0, 0, 0, 0, 0]"
