id,region,city,n_files,bldgs_n_tot,a_tot,a_mean,a_med,a_max,a_min,a_25,a_75,a_n_0,a_p_0,a_n_10,a_p_10,height_n,height_p,height_n_inf_0,height_n_0_2,height_n_3_5,height_n_6_10,height_n_11_15,height_n_16_25,height_n_26_inf,height_p_inf_0,height_p_0_2,height_p_3_5,height_p_6_10,height_p_11_15,height_p_16_25,height_p_26_inf,height_mean,height_med,height_max,height_min,age_n,age_p,age_n_0_1800,age_n_1801_1900,age_n_1901_1950,age_n_1951_2000,age_n_2001_2022,age_n_2023_inf,age_p_0_1800,age_p_1801_1900,age_p_1901_1950,age_p_1951_2000,age_p_2001_2022,age_p_2023_inf,age_mean,age_med,age_max,age_min,type_n,type_p,type_n_res,type_n_non_res,type_p_res,type_p_non_res,extra_attribs,const_bldgs_file,const_id_files,n_bldg_buffer,unnamed_0_bits
v0.1-IRL.1_1,ireland,Carlow,"[1, 1, 1, 1, 1, 1]",41593.0,6533462.043,157.081,97.896,25018.509,2.071,58.106,172.729,0.0,0.0,194.0,0.005,2336.0,0.06,0.0,1.0,2329.0,6.0,0.0,0.0,0.0,0.0,0.0,0.056,0.0,0.0,0.0,0.0,4.723,,10.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,20433.0,0.491,14599.0,5834.0,0.351,0.14,"[['id_source', 'building:use', 'amenity', 'building:material', 'geometry', 'id_misaligned']]",1.0,1.0,3419.0,"[0, 0, 0, 0, 0, 0]"
v0.1-IRL.2_1,ireland,Cavan,"[1, 1, 1, 1, 1, 1]",8420.0,2066504.203,245.428,126.166,45242.861,5.829,88.132,187.368,0.0,0.0,20.0,0.002,308.0,0.04,0.0,0.0,306.0,1.0,1.0,0.0,0.0,0.0,0.0,0.036,0.0,0.0,0.0,0.0,4.222,,15.0,2.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,5206.0,0.618,4133.0,1073.0,0.491,0.127,"[['id_source', 'building:use', 'amenity', 'building:material', 'geometry', 'id_misaligned']]",1.0,1.0,599.0,"[0, 0, 0, 0, 0, 0]"
v0.1-IRL.3_1,ireland,Clare,"[1, 1, 1, 1, 1, 1]",25743.0,4487088.276,174.303,98.938,27642.945,1.98,63.817,164.175,0.0,0.0,31.0,0.001,457.0,0.02,0.0,2.0,426.0,25.0,4.0,0.0,0.0,0.0,0.0,0.017,0.001,0.0,0.0,0.0,4.914,,12.5,1.0,4.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1448.0,,2016.0,15.0,17644.0,0.685,14074.0,3570.0,0.547,0.139,"[['id_source', 'building:use', 'amenity', 'building:material', 'geometry', 'id_misaligned']]",1.0,1.0,555.0,"[0, 0, 0, 0, 0, 0]"
v0.1-IRL.4_1,ireland,Cork,"[1, 1, 1, 1, 1, 1]",143540.0,24491244.736,170.623,92.151,56481.879,0.358,55.689,158.402,0.0,0.0,902.0,0.006,10114.0,0.07,1.0,3.0,9359.0,698.0,44.0,6.0,3.0,0.0,0.0,0.065,0.005,0.0,0.0,0.0,4.924,,71.0,0.0,43.0,0.0,10.0,14.0,3.0,4.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1810.535,,2021.0,2.0,99180.0,0.691,70980.0,28200.0,0.494,0.196,"[['id_source', 'building:use', 'amenity', 'building:material', 'geometry', 'id_misaligned']]",1.0,1.0,543.0,"[0, 0, 0, 0, 0, 0]"
v0.1-IRL.5_1,ireland,Donegal,"[1, 1, 1, 1, 1, 1]",46163.0,6784094.862,146.96,102.756,27106.92,2.713,59.087,157.359,0.0,0.0,281.0,0.006,1822.0,0.04,0.0,2.0,1800.0,18.0,1.0,1.0,0.0,0.0,0.0,0.039,0.0,0.0,0.0,0.0,3.648,,23.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1958.0,,1958.0,1958.0,27664.0,0.599,18264.0,9400.0,0.396,0.204,"[['id_source', 'building:use', 'amenity', 'building:material', 'geometry', 'id_misaligned']]",1.0,1.0,1591.0,"[0, 0, 0, 0, 0, 0]"
v0.1-IRL.6_1,ireland,Dublin,"[1, 1, 1, 1, 1, 1]",403877.0,50483063.897,124.996,60.333,69141.793,1.142,48.198,85.858,0.0,0.0,9675.0,0.024,145881.0,0.36,1.0,12.0,140067.0,4995.0,595.0,165.0,46.0,0.0,0.0,0.347,0.012,0.001,0.0,0.0,5.055,,207.8,0.0,104.0,0.0,6.0,3.0,17.0,58.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1933.519,,2021.0,188.0,319526.0,0.791,255847.0,63677.0,0.633,0.158,"[['id_source', 'building:use', 'amenity', 'building:material', 'geometry', 'id_misaligned']]",1.0,1.0,3962.0,"[0, 0, 0, 0, 0, 0]"
v0.1-IRL.7_1,ireland,Galway,"[1, 1, 1, 1, 1, 1]",76833.0,11051176.686,143.834,80.92,32096.846,0.997,55.232,145.234,0.0,0.0,1435.0,0.019,3742.0,0.05,1.0,2.0,3644.0,79.0,9.0,3.0,4.0,0.0,0.0,0.047,0.001,0.0,0.0,0.0,4.732,,30.0,0.0,6.0,0.0,0.0,2.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1968.333,,2020.0,1864.0,48842.0,0.636,39993.0,8849.0,0.521,0.115,"[['id_source', 'building:use', 'amenity', 'building:material', 'geometry', 'id_misaligned']]",1.0,1.0,813.0,"[0, 0, 0, 0, 0, 0]"
v0.1-IRL.8_1,ireland,Kerry,"[1, 1, 1, 1, 1, 1]",53105.0,8229232.846,154.962,105.963,27780.658,2.674,59.939,169.504,0.0,0.0,182.0,0.003,489.0,0.01,0.0,0.0,485.0,4.0,0.0,0.0,0.0,0.0,0.0,0.009,0.0,0.0,0.0,0.0,3.252,,10.0,2.5,10.0,0.0,0.0,1.0,3.0,1.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1962.5,,2019.0,1831.0,33331.0,0.628,17839.0,15491.0,0.336,0.292,"[['id_source', 'building:use', 'amenity', 'building:material', 'geometry', 'id_misaligned']]",1.0,1.0,284.0,"[0, 0, 0, 0, 0, 0]"
v0.1-IRL.9_1,ireland,Kildare,"[1, 1, 1, 1, 1, 1]",55509.0,9391884.016,169.196,84.489,69098.164,2.107,58.986,150.542,0.0,0.0,245.0,0.004,9292.0,0.17,1.0,70.0,8620.0,598.0,1.0,1.0,1.0,0.0,0.001,0.155,0.011,0.0,0.0,0.0,4.919,,33.0,0.0,14.0,0.0,3.0,5.0,1.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1766.429,,2018.0,1200.0,40867.0,0.736,33524.0,7343.0,0.604,0.132,"[['id_source', 'building:use', 'amenity', 'building:material', 'geometry', 'id_misaligned']]",1.0,1.0,3283.0,"[0, 0, 0, 0, 0, 0]"
v0.1-IRL.10_1,ireland,Kilkenny,"[1, 1, 1, 1, 1, 1]",85507.0,13009130.621,152.141,97.584,37578.293,0.282,55.865,169.072,0.0,0.0,674.0,0.008,4633.0,0.05,0.0,16.0,4049.0,509.0,33.0,14.0,12.0,0.0,0.0,0.047,0.006,0.0,0.0,0.0,4.438,,40.0,1.0,60.0,0.0,5.0,37.0,1.0,7.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1867.85,,2021.0,1604.0,35674.0,0.417,26482.0,9192.0,0.31,0.107,"[['id_source', 'building:use', 'amenity', 'building:material', 'geometry', 'id_misaligned']]",1.0,1.0,7574.0,"[0, 0, 0, 0, 0, 0]"
