id,region,city,n_files,bldgs_n_tot,a_tot,a_mean,a_med,a_max,a_min,a_25,a_75,a_n_0,a_p_0,a_n_10,a_p_10,height_n,height_p,height_n_inf_0,height_n_0_2,height_n_3_5,height_n_6_10,height_n_11_15,height_n_16_25,height_n_26_inf,height_p_inf_0,height_p_0_2,height_p_3_5,height_p_6_10,height_p_11_15,height_p_16_25,height_p_26_inf,height_mean,height_med,height_max,height_min,age_n,age_p,age_n_0_1800,age_n_1801_1900,age_n_1901_1950,age_n_1951_2000,age_n_2001_2022,age_n_2023_inf,age_p_0_1800,age_p_1801_1900,age_p_1901_1950,age_p_1951_2000,age_p_2001_2022,age_p_2023_inf,age_mean,age_med,age_max,age_min,type_n,type_p,type_n_res,type_n_non_res,type_p_res,type_p_non_res,extra_attribs,const_bldgs_file,const_id_files,n_bldg_buffer,unnamed_0_bits
v0.1-LVA.1.1_1,Kurzeme,Kuldiga,"[1, 1, 1, 1, 1, 1]",18499.0,2924712.063,158.101,92.192,8127.187,0.965,42.72,159.305,0.0,0.0,712.0,0.038,729.0,0.04,1.0,186.0,391.0,85.0,54.0,8.0,4.0,0.0,0.01,0.021,0.005,0.003,0.0,0.0,4.386,,60.0,0.0,3.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1258.0,,1973.0,18.0,2292.0,0.124,971.0,1321.0,0.052,0.071,"[['id_source', 'building:use', 'amenity', 'building:material', 'geometry', 'id_misaligned']]",1.0,1.0,282.0,"[0, 0, 0, 0, 0, 0]"
v0.1-LVA.1.2_1,Kurzeme,Liepaja,"[1, 1, 1, 1, 1, 1]",26552.0,6338296.274,238.713,103.311,116570.48,0.013,68.204,198.642,0.0,0.0,239.0,0.009,1269.0,0.05,2.0,3.0,864.0,131.0,228.0,41.0,0.0,0.0,0.0,0.033,0.005,0.009,0.002,0.0,6.13,,22.5,0.0,2.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1898.5,,1929.0,1868.0,2137.0,0.08,1218.0,919.0,0.046,0.035,"[['id_source', 'building:use', 'amenity', 'building:material', 'geometry', 'id_misaligned']]",1.0,1.0,438.0,"[0, 0, 0, 0, 0, 0]"
v0.1-LVA.1.3_1,Kurzeme,Saldus,"[1, 1, 1, 1, 1, 1]",10522.0,2268985.906,215.642,114.819,18914.834,0.004,62.064,200.17,0.0,0.0,126.0,0.012,57.0,0.01,0.0,0.0,31.0,22.0,4.0,0.0,0.0,0.0,0.0,0.003,0.002,0.0,0.0,0.0,6.096,,12.5,2.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,654.0,0.062,182.0,472.0,0.017,0.045,"[['id_source', 'building:use', 'amenity', 'building:material', 'geometry', 'id_misaligned']]",1.0,1.0,288.0,"[0, 0, 0, 0, 0, 0]"
v0.1-LVA.1.4_1,Kurzeme,Talsi,"[1, 1, 1, 1, 1, 1]",22419.0,3981950.259,177.615,103.077,13390.251,1.732,60.012,175.53,0.0,0.0,250.0,0.011,131.0,0.01,0.0,1.0,106.0,22.0,0.0,2.0,0.0,0.0,0.0,0.005,0.001,0.0,0.0,0.0,4.627,,23.8,1.5,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2000.0,,2000.0,2000.0,651.0,0.029,455.0,196.0,0.02,0.009,"[['id_source', 'building:use', 'amenity', 'building:material', 'geometry', 'id_misaligned']]",1.0,1.0,137.0,"[0, 0, 0, 0, 0, 0]"
v0.1-LVA.1.5_1,Kurzeme,Ventspils,"[1, 1, 1, 1, 1, 1]",22368.0,3022145.592,135.11,45.013,24223.454,0.43,19.452,114.772,0.0,0.0,2169.0,0.097,60.0,0.0,0.0,1.0,31.0,1.0,4.0,2.0,21.0,0.0,0.0,0.001,0.0,0.0,0.0,0.001,15.112,,56.0,0.7,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1645.0,,1645.0,1645.0,2142.0,0.096,911.0,1231.0,0.041,0.055,"[['id_source', 'building:use', 'amenity', 'building:material', 'geometry', 'id_misaligned']]",1.0,1.0,185.0,"[0, 0, 0, 0, 0, 0]"
v0.1-LVA.2.1_1,Latgale,Balvi,"[1, 1, 1, 1, 1, 1]",13771.0,2413295.23,175.245,119.194,23369.533,3.863,87.792,172.282,0.0,0.0,4.0,0.0,70.0,0.01,0.0,1.0,25.0,22.0,22.0,0.0,0.0,0.0,0.0,0.002,0.002,0.002,0.0,0.0,7.886,,12.5,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,1189.0,0.086,1093.0,96.0,0.079,0.007,"[['id_source', 'building:use', 'amenity', 'building:material', 'geometry', 'id_misaligned']]",1.0,1.0,49.0,"[0, 0, 0, 0, 0, 0]"
v0.1-LVA.2.2_1,Latgale,Daugavpils,"[1, 1, 1, 1, 1, 1]",10355.0,3645523.688,352.054,132.007,100084.591,2.858,79.33,338.467,0.0,0.0,17.0,0.002,2484.0,0.24,1.0,1.0,2065.0,110.0,267.0,38.0,2.0,0.0,0.0,0.199,0.011,0.026,0.004,0.0,4.31,,30.0,0.0,7.0,0.0,0.0,2.0,3.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1934.857,,2019.0,1882.0,2140.0,0.207,1131.0,1009.0,0.109,0.097,"[['id_source', 'building:use', 'amenity', 'building:material', 'geometry', 'id_misaligned']]",1.0,1.0,740.0,"[0, 0, 0, 0, 0, 0]"
v0.1-LVA.2.3_1,Latgale,Kraslava,"[1, 1, 1, 1, 1, 1]",12705.0,2233379.924,175.787,118.183,8556.426,4.367,92.976,161.752,0.0,0.0,8.0,0.001,86.0,0.01,0.0,0.0,44.0,38.0,3.0,1.0,0.0,0.0,0.0,0.003,0.003,0.0,0.0,0.0,5.362,,15.66,2.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,365.0,0.029,221.0,144.0,0.017,0.011,"[['id_source', 'building:use', 'amenity', 'building:material', 'geometry', 'id_misaligned']]",1.0,1.0,389.0,"[0, 0, 0, 0, 0, 0]"
v0.1-LVA.2.4_1,Latgale,Ludza,"[1, 1, 1, 1, 1, 1]",8215.0,1027618.789,125.091,70.978,5516.734,0.055,26.164,113.247,0.0,0.0,526.0,0.064,44.0,0.01,0.0,0.0,41.0,2.0,1.0,0.0,0.0,0.0,0.0,0.005,0.0,0.0,0.0,0.0,3.295,,12.5,2.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,144.0,0.018,46.0,98.0,0.006,0.012,"[['id_source', 'building:use', 'amenity', 'building:material', 'geometry', 'id_misaligned']]",1.0,1.0,202.0,"[0, 0, 0, 0, 0, 0]"
v0.1-LVA.2.5_1,Latgale,Preili,"[1, 1, 1, 1, 1, 1]",4391.0,1108986.57,252.559,128.023,20803.376,3.488,81.153,210.807,0.0,0.0,7.0,0.002,64.0,0.01,0.0,0.0,39.0,11.0,14.0,0.0,0.0,0.0,0.0,0.009,0.003,0.003,0.0,0.0,5.938,,12.5,2.5,3.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1903.333,,1929.0,1861.0,359.0,0.082,198.0,161.0,0.045,0.037,"[['id_source', 'building:use', 'amenity', 'building:material', 'geometry', 'id_misaligned']]",1.0,1.0,38.0,"[0, 0, 0, 0, 0, 0]"
