id,region,city,n_files,bldgs_n_tot,a_tot,a_mean,a_med,a_max,a_min,a_25,a_75,a_n_0,a_p_0,a_n_10,a_p_10,height_n,height_p,height_n_inf_0,height_n_0_2,height_n_3_5,height_n_6_10,height_n_11_15,height_n_16_25,height_n_26_inf,height_p_inf_0,height_p_0_2,height_p_3_5,height_p_6_10,height_p_11_15,height_p_16_25,height_p_26_inf,height_mean,height_med,height_max,height_min,age_n,age_p,age_n_0_1800,age_n_1801_1900,age_n_1901_1950,age_n_1951_2000,age_n_2001_2022,age_n_2023_inf,age_p_0_1800,age_p_1801_1900,age_p_1901_1950,age_p_1951_2000,age_p_2001_2022,age_p_2023_inf,age_mean,age_med,age_max,age_min,type_n,type_p,type_n_res,type_n_non_res,type_p_res,type_p_non_res,extra_attribs,const_bldgs_file,const_id_files,n_bldg_buffer,unnamed_0_bits
v0.1-POL.1.1_1,Dolnośląskie,Bolesławiec,"[1, 1, 1, 1, 1, 1]",29945.0,4852218.127,162.038,103.514,49076.887,13.378,72.516,152.795,0.0,0.0,0.0,0.0,29945.0,1.0,0.0,0.0,8854.0,18994.0,1684.0,388.0,25.0,0.0,0.0,0.296,0.634,0.056,0.013,0.001,6.426,6.24,38.01,2.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,"[['id_source', 'roof type', 'id_misaligned']]",1.0,0.0,782.0,"[0, 0, 0, 0, 0, 0]"
v0.1-POL.1.2_1,Dolnośląskie,Dzierżoniów,"[1, 1, 1, 1, 1, 1]",24596.0,4286978.306,174.296,114.125,16430.138,3.915,74.827,176.971,0.0,0.0,1.0,0.0,24596.0,1.0,0.0,1.0,7054.0,14980.0,2071.0,470.0,20.0,0.0,0.0,0.287,0.609,0.084,0.019,0.001,6.747,6.4,35.97,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,"[['id_source', 'roof type', 'id_misaligned']]",1.0,0.0,849.0,"[0, 0, 0, 0, 0, 0]"
v0.1-POL.1.3_1,Dolnośląskie,Głogów,"[1, 1, 1, 1, 1, 1]",16831.0,3342171.751,198.572,116.878,32434.521,13.086,80.889,175.098,0.0,0.0,0.0,0.0,16831.0,1.0,0.0,0.0,5542.0,9937.0,776.0,507.0,69.0,0.0,0.0,0.329,0.59,0.046,0.03,0.004,6.408,5.91,69.27,2.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,"[['id_source', 'roof type', 'id_misaligned']]",1.0,0.0,439.0,"[0, 0, 0, 0, 0, 0]"
v0.1-POL.1.4_1,Dolnośląskie,Góra,"[1, 1, 1, 1, 1, 1]",18049.0,2598609.949,143.975,104.768,7896.828,13.295,70.46,151.796,0.0,0.0,0.0,0.0,18049.0,1.0,0.0,0.0,7076.0,10475.0,426.0,68.0,4.0,0.0,0.0,0.392,0.58,0.024,0.004,0.0,5.503,5.45,45.23,2.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,"[['id_source', 'roof type', 'id_misaligned']]",1.0,0.0,868.0,"[0, 0, 0, 0, 0, 0]"
v0.1-POL.1.5_1,Dolnośląskie,Jawor,"[1, 1, 1, 1, 1, 1]",17184.0,2877814.522,167.471,113.29,24318.082,12.313,74.354,176.195,0.0,0.0,0.0,0.0,17184.0,1.0,0.0,0.0,4834.0,11001.0,1118.0,228.0,3.0,0.0,0.0,0.281,0.64,0.065,0.013,0.0,6.661,6.56,32.66,2.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,"[['id_source', 'roof type', 'id_misaligned']]",1.0,0.0,997.0,"[0, 0, 0, 0, 0, 0]"
v0.1-POL.1.7_1,Dolnośląskie,Jelenia Góra,"[1, 1, 1, 1, 1, 1]",21571.0,3598100.97,166.803,117.371,34190.898,24.116,78.688,175.198,0.0,0.0,0.0,0.0,21571.0,1.0,0.0,1.0,5318.0,14202.0,1871.0,177.0,2.0,0.0,0.0,0.247,0.658,0.087,0.008,0.0,6.788,6.59,27.58,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,"[['id_source', 'roof type', 'id_misaligned']]",1.0,0.0,1342.0,"[0, 0, 0, 0, 0, 0]"
v0.1-POL.1.6_1,Dolnośląskie,Jelenia Góra (City),"[1, 1, 1, 1, 1, 1]",11609.0,2655152.815,228.715,129.855,23320.764,2.613,85.996,212.526,0.0,0.0,1.0,0.0,11609.0,1.0,0.0,0.0,2223.0,6573.0,2082.0,683.0,48.0,0.0,0.0,0.191,0.566,0.179,0.059,0.004,8.195,7.69,40.93,2.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,"[['id_source', 'roof type', 'id_misaligned']]",1.0,1.0,49.0,"[0, 0, 0, 0, 0, 0]"
v0.1-POL.1.8_1,Dolnośląskie,Kamienna Góra,"[1, 1, 1, 1, 1, 1]",11259.0,1871543.434,166.226,117.045,17834.45,15.29,79.832,174.892,0.0,0.0,0.0,0.0,11259.0,1.0,0.0,0.0,3019.0,7102.0,929.0,206.0,3.0,0.0,0.0,0.268,0.631,0.083,0.018,0.0,6.76,6.49,29.08,2.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,"[['id_source', 'roof type', 'id_misaligned']]",1.0,0.0,258.0,"[0, 0, 0, 0, 0, 0]"
v0.1-POL.1.9_1,Dolnośląskie,Kłodzko,"[1, 1, 1, 1, 1, 1]",48588.0,7775824.715,160.036,116.395,14932.345,12.861,78.471,174.172,0.0,0.0,0.0,0.0,48588.0,1.0,0.0,0.0,11823.0,31066.0,4699.0,971.0,29.0,0.0,0.0,0.243,0.639,0.097,0.02,0.001,6.958,6.59,37.24,2.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,"[['id_source', 'roof type', 'id_misaligned']]",1.0,0.0,152.0,"[0, 0, 0, 0, 0, 0]"
v0.1-POL.1.11_1,Dolnośląskie,Legnica,"[1, 1, 1, 1, 1, 1]",23913.0,4020694.921,168.138,113.169,42970.433,10.108,75.993,166.799,0.0,0.0,0.0,0.0,23913.0,1.0,0.0,0.0,7557.0,15209.0,994.0,151.0,2.0,0.0,0.0,0.316,0.636,0.042,0.006,0.0,6.138,6.05,33.37,2.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,"[['id_source', 'roof type', 'id_misaligned']]",1.0,0.0,2453.0,"[0, 0, 0, 0, 0, 0]"
