id,region,city,n_files,bldgs_n_tot,a_tot,a_mean,a_med,a_max,a_min,a_25,a_75,a_n_0,a_p_0,a_n_10,a_p_10,height_n,height_p,height_n_inf_0,height_n_0_2,height_n_3_5,height_n_6_10,height_n_11_15,height_n_16_25,height_n_26_inf,height_p_inf_0,height_p_0_2,height_p_3_5,height_p_6_10,height_p_11_15,height_p_16_25,height_p_26_inf,height_mean,height_med,height_max,height_min,age_n,age_p,age_n_0_1800,age_n_1801_1900,age_n_1901_1950,age_n_1951_2000,age_n_2001_2022,age_n_2023_inf,age_p_0_1800,age_p_1801_1900,age_p_1901_1950,age_p_1951_2000,age_p_2001_2022,age_p_2023_inf,age_mean,age_med,age_max,age_min,type_n,type_p,type_n_res,type_n_non_res,type_p_res,type_p_non_res,extra_attribs,const_bldgs_file,const_id_files,n_bldg_buffer,unnamed_0_bits
v0.1-PRT.1.1_1,Aveiro,Águeda,"[1, 1, 1, 1, 1, 1]",3938.0,1968207.851,499.799,152.266,91258.878,1.208,70.042,274.319,0.0,0.0,85.0,0.022,155.0,0.04,1.0,0.0,132.0,22.0,0.0,0.0,0.0,0.0,0.0,0.034,0.006,0.0,0.0,0.0,4.306,,10.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,,20.0,20.0,1779.0,0.452,1341.0,438.0,0.341,0.111,"[['id_source', 'building:use', 'amenity', 'building:material', 'geometry', 'id_misaligned']]",1.0,1.0,106.0,"[0, 0, 0, 0, 0, 0]"
v0.1-PRT.1.2_1,Aveiro,Albergaria-a-Velha,"[1, 1, 1, 1, 1, 1]",3804.0,763561.887,200.726,90.273,19061.6,2.55,43.192,190.581,0.0,0.0,19.0,0.005,13.0,0.0,0.0,0.0,10.0,2.0,1.0,0.0,0.0,0.0,0.0,0.003,0.001,0.0,0.0,0.0,5.769,,12.5,2.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,1185.0,0.312,1006.0,179.0,0.264,0.047,"[['id_source', 'building:use', 'amenity', 'building:material', 'geometry', 'id_misaligned']]",1.0,1.0,249.0,"[0, 0, 0, 0, 0, 0]"
v0.1-PRT.1.3_1,Aveiro,Anadia,"[1, 1, 1, 1, 1, 1]",574.0,450190.557,784.304,197.269,29342.162,8.169,115.693,562.324,0.0,0.0,4.0,0.007,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,280.0,0.488,204.0,76.0,0.355,0.132,"[['id_source', 'building:use', 'amenity', 'building:material', 'geometry', 'id_misaligned']]",1.0,1.0,9.0,"[0, 0, 0, 0, 0, 0]"
v0.1-PRT.1.4_1,Aveiro,Arouca,"[1, 1, 1, 1, 1, 1]",1116.0,312963.71,280.433,119.644,9471.311,0.238,65.362,232.577,0.0,0.0,21.0,0.019,8.0,0.01,1.0,0.0,4.0,3.0,0.0,0.0,0.0,0.001,0.0,0.004,0.003,0.0,0.0,0.0,4.375,,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,659.0,0.591,454.0,205.0,0.407,0.184,"[['id_source', 'building:use', 'amenity', 'building:material', 'geometry', 'id_misaligned']]",1.0,1.0,125.0,"[0, 0, 0, 0, 0, 0]"
v0.1-PRT.1.5_1,Aveiro,Aveiro,"[1, 1, 1, 1, 1, 1]",5853.0,2815582.697,481.049,143.066,61174.267,1.816,79.715,321.043,0.0,0.0,82.0,0.014,103.0,0.02,1.0,0.0,60.0,29.0,6.0,5.0,2.0,0.0,0.0,0.01,0.005,0.001,0.001,0.0,7.233,,32.5,0.0,2.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1999.5,,2018.0,1981.0,1282.0,0.219,963.0,318.0,0.165,0.054,"[['id_source', 'building:use', 'amenity', 'building:material', 'geometry', 'id_misaligned']]",1.0,1.0,538.0,"[0, 0, 0, 0, 0, 0]"
v0.1-PRT.1.6_1,Aveiro,Castelo de Paiva,"[1, 1, 1, 1, 1, 1]",2436.0,441352.949,181.179,99.404,13874.924,4.207,58.287,161.096,0.0,0.0,17.0,0.007,12.0,0.0,0.0,0.0,8.0,2.0,2.0,0.0,0.0,0.0,0.0,0.003,0.001,0.001,0.0,0.0,6.667,,15.0,2.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,2003.0,0.822,1771.0,231.0,0.727,0.095,"[['id_source', 'building:use', 'amenity', 'building:material', 'geometry', 'id_misaligned']]",1.0,1.0,258.0,"[0, 0, 0, 0, 0, 0]"
v0.1-PRT.1.7_1,Aveiro,Espinho,"[1, 1, 1, 1, 1, 1]",1413.0,503244.091,356.153,129.125,23915.599,2.465,65.64,261.883,0.0,0.0,27.0,0.019,245.0,0.17,0.0,11.0,207.0,25.0,2.0,0.0,0.0,0.0,0.008,0.146,0.018,0.001,0.0,0.0,3.912,,12.5,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.001,0.0,0.0,0.0,1940.0,,1940.0,1940.0,317.0,0.224,182.0,135.0,0.129,0.096,"[['id_source', 'building:use', 'amenity', 'building:material', 'geometry', 'id_misaligned']]",1.0,1.0,678.0,"[0, 0, 0, 0, 0, 0]"
v0.1-PRT.1.8_1,Aveiro,Estarreja,"[1, 1, 1, 1, 1, 1]",1095.0,621553.017,567.628,150.682,30215.444,6.457,88.715,295.92,0.0,0.0,3.0,0.003,39.0,0.04,0.0,0.0,28.0,11.0,0.0,0.0,0.0,0.0,0.0,0.026,0.01,0.0,0.0,0.0,4.744,,10.0,2.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,217.0,0.198,65.0,152.0,0.059,0.139,"[['id_source', 'building:use', 'amenity', 'building:material', 'geometry', 'id_misaligned']]",1.0,1.0,169.0,"[0, 0, 0, 0, 0, 0]"
v0.1-PRT.1.9_1,Aveiro,Ílhavo,"[1, 1, 1, 1, 1, 1]",5332.0,1427445.275,267.713,103.746,43495.629,4.031,54.097,180.093,0.0,0.0,68.0,0.013,101.0,0.02,0.0,0.0,80.0,20.0,1.0,0.0,0.0,0.0,0.0,0.015,0.004,0.0,0.0,0.0,4.386,,15.0,2.5,4.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.001,0.0,2009.75,,2016.0,1997.0,763.0,0.143,575.0,188.0,0.108,0.035,"[['id_source', 'building:use', 'amenity', 'building:material', 'geometry', 'id_misaligned']]",1.0,1.0,105.0,"[0, 0, 0, 0, 0, 0]"
v0.1-PRT.1.10_1,Aveiro,Mealhada,"[1, 1, 1, 1, 1, 1]",1281.0,509500.202,397.736,149.486,33404.801,3.379,78.679,317.695,0.0,0.0,27.0,0.021,126.0,0.1,0.0,0.0,87.0,35.0,4.0,0.0,0.0,0.0,0.0,0.068,0.027,0.003,0.0,0.0,5.615,,12.5,2.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,498.0,0.389,383.0,114.0,0.299,0.089,"[['id_source', 'building:use', 'amenity', 'building:material', 'geometry', 'id_misaligned']]",1.0,1.0,35.0,"[0, 0, 0, 0, 0, 0]"
v0.1-PRT.1.11_1,Aveiro,Murtosa,"[1, 1, 1, 1, 1, 1]",489.0,283936.29,580.647,240.541,14843.233,4.48,136.53,548.46,0.0,0.0,1.0,0.002,44.0,0.09,0.0,0.0,27.0,17.0,0.0,0.0,0.0,0.0,0.0,0.055,0.035,0.0,0.0,0.0,5.568,,10.0,2.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,173.0,0.354,116.0,57.0,0.237,0.117,"[['id_source', 'building:use', 'amenity', 'building:material', 'geometry', 'id_misaligned']]",1.0,1.0,132.0,"[0, 0, 0, 0, 0, 0]"
v0.1-PRT.1.12_1,Aveiro,Oliveira de Azeméis,"[1, 1, 1, 1, 1, 1]",4864.0,1675527.701,344.475,141.066,40906.173,6.342,89.591,220.154,0.0,0.0,2.0,0.0,119.0,0.02,0.0,0.0,31.0,81.0,7.0,0.0,0.0,0.0,0.0,0.006,0.017,0.001,0.0,0.0,7.521,,12.5,2.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,4132.0,0.85,2793.0,1339.0,0.574,0.275,"[['id_source', 'building:use', 'amenity', 'building:material', 'geometry', 'id_misaligned']]",1.0,1.0,456.0,"[0, 0, 0, 0, 0, 0]"
v0.1-PRT.1.13_1,Aveiro,Oliveira do Bairro,"[1, 1, 1, 1, 1, 1]",214.0,380720.128,1779.066,506.25,56576.427,8.246,199.815,1124.51,0.0,0.0,1.0,0.005,5.0,0.02,0.0,0.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.019,0.005,0.0,0.0,0.0,4.0,,7.5,2.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,80.0,0.374,41.0,39.0,0.192,0.182,"[['id_source', 'building:use', 'amenity', 'building:material', 'geometry', 'id_misaligned']]",1.0,1.0,61.0,"[0, 0, 0, 0, 0, 0]"
v0.1-PRT.1.14_1,Aveiro,Ovar,"[1, 1, 1, 1, 1, 1]",19019.0,4426161.682,232.723,122.256,47324.531,1.68,75.992,188.738,0.0,0.0,91.0,0.005,1792.0,0.09,0.0,1.0,1606.0,163.0,18.0,4.0,0.0,0.0,0.0,0.084,0.009,0.001,0.0,0.0,4.178,,20.0,2.0,12.0,0.0,0.0,5.0,2.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1933.592,,2019.0,1815.0,13130.0,0.69,11293.0,1836.0,0.594,0.097,"[['id_source', 'building:use', 'amenity', 'building:material', 'geometry', 'id_misaligned']]",1.0,1.0,887.0,"[0, 0, 0, 0, 0, 0]"
v0.1-PRT.1.15_1,Aveiro,Santa Maria da Feira,"[1, 1, 1, 1, 1, 1]",3988.0,2299999.595,576.73,198.498,46146.442,3.886,110.753,425.87,0.0,0.0,11.0,0.003,444.0,0.11,2.0,0.0,364.0,51.0,26.0,1.0,0.0,0.001,0.0,0.091,0.013,0.007,0.0,0.0,4.819,,17.5,0.0,10.0,0.0,3.0,2.0,2.0,2.0,1.0,0.0,0.001,0.001,0.001,0.001,0.0,0.0,1881.1,,2008.0,1739.0,2368.0,0.594,1514.0,853.0,0.38,0.214,"[['id_source', 'building:use', 'amenity', 'building:material', 'geometry', 'id_misaligned']]",1.0,1.0,2076.0,"[0, 0, 0, 0, 0, 0]"
v0.1-PRT.1.16_1,Aveiro,São João da Madeira,"[1, 1, 1, 1, 1, 1]",274.0,277388.898,1012.368,265.414,30722.411,12.797,106.956,813.688,0.0,0.0,0.0,0.0,80.0,0.29,0.0,0.0,65.0,5.0,4.0,6.0,0.0,0.0,0.0,0.237,0.018,0.015,0.022,0.0,5.75,,22.5,2.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,142.0,0.518,109.0,33.0,0.398,0.12,"[['id_source', 'building:use', 'amenity', 'building:material', 'geometry', 'id_misaligned']]",1.0,1.0,1255.0,"[0, 0, 0, 0, 0, 0]"
v0.1-PRT.1.17_1,Aveiro,Sever do Vouga,"[1, 1, 1, 1, 1, 1]",1272.0,326872.807,256.975,96.881,28411.826,3.732,47.215,189.999,0.0,0.0,17.0,0.013,169.0,0.13,0.0,0.0,145.0,23.0,1.0,0.0,0.0,0.0,0.0,0.114,0.018,0.001,0.0,0.0,4.994,,12.5,2.5,2.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.002,0.0,0.0,1972.5,,1987.0,1958.0,766.0,0.602,434.0,332.0,0.341,0.261,"[['id_source', 'building:use', 'amenity', 'building:material', 'geometry', 'id_misaligned']]",1.0,1.0,495.0,"[0, 0, 0, 0, 0, 0]"
v0.1-PRT.1.18_1,Aveiro,Vagos,"[1, 1, 1, 1, 1, 1]",1061.0,709733.809,668.929,177.272,61018.888,12.817,117.065,319.252,0.0,0.0,0.0,0.0,13.0,0.01,0.0,0.0,12.0,1.0,0.0,0.0,0.0,0.0,0.0,0.011,0.001,0.0,0.0,0.0,3.269,,10.0,2.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,175.0,0.165,33.0,142.0,0.031,0.134,"[['id_source', 'building:use', 'amenity', 'building:material', 'geometry', 'id_misaligned']]",1.0,1.0,43.0,"[0, 0, 0, 0, 0, 0]"
v0.1-PRT.1.19_1,Aveiro,Vale de Cambra,"[1, 1, 1, 1, 1, 1]",1598.0,604191.226,378.092,149.022,45179.77,6.845,84.054,248.447,0.0,0.0,7.0,0.004,8.0,0.01,0.0,0.0,6.0,2.0,0.0,0.0,0.0,0.0,0.0,0.004,0.001,0.0,0.0,0.0,5.25,,9.0,2.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,527.0,0.33,388.0,139.0,0.243,0.087,"[['id_source', 'building:use', 'amenity', 'building:material', 'geometry', 'id_misaligned']]",1.0,1.0,59.0,"[0, 0, 0, 0, 0, 0]"
v0.1-PRT.2.1_1,Azores,Angra do Heroísmo,"[1, 1, 1, 1, 1, 1]",17125.0,2487000.805,145.226,95.141,14731.067,0.29,59.601,156.143,0.0,0.0,31.0,0.002,569.0,0.03,0.0,0.0,533.0,33.0,2.0,1.0,0.0,0.0,0.0,0.031,0.002,0.0,0.0,0.0,4.376,,25.0,2.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,3667.0,0.214,2928.0,739.0,0.171,0.043,"[['id_source', 'building:use', 'amenity', 'building:material', 'geometry', 'id_misaligned']]",1.0,1.0,591.0,"[0, 0, 0, 0, 0, 0]"
v0.1-PRT.2.2_1,Azores,Calheta,"[1, 1, 1, 1, 1, 1]",2347.0,223282.461,95.135,67.416,3504.311,2.237,38.229,108.771,0.0,0.0,22.0,0.009,2.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.25,,16.0,2.5,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1988.0,,1988.0,1988.0,117.0,0.05,100.0,17.0,0.043,0.007,"[['id_source', 'building:use', 'amenity', 'building:material', 'geometry', 'id_misaligned']]",1.0,1.0,20.0,"[0, 0, 0, 0, 0, 0]"
v0.1-PRT.2.3_1,Azores,Corvo,"[1, 1, 1, 1, 1, 1]",524.0,35432.027,67.618,43.241,954.926,1.561,27.849,73.547,0.0,0.0,8.0,0.015,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002,0.0,0.0,0.0,0.0,5.0,,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,76.0,0.145,41.0,35.0,0.078,0.067,"[['id_source', 'building:use', 'amenity', 'building:material', 'geometry', 'id_misaligned']]",1.0,1.0,0.0,"[0, 0, 0, 0, 0, 0]"
v0.1-PRT.2.4_1,Azores,Horta,"[1, 1, 1, 1, 1, 1]",13780.0,1502373.808,109.026,74.673,11120.627,2.398,39.143,132.793,0.0,0.0,143.0,0.01,20.0,0.0,2.0,0.0,17.0,1.0,0.0,0.0,0.0,0.0,0.0,0.001,0.0,0.0,0.0,0.0,3.2,,7.5,0.0,23.0,0.0,2.0,3.0,4.0,3.0,11.0,0.0,0.0,0.0,0.0,0.0,0.001,0.0,1943.043,,2019.0,1684.0,5947.0,0.432,5171.0,776.0,0.375,0.056,"[['id_source', 'building:use', 'amenity', 'building:material', 'geometry', 'id_misaligned']]",1.0,1.0,396.0,"[0, 0, 0, 0, 0, 0]"
