id,region,city,n_files,bldgs_n_tot,a_tot,a_mean,a_med,a_max,a_min,a_25,a_75,a_n_0,a_p_0,a_n_10,a_p_10,height_n,height_p,height_n_inf_0,height_n_0_2,height_n_3_5,height_n_6_10,height_n_11_15,height_n_16_25,height_n_26_inf,height_p_inf_0,height_p_0_2,height_p_3_5,height_p_6_10,height_p_11_15,height_p_16_25,height_p_26_inf,height_mean,height_med,height_max,height_min,age_n,age_p,age_n_0_1800,age_n_1801_1900,age_n_1901_1950,age_n_1951_2000,age_n_2001_2022,age_n_2023_inf,age_p_0_1800,age_p_1801_1900,age_p_1901_1950,age_p_1951_2000,age_p_2001_2022,age_p_2023_inf,age_mean,age_med,age_max,age_min,type_n,type_p,type_n_res,type_n_non_res,type_p_res,type_p_non_res,extra_attribs,const_bldgs_file,const_id_files,n_bldg_buffer,unnamed_0_bits
v0.1-ROU.1.1_1,Alba,Abrud,"[1, 1, 1, 1, 1, 1]",869.0,166977.251,192.149,113.286,11172.301,10.677,80.401,175.782,0.0,0.0,0.0,0.0,5.0,0.01,0.0,0.0,1.0,2.0,2.0,0.0,0.0,0.0,0.0,0.001,0.002,0.002,0.0,0.0,10.0,,12.5,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,21.0,0.024,21.0,0.0,0.024,0.0,"[['id_source', 'building:use', 'amenity', 'building:material', 'geometry', 'id_misaligned']]",1.0,1.0,189.0,"[0, 0, 0, 0, 0, 0]"
v0.1-ROU.1.2_1,Alba,Aiud,"[1, 1, 1, 1, 1, 1]",1085.0,464604.047,428.206,270.725,9797.636,8.875,150.723,529.973,0.0,0.0,1.0,0.001,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.0,0.0,0.0,10.0,,10.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,118.0,0.109,82.0,36.0,0.076,0.033,"[['id_source', 'building:use', 'amenity', 'building:material', 'geometry', 'id_misaligned']]",1.0,1.0,36.0,"[0, 0, 0, 0, 0, 0]"
v0.1-ROU.1.3_1,Alba,Alba Iulia,"[1, 1, 1, 1, 1, 1]",7696.0,1956614.814,254.238,132.757,39213.477,2.885,83.093,213.291,0.0,0.0,12.0,0.002,17.0,0.0,0.0,0.0,8.0,6.0,0.0,0.0,3.0,0.0,0.0,0.001,0.001,0.0,0.0,0.0,11.662,,40.0,2.5,2.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1944.0,,1973.0,1915.0,794.0,0.103,633.0,161.0,0.082,0.021,"[['id_source', 'building:use', 'amenity', 'building:material', 'geometry', 'id_misaligned']]",1.0,1.0,308.0,"[0, 0, 0, 0, 0, 0]"
v0.1-ROU.1.4_1,Alba,Albac,"[1, 1, 1, 1, 1, 1]",356.0,43663.272,122.65,95.117,1793.102,13.648,66.673,130.103,0.0,0.0,0.0,0.0,12.0,0.03,0.0,0.0,7.0,5.0,0.0,0.0,0.0,0.0,0.0,0.02,0.014,0.0,0.0,0.0,5.833,,10.0,2.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,8.0,0.022,1.0,7.0,0.003,0.02,"[['id_source', 'building:use', 'amenity', 'building:material', 'geometry', 'id_misaligned']]",1.0,1.0,34.0,"[0, 0, 0, 0, 0, 0]"
v0.1-ROU.1.5_1,Alba,Almasu Mare,"[1, 1, 1, 1, 1, 1]",63.0,7382.355,117.18,104.268,360.341,25.173,79.793,135.457,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,1.0,0.016,0.0,1.0,0.0,0.016,"[['id_source', 'building:use', 'amenity', 'building:material', 'geometry', 'id_misaligned']]",1.0,1.0,0.0,"[0, 0, 0, 0, 0, 0]"
v0.1-ROU.1.6_1,Alba,Arieseni,"[1, 1, 1, 1, 1, 1]",233.0,22283.299,95.636,77.623,561.572,6.819,45.175,126.382,0.0,0.0,1.0,0.004,8.0,0.03,0.0,0.0,7.0,1.0,0.0,0.0,0.0,0.0,0.0,0.03,0.004,0.0,0.0,0.0,4.562,,7.5,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,9.0,0.039,7.0,2.0,0.03,0.009,"[['id_source', 'building:use', 'amenity', 'building:material', 'geometry', 'id_misaligned']]",1.0,1.0,105.0,"[0, 0, 0, 0, 0, 0]"
v0.1-ROU.1.7_1,Alba,Avram Iancu,"[1, 1, 1, 1, 1, 1]",185.0,16797.308,90.796,65.049,764.344,13.811,45.733,90.177,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,1.0,0.005,0.0,1.0,0.0,0.005,"[['id_source', 'building:use', 'amenity', 'building:material', 'geometry', 'id_misaligned']]",1.0,1.0,3.0,"[0, 0, 0, 0, 0, 0]"
v0.1-ROU.1.8_1,Alba,Baia De Aries,"[1, 1, 1, 1, 1, 1]",387.0,79661.417,205.843,136.614,2147.259,14.766,97.428,209.619,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,48.0,0.124,39.0,9.0,0.101,0.023,"[['id_source', 'building:use', 'amenity', 'building:material', 'geometry', 'id_misaligned']]",1.0,1.0,7.0,"[0, 0, 0, 0, 0, 0]"
v0.1-ROU.1.9_1,Alba,Berghin,"[1, 1, 1, 1, 1, 1]",169.0,39964.478,236.476,111.101,1304.186,1.771,75.159,265.786,0.0,0.0,1.0,0.006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,5.0,0.03,0.0,5.0,0.0,0.03,"[['id_source', 'building:use', 'amenity', 'building:material', 'geometry', 'id_misaligned']]",1.0,1.0,97.0,"[0, 0, 0, 0, 0, 0]"
v0.1-ROU.1.10_1,Alba,Bistra,"[1, 1, 1, 1, 1, 1]",85.0,14679.162,172.696,93.273,1416.431,19.87,50.92,170.268,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,1.0,0.012,0.0,1.0,0.0,0.012,"[['id_source', 'building:use', 'amenity', 'building:material', 'geometry', 'id_misaligned']]",1.0,1.0,21.0,"[0, 0, 0, 0, 0, 0]"
v0.1-ROU.1.11_1,Alba,Blaj,"[1, 1, 1, 1, 1, 1]",771.0,418654.914,543.002,245.396,29308.1,6.463,158.248,487.627,0.0,0.0,1.0,0.001,29.0,0.04,0.0,0.0,21.0,8.0,0.0,0.0,0.0,0.0,0.0,0.027,0.01,0.0,0.0,0.0,5.345,,10.0,2.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,266.0,0.345,198.0,68.0,0.257,0.088,"[['id_source', 'building:use', 'amenity', 'building:material', 'geometry', 'id_misaligned']]",1.0,1.0,28.0,"[0, 0, 0, 0, 0, 0]"
v0.1-ROU.1.12_1,Alba,Blandiana,"[1, 1, 1, 1, 1, 1]",106.0,16458.036,155.264,101.292,1078.852,11.482,76.43,169.008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,3.0,0.028,0.0,3.0,0.0,0.028,"[['id_source', 'building:use', 'amenity', 'building:material', 'geometry', 'id_misaligned']]",1.0,1.0,50.0,"[0, 0, 0, 0, 0, 0]"
v0.1-ROU.1.13_1,Alba,Bucium,"[1, 1, 1, 1, 1, 1]",234.0,24224.804,103.525,89.821,646.614,26.736,67.411,122.118,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,3.0,0.013,0.0,3.0,0.0,0.013,"[['id_source', 'building:use', 'amenity', 'building:material', 'geometry', 'id_misaligned']]",1.0,1.0,19.0,"[0, 0, 0, 0, 0, 0]"
v0.1-ROU.1.14_1,Alba,Calnic,"[1, 1, 1, 1, 1, 1]",40.0,16834.754,420.869,345.094,1481.514,56.145,208.322,573.228,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,4.0,0.1,0.0,4.0,0.0,0.1,"[['id_source', 'building:use', 'amenity', 'building:material', 'geometry', 'id_misaligned']]",1.0,1.0,10.0,"[0, 0, 0, 0, 0, 0]"
v0.1-ROU.1.15_1,Alba,Campeni,"[1, 1, 1, 1, 1, 1]",239.0,95586.864,399.945,144.767,14293.277,10.441,93.112,295.765,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,14.0,0.059,10.0,4.0,0.042,0.017,"[['id_source', 'building:use', 'amenity', 'building:material', 'geometry', 'id_misaligned']]",1.0,1.0,17.0,"[0, 0, 0, 0, 0, 0]"
