id,region,city,n_files,bldgs_n_tot,a_tot,a_mean,a_med,a_max,a_min,a_25,a_75,a_n_0,a_p_0,a_n_10,a_p_10,height_n,height_p,height_n_inf_0,height_n_0_2,height_n_3_5,height_n_6_10,height_n_11_15,height_n_16_25,height_n_26_inf,height_p_inf_0,height_p_0_2,height_p_3_5,height_p_6_10,height_p_11_15,height_p_16_25,height_p_26_inf,height_mean,height_med,height_max,height_min,age_n,age_p,age_n_0_1800,age_n_1801_1900,age_n_1901_1950,age_n_1951_2000,age_n_2001_2022,age_n_2023_inf,age_p_0_1800,age_p_1801_1900,age_p_1901_1950,age_p_1951_2000,age_p_2001_2022,age_p_2023_inf,age_mean,age_med,age_max,age_min,type_n,type_p,type_n_res,type_n_non_res,type_p_res,type_p_non_res,extra_attribs,const_bldgs_file,const_id_files,n_bldg_buffer,unnamed_0_bits
v0.1-SVN.1.1_1,Gorenjska,Bled,"[1, 1, 1, 0, 1, 1]",7068.0,1015575.56,143.686,113.517,21764.216,2.965,45.615,182.811,0.0,0.0,78.0,0.011,6658.0,0.94,26.0,38.0,1624.0,3386.0,1502.0,72.0,10.0,0.004,0.005,0.23,0.479,0.213,0.01,0.001,7.706,,53.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,1063.0,0.15,687.0,376.0,0.097,0.053,[0],1.0,1.0,644.0,"[0, 0, 0, 0, 0, 0]"
v0.1-SVN.1.2_1,Gorenjska,Bohinj,"[1, 1, 1, 0, 1, 1]",6354.0,706155.108,111.136,73.109,5793.602,1.023,39.221,141.931,0.0,0.0,55.0,0.009,6000.0,0.94,56.0,24.0,1447.0,3597.0,832.0,39.0,5.0,0.009,0.004,0.228,0.566,0.131,0.006,0.001,7.253,,957.5,-4.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,862.0,0.136,493.0,369.0,0.078,0.058,[0],1.0,1.0,104.0,"[0, 0, 0, 0, 0, 0]"
v0.1-SVN.1.3_1,Gorenjska,Cerklje na Gorenjskem,"[1, 1, 1, 0, 1, 1]",4906.0,987380.312,201.26,145.397,33184.636,1.619,76.388,211.236,0.0,0.0,57.0,0.012,4578.0,0.93,117.0,18.0,648.0,3067.0,697.0,25.0,6.0,0.024,0.004,0.132,0.625,0.142,0.005,0.001,7.712,,752.1,-87.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,1038.0,0.212,588.0,450.0,0.12,0.092,[0],1.0,1.0,613.0,"[0, 0, 0, 0, 0, 0]"
v0.1-SVN.1.4_1,Gorenjska,Gorenja Vas-Poljane,"[1, 1, 1, 0, 1, 1]",5368.0,862209.283,160.62,141.353,5745.916,4.501,72.251,201.528,0.0,0.0,21.0,0.004,5081.0,0.95,35.0,6.0,519.0,2701.0,1772.0,38.0,10.0,0.007,0.001,0.097,0.503,0.33,0.007,0.002,8.855,,302.8,-5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,807.0,0.15,469.0,338.0,0.087,0.063,[0],1.0,1.0,709.0,"[0, 0, 0, 0, 0, 0]"
v0.1-SVN.1.5_1,Gorenjska,Jesenice,"[1, 1, 1, 0, 1, 1]",5505.0,1133787.386,205.956,108.264,84250.01,3.94,46.533,173.431,0.0,0.0,69.0,0.013,5098.0,0.93,28.0,46.0,1358.0,2323.0,1162.0,148.0,33.0,0.005,0.008,0.247,0.422,0.211,0.027,0.006,8.0,,533.2,-8.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,1001.0,0.182,532.0,469.0,0.097,0.085,[0],1.0,1.0,161.0,"[0, 0, 0, 0, 0, 0]"
v0.1-SVN.1.6_1,Gorenjska,Jezersko,"[1, 1, 1, 0, 1, 1]",692.0,82193.327,118.776,90.197,1048.141,6.907,44.339,157.072,0.0,0.0,5.0,0.007,604.0,0.87,3.0,1.0,132.0,364.0,97.0,5.0,2.0,0.004,0.001,0.191,0.526,0.14,0.007,0.003,7.519,,35.3,-8.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,130.0,0.188,76.0,54.0,0.11,0.078,[0],1.0,1.0,35.0,"[0, 0, 0, 0, 0, 0]"
v0.1-SVN.1.7_1,Gorenjska,Kranj,"[1, 1, 1, 0, 1, 1]",15798.0,3272845.501,207.168,136.174,47173.117,2.424,76.004,195.82,0.0,0.0,116.0,0.007,14767.0,0.93,69.0,17.0,2743.0,8424.0,3097.0,317.0,100.0,0.004,0.001,0.174,0.533,0.196,0.02,0.006,8.247,,308.1,-82.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,2947.0,0.187,1998.0,949.0,0.126,0.06,[0],1.0,1.0,3625.0,"[0, 0, 0, 0, 0, 0]"
v0.1-SVN.1.8_1,Gorenjska,Kranjska Gora,"[1, 1, 1, 0, 1, 1]",3843.0,560396.721,145.823,113.314,5654.446,1.948,53.997,177.403,0.0,0.0,46.0,0.012,3588.0,0.93,32.0,27.0,798.0,1968.0,724.0,36.0,3.0,0.008,0.007,0.208,0.512,0.188,0.009,0.001,7.59,,34.6,-8.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,780.0,0.203,506.0,274.0,0.132,0.071,[0],1.0,1.0,305.0,"[0, 0, 0, 0, 0, 0]"
v0.1-SVN.1.9_1,Gorenjska,Naklo,"[1, 1, 1, 0, 1, 1]",2940.0,565739.022,192.428,145.292,38009.684,1.23,79.406,199.996,0.0,0.0,28.0,0.01,2760.0,0.94,18.0,4.0,479.0,1687.0,557.0,9.0,6.0,0.006,0.001,0.163,0.574,0.189,0.003,0.002,7.957,,36.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,529.0,0.18,340.0,189.0,0.116,0.064,[0],1.0,1.0,1056.0,"[0, 0, 0, 0, 0, 0]"
v0.1-SVN.1.10_1,Gorenjska,Preddvor,"[1, 1, 1, 0, 1, 1]",2279.0,357214.587,156.742,135.935,4910.275,2.456,67.229,193.088,0.0,0.0,33.0,0.014,2073.0,0.91,16.0,4.0,356.0,1313.0,368.0,15.0,1.0,0.007,0.002,0.156,0.576,0.161,0.007,0.0,7.764,,38.8,-24.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,428.0,0.188,296.0,132.0,0.13,0.058,[0],1.0,1.0,336.0,"[0, 0, 0, 0, 0, 0]"
