id,region,city,n_files,bldgs_n_tot,a_tot,a_mean,a_med,a_max,a_min,a_25,a_75,a_n_0,a_p_0,a_n_10,a_p_10,height_n,height_p,height_n_inf_0,height_n_0_2,height_n_3_5,height_n_6_10,height_n_11_15,height_n_16_25,height_n_26_inf,height_p_inf_0,height_p_0_2,height_p_3_5,height_p_6_10,height_p_11_15,height_p_16_25,height_p_26_inf,height_mean,height_med,height_max,height_min,age_n,age_p,age_n_0_1800,age_n_1801_1900,age_n_1901_1950,age_n_1951_2000,age_n_2001_2022,age_n_2023_inf,age_p_0_1800,age_p_1801_1900,age_p_1901_1950,age_p_1951_2000,age_p_2001_2022,age_p_2023_inf,age_mean,age_med,age_max,age_min,type_n,type_p,type_n_res,type_n_non_res,type_p_res,type_p_non_res,extra_attribs,const_bldgs_file,const_id_files,n_bldg_buffer,unnamed_0_bits
v0.1-ESP.1.1.1.1_1,Andalucía,Albánchez,"[1, 1, 1, 0, 1, 1]",1012.0,114814.99,113.454,78.717,10251.852,4.761,44.305,131.491,0.0,0.0,17.0,0.017,1011.0,1.0,1.0,0.0,803.0,207.0,0.0,0.0,0.0,0.001,0.0,0.793,0.205,0.0,0.0,0.0,4.491,,10.0,0.0,1011.0,1.0,0.0,180.0,240.0,250.0,341.0,0.0,0.0,0.178,0.237,0.247,0.337,0.0,1966.488,,2016.0,1888.0,1012.0,1.0,615.0,396.0,0.608,0.391,[0],1.0,0.0,32.0,"[0, 0, 0, 0, 0, 0]"
v0.1-ESP.1.1.1.2_1,Andalucía,Albox,"[1, 1, 1, 0, 1, 1]",7192.0,1150744.26,160.003,110.068,19973.35,0.018,56.594,171.871,0.0,0.0,175.0,0.024,7082.0,0.98,35.0,0.0,6376.0,538.0,127.0,6.0,0.0,0.005,0.0,0.887,0.075,0.018,0.001,0.0,4.006,,17.5,0.0,7160.0,1.0,0.0,170.0,1327.0,2690.0,2973.0,0.0,0.0,0.024,0.185,0.374,0.413,0.0,1981.427,,2020.0,1900.0,7192.0,1.0,5855.0,1291.0,0.814,0.18,[0],1.0,0.0,343.0,"[0, 0, 0, 0, 0, 0]"
v0.1-ESP.1.1.1.3_1,Andalucía,Alcóntar,"[1, 1, 1, 0, 1, 1]",612.0,83534.86,136.495,100.026,6072.777,7.569,55.485,156.207,0.0,0.0,1.0,0.002,612.0,1.0,0.0,0.0,596.0,16.0,0.0,0.0,0.0,0.0,0.0,0.974,0.026,0.0,0.0,0.0,3.583,2.5,7.5,2.5,605.0,0.99,0.0,176.0,89.0,274.0,66.0,0.0,0.0,0.288,0.145,0.448,0.108,0.0,1955.486,,2017.0,1900.0,612.0,1.0,373.0,232.0,0.609,0.379,[0],1.0,0.0,120.0,"[0, 0, 0, 0, 0, 0]"
v0.1-ESP.1.1.1.4_1,Andalucía,Arboleas,"[1, 1, 1, 0, 1, 1]",3978.0,479107.297,120.439,106.216,4323.635,0.396,41.262,140.271,0.0,0.0,146.0,0.037,3966.0,1.0,27.0,0.0,3871.0,68.0,0.0,0.0,0.0,0.007,0.0,0.973,0.017,0.0,0.0,0.0,3.186,,10.0,0.0,3966.0,1.0,0.0,143.0,134.0,687.0,3002.0,0.0,0.0,0.036,0.034,0.173,0.755,0.0,1996.477,,2019.0,1900.0,3978.0,1.0,3636.0,309.0,0.914,0.078,[0],1.0,0.0,290.0,"[0, 0, 0, 0, 0, 0]"
v0.1-ESP.1.1.1.5_1,Andalucía,Armuña de Almanzora,"[1, 1, 1, 0, 1, 1]",380.0,48165.617,126.752,84.771,2895.85,0.466,52.523,132.729,0.0,0.0,5.0,0.013,377.0,0.99,1.0,0.0,336.0,40.0,0.0,0.0,0.0,0.003,0.0,0.884,0.105,0.0,0.0,0.0,4.092,,10.0,0.0,378.0,0.99,0.0,75.0,31.0,201.0,71.0,0.0,0.0,0.197,0.082,0.529,0.187,0.0,1968.939,,2015.0,1890.0,380.0,1.0,252.0,126.0,0.663,0.332,[0],1.0,0.0,296.0,"[0, 0, 0, 0, 0, 0]"
v0.1-ESP.1.1.1.6_1,Andalucía,Bacares,"[1, 1, 1, 0, 1, 1]",528.0,41510.717,78.619,60.609,625.83,0.127,36.269,99.743,0.0,0.0,6.0,0.011,508.0,0.96,0.0,0.0,335.0,172.0,1.0,0.0,0.0,0.0,0.0,0.634,0.326,0.002,0.0,0.0,5.094,,12.5,2.5,527.0,1.0,0.0,200.0,9.0,195.0,123.0,0.0,0.0,0.379,0.017,0.369,0.233,0.0,1955.748,,2018.0,1900.0,528.0,1.0,324.0,200.0,0.614,0.379,[0],1.0,0.0,20.0,"[0, 0, 0, 0, 0, 0]"
v0.1-ESP.1.1.1.7_1,Andalucía,Bayarque,"[1, 1, 1, 0, 1, 1]",282.0,29314.494,103.952,86.772,568.706,5.012,53.365,142.667,0.0,0.0,3.0,0.011,208.0,0.74,0.0,0.0,187.0,21.0,0.0,0.0,0.0,0.0,0.0,0.663,0.074,0.0,0.0,0.0,4.159,,10.0,2.5,281.0,1.0,0.0,74.0,58.0,104.0,45.0,0.0,0.0,0.262,0.206,0.369,0.16,0.0,1953.904,,2012.0,1900.0,282.0,1.0,194.0,81.0,0.688,0.287,[0],1.0,0.0,55.0,"[0, 0, 0, 0, 0, 0]"
v0.1-ESP.1.1.1.8_1,Andalucía,Cantoria,"[1, 1, 1, 0, 1, 1]",3406.0,707601.392,207.751,98.414,87769.512,0.074,54.377,154.295,0.0,0.0,80.0,0.023,3392.0,1.0,11.0,0.0,3158.0,221.0,2.0,0.0,0.0,0.003,0.0,0.927,0.065,0.001,0.0,0.0,3.821,,15.0,0.0,3389.0,1.0,0.0,23.0,627.0,1473.0,1266.0,0.0,0.0,0.007,0.184,0.432,0.372,0.0,1981.116,,2019.0,1900.0,3406.0,1.0,2821.0,559.0,0.828,0.164,[0],1.0,0.0,756.0,"[0, 0, 0, 0, 0, 0]"
v0.1-ESP.1.1.1.9_1,Andalucía,Chercos,"[1, 1, 1, 0, 1, 1]",411.0,42221.461,102.729,82.51,1764.793,5.98,53.976,121.895,0.0,0.0,3.0,0.007,401.0,0.98,0.0,0.0,398.0,3.0,0.0,0.0,0.0,0.0,0.0,0.968,0.007,0.0,0.0,0.0,4.165,,7.5,2.5,401.0,0.98,0.0,82.0,58.0,145.0,116.0,0.0,0.0,0.2,0.141,0.353,0.282,0.0,1962.918,,2014.0,1900.0,411.0,1.0,271.0,130.0,0.659,0.316,[0],1.0,0.0,22.0,"[0, 0, 0, 0, 0, 0]"
v0.1-ESP.1.1.1.10_1,Andalucía,Fines,"[1, 1, 1, 0, 1, 1]",1261.0,271160.388,215.036,111.901,4965.345,0.024,69.584,171.503,0.0,0.0,11.0,0.009,1243.0,0.99,3.0,0.0,1066.0,167.0,6.0,1.0,0.0,0.002,0.0,0.845,0.132,0.005,0.001,0.0,4.113,,17.5,0.0,1257.0,1.0,0.0,2.0,116.0,546.0,593.0,0.0,0.0,0.002,0.092,0.433,0.47,0.0,1991.028,,2019.0,1900.0,1261.0,1.0,897.0,355.0,0.711,0.282,[0],1.0,1.0,164.0,"[0, 0, 0, 0, 0, 0]"
