id,region,city,n_files,bldgs_n_tot,a_tot,a_mean,a_med,a_max,a_min,a_25,a_75,a_n_0,a_p_0,a_n_10,a_p_10,height_n,height_p,height_n_inf_0,height_n_0_2,height_n_3_5,height_n_6_10,height_n_11_15,height_n_16_25,height_n_26_inf,height_p_inf_0,height_p_0_2,height_p_3_5,height_p_6_10,height_p_11_15,height_p_16_25,height_p_26_inf,height_mean,height_med,height_max,height_min,age_n,age_p,age_n_0_1800,age_n_1801_1900,age_n_1901_1950,age_n_1951_2000,age_n_2001_2022,age_n_2023_inf,age_p_0_1800,age_p_1801_1900,age_p_1901_1950,age_p_1951_2000,age_p_2001_2022,age_p_2023_inf,age_mean,age_med,age_max,age_min,type_n,type_p,type_n_res,type_n_non_res,type_p_res,type_p_non_res,extra_attribs,const_bldgs_file,const_id_files,n_bldg_buffer,unnamed_0_bits
vmsft24-BGR.1.1_1,Blagoevgrad,Bansko,"[1, 1, 1, 1, 1, 1]",9093.0,1597689.869,175.705,106.498,15562.368,5.728,48.252,170.794,0.0,0.0,49.0,0.005,9093.0,1.0,9093.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,[['confidence']],1.0,0.0,24.0,"[0, 0, 0, 0, 0, 0]"
vmsft24-BGR.1.2_1,Blagoevgrad,Belitsa,"[1, 1, 1, 1, 1, 1]",7680.0,763123.748,99.365,75.913,3227.605,6.8,36.033,124.097,0.0,0.0,52.0,0.007,7680.0,1.0,7680.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,[['confidence']],1.0,1.0,511.0,"[0, 0, 0, 0, 0, 0]"
vmsft24-BGR.1.3_1,Blagoevgrad,Blagoevgrad,"[1, 1, 1, 1, 1, 1]",18247.0,2990439.934,163.887,79.079,18706.971,5.649,36.996,149.233,0.0,0.0,99.0,0.005,18247.0,1.0,18247.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,[['confidence']],1.0,0.0,182.0,"[0, 0, 0, 0, 0, 0]"
vmsft24-BGR.1.4_1,Blagoevgrad,Garmen,"[1, 1, 1, 1, 1, 1]",10066.0,1081479.834,107.439,93.204,3172.38,5.596,46.372,131.417,0.0,0.0,35.0,0.003,10066.0,1.0,10066.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,[['confidence']],1.0,0.0,142.0,"[0, 0, 0, 0, 0, 0]"
vmsft24-BGR.1.5_1,Blagoevgrad,Gotse Delchev,"[1, 1, 1, 1, 1, 1]",11910.0,1845674.735,154.968,104.615,16489.845,6.493,49.584,157.952,0.0,0.0,43.0,0.004,11910.0,1.0,11910.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,[['confidence']],1.0,0.0,67.0,"[0, 0, 0, 0, 0, 0]"
vmsft24-BGR.1.6_1,Blagoevgrad,Hadzhidimovo,"[1, 1, 1, 1, 1, 1]",8078.0,1000160.727,123.813,98.453,7060.824,6.052,48.236,142.176,0.0,0.0,40.0,0.005,8078.0,1.0,8078.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,[['confidence']],1.0,1.0,816.0,"[0, 0, 0, 0, 0, 0]"
vmsft24-BGR.1.7_1,Blagoevgrad,Kresna,"[1, 1, 1, 1, 1, 1]",4943.0,545540.313,110.366,82.297,3570.798,7.01,41.226,119.848,0.0,0.0,25.0,0.005,4943.0,1.0,4943.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,[['confidence']],1.0,0.0,39.0,"[0, 0, 0, 0, 0, 0]"
vmsft24-BGR.1.8_1,Blagoevgrad,Petrich,"[1, 1, 1, 1, 1, 1]",26970.0,3961847.112,146.898,97.363,14049.965,5.882,43.779,157.896,0.0,0.0,154.0,0.006,26970.0,1.0,26970.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,[['confidence']],1.0,0.0,858.0,"[0, 0, 0, 0, 0, 0]"
vmsft24-BGR.1.9_1,Blagoevgrad,Razlog,"[1, 1, 1, 1, 1, 1]",10914.0,1616465.617,148.109,94.888,10021.601,6.027,40.565,156.725,0.0,0.0,56.0,0.005,10914.0,1.0,10914.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,[['confidence']],1.0,0.0,74.0,"[0, 0, 0, 0, 0, 0]"
vmsft24-BGR.1.10_1,Blagoevgrad,Sandanski,"[1, 1, 1, 1, 1, 1]",20954.0,3179248.673,151.725,93.387,7501.645,6.362,40.649,151.26,0.0,0.0,98.0,0.005,20954.0,1.0,20954.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,[['confidence']],1.0,0.0,596.0,"[0, 0, 0, 0, 0, 0]"
