id,region,city,n_files,bldgs_n_tot,a_tot,a_mean,a_med,a_max,a_min,a_25,a_75,a_n_0,a_p_0,a_n_10,a_p_10,height_n,height_p,height_n_inf_0,height_n_0_2,height_n_3_5,height_n_6_10,height_n_11_15,height_n_16_25,height_n_26_inf,height_p_inf_0,height_p_0_2,height_p_3_5,height_p_6_10,height_p_11_15,height_p_16_25,height_p_26_inf,height_mean,height_med,height_max,height_min,age_n,age_p,age_n_0_1800,age_n_1801_1900,age_n_1901_1950,age_n_1951_2000,age_n_2001_2022,age_n_2023_inf,age_p_0_1800,age_p_1801_1900,age_p_1901_1950,age_p_1951_2000,age_p_2001_2022,age_p_2023_inf,age_mean,age_med,age_max,age_min,type_n,type_p,type_n_res,type_n_non_res,type_p_res,type_p_non_res,extra_attribs,const_bldgs_file,const_id_files,n_bldg_buffer,unnamed_0_bits
vmsft24-HRV.1.1_1,Bjelovarska-Bilogorska,Berek,"[1, 1, 1, 1, 1, 1]",2473.0,313439.007,126.744,92.946,1766.129,7.435,40.232,158.493,0.0,0.0,29.0,0.012,2473.0,1.0,2473.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,[['confidence']],1.0,1.0,400.0,"[0, 0, 0, 0, 0, 0]"
vmsft24-HRV.1.2_1,Bjelovarska-Bilogorska,Bjelovar,"[1, 1, 1, 1, 1, 1]",24134.0,3646267.642,151.084,108.405,13466.712,5.283,44.919,171.548,0.0,0.0,199.0,0.008,24134.0,1.0,24134.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,[['confidence']],1.0,0.0,1785.0,"[0, 0, 0, 0, 0, 0]"
vmsft24-HRV.1.3_1,Bjelovarska-Bilogorska,Čazma,"[1, 1, 1, 1, 1, 1]",9121.0,1156320.469,126.776,92.063,5578.495,6.1,40.148,154.296,0.0,0.0,82.0,0.009,9121.0,1.0,9121.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,[['confidence']],1.0,1.0,812.0,"[0, 0, 0, 0, 0, 0]"
vmsft24-HRV.1.4_1,Bjelovarska-Bilogorska,Daruvar,"[1, 1, 1, 1, 1, 1]",7981.0,1074325.943,134.61,99.717,4337.206,6.202,41.308,154.348,0.0,0.0,79.0,0.01,7981.0,1.0,7981.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,[['confidence']],1.0,0.0,878.0,"[0, 0, 0, 0, 0, 0]"
vmsft24-HRV.1.5_1,Bjelovarska-Bilogorska,Dežanovac,"[1, 1, 1, 1, 1, 1]",3799.0,549726.449,144.703,107.17,3439.03,5.934,42.228,180.874,0.0,0.0,50.0,0.013,3799.0,1.0,3799.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,[['confidence']],1.0,0.0,1570.0,"[0, 0, 0, 0, 0, 0]"
vmsft24-HRV.1.6_1,Bjelovarska-Bilogorska,Đulovac,"[1, 1, 1, 1, 1, 1]",5283.0,516290.15,97.727,80.712,3647.4,5.916,35.984,130.295,0.0,0.0,61.0,0.012,5283.0,1.0,5283.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,[['confidence']],1.0,1.0,752.0,"[0, 0, 0, 0, 0, 0]"
vmsft24-HRV.1.7_1,Bjelovarska-Bilogorska,Garešnica,"[1, 1, 1, 1, 1, 1]",10930.0,1396710.397,127.787,92.997,5648.459,5.85,39.745,156.317,0.0,0.0,99.0,0.009,10930.0,1.0,10930.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,[['confidence']],1.0,0.0,788.0,"[0, 0, 0, 0, 0, 0]"
vmsft24-HRV.1.8_1,Bjelovarska-Bilogorska,Grubišno Polje,"[1, 1, 1, 1, 1, 1]",9221.0,1217939.575,132.083,97.558,10306.356,6.017,42.537,163.776,0.0,0.0,77.0,0.008,9221.0,1.0,9221.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,[['confidence']],1.0,1.0,490.0,"[0, 0, 0, 0, 0, 0]"
vmsft24-HRV.1.9_1,Bjelovarska-Bilogorska,Hercegovac,"[1, 1, 1, 1, 1, 1]",2640.0,403187.687,152.723,110.494,8063.106,6.187,42.669,191.6,0.0,0.0,30.0,0.011,2640.0,1.0,2640.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,[['confidence']],1.0,1.0,637.0,"[0, 0, 0, 0, 0, 0]"
vmsft24-HRV.1.10_1,Bjelovarska-Bilogorska,Ivanska,"[1, 1, 1, 1, 1, 1]",4029.0,606458.609,150.523,106.964,1672.394,5.091,43.363,184.602,0.0,0.0,60.0,0.015,4029.0,1.0,4029.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,[['confidence']],1.0,0.0,513.0,"[0, 0, 0, 0, 0, 0]"
vmsft24-HRV.1.11_1,Bjelovarska-Bilogorska,Kapela,"[1, 1, 1, 1, 1, 1]",4472.0,538227.933,120.355,84.734,1594.497,5.33,40.175,153.457,0.0,0.0,58.0,0.013,4472.0,1.0,4472.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,[['confidence']],1.0,0.0,962.0,"[0, 0, 0, 0, 0, 0]"
vmsft24-HRV.1.12_1,Bjelovarska-Bilogorska,Končanica,"[1, 1, 1, 1, 1, 1]",3432.0,447124.938,130.281,101.618,2173.867,5.049,42.793,173.029,0.0,0.0,30.0,0.009,3432.0,1.0,3432.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,[['confidence']],1.0,1.0,972.0,"[0, 0, 0, 0, 0, 0]"
vmsft24-HRV.1.13_1,Bjelovarska-Bilogorska,Nova Rača,"[1, 1, 1, 1, 1, 1]",3560.0,581458.668,163.331,109.034,3327.85,5.914,42.336,197.959,0.0,0.0,36.0,0.01,3560.0,1.0,3560.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,[['confidence']],1.0,0.0,1387.0,"[0, 0, 0, 0, 0, 0]"
vmsft24-HRV.1.14_1,Bjelovarska-Bilogorska,Rovišće,"[1, 1, 1, 1, 1, 1]",4760.0,759450.487,159.548,114.942,3542.816,6.857,45.571,197.669,0.0,0.0,58.0,0.012,4760.0,1.0,4760.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,[['confidence']],1.0,1.0,998.0,"[0, 0, 0, 0, 0, 0]"
vmsft24-HRV.1.15_1,Bjelovarska-Bilogorska,Šandrovac,"[1, 1, 1, 1, 1, 1]",2580.0,335144.811,129.901,89.388,1887.652,6.182,37.443,166.932,0.0,0.0,43.0,0.017,2580.0,1.0,2580.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,[['confidence']],1.0,1.0,619.0,"[0, 0, 0, 0, 0, 0]"
vmsft24-HRV.1.16_1,Bjelovarska-Bilogorska,Severin,"[1, 1, 1, 1, 1, 1]",1534.0,210571.902,137.27,76.73,4334.646,7.043,36.275,162.796,0.0,0.0,15.0,0.01,1534.0,1.0,1534.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,[['confidence']],1.0,0.0,639.0,"[0, 0, 0, 0, 0, 0]"
vmsft24-HRV.1.17_1,Bjelovarska-Bilogorska,Sirač,"[1, 1, 1, 1, 1, 1]",3088.0,352851.277,114.265,88.451,2817.906,6.159,37.637,142.713,0.0,0.0,30.0,0.01,3088.0,1.0,3088.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,[['confidence']],1.0,1.0,717.0,"[0, 0, 0, 0, 0, 0]"
vmsft24-HRV.1.18_1,Bjelovarska-Bilogorska,Štefanje,"[1, 1, 1, 1, 1, 1]",2005.0,313814.664,156.516,106.93,1928.88,5.966,44.97,191.772,0.0,0.0,22.0,0.011,2005.0,1.0,2005.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,[['confidence']],1.0,1.0,581.0,"[0, 0, 0, 0, 0, 0]"
vmsft24-HRV.1.19_1,Bjelovarska-Bilogorska,Velika Pisanica,"[1, 1, 1, 1, 1, 1]",3053.0,404584.306,132.52,97.789,2086.439,6.596,41.153,165.149,0.0,0.0,35.0,0.011,3053.0,1.0,3053.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,[['confidence']],1.0,1.0,803.0,"[0, 0, 0, 0, 0, 0]"
