id,region,city,n_files,bldgs_n_tot,a_tot,a_mean,a_med,a_max,a_min,a_25,a_75,a_n_0,a_p_0,a_n_10,a_p_10,height_n,height_p,height_n_inf_0,height_n_0_2,height_n_3_5,height_n_6_10,height_n_11_15,height_n_16_25,height_n_26_inf,height_p_inf_0,height_p_0_2,height_p_3_5,height_p_6_10,height_p_11_15,height_p_16_25,height_p_26_inf,height_mean,height_med,height_max,height_min,age_n,age_p,age_n_0_1800,age_n_1801_1900,age_n_1901_1950,age_n_1951_2000,age_n_2001_2022,age_n_2023_inf,age_p_0_1800,age_p_1801_1900,age_p_1901_1950,age_p_1951_2000,age_p_2001_2022,age_p_2023_inf,age_mean,age_med,age_max,age_min,type_n,type_p,type_n_res,type_n_non_res,type_p_res,type_p_non_res,extra_attribs,const_bldgs_file,const_id_files,n_bldg_buffer,unnamed_0_bits
vmsft24-CZE.1.1_1,Jihočeský,České Budějovice,"[1, 1, 1, 1, 1, 1]",103048.0,20651510.601,200.407,75.293,58830.535,4.4,27.442,200.255,0.0,0.0,2675.0,0.026,103048.0,1.0,103048.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,[['confidence']],1.0,1.0,3694.0,"[0, 0, 0, 0, 0, 0]"
vmsft24-CZE.1.2_1,Jihočeský,Český Krumlov,"[1, 1, 1, 1, 1, 1]",41711.0,6576800.519,157.675,57.926,36498.495,4.522,25.359,165.465,0.0,0.0,1106.0,0.027,41711.0,1.0,39901.0,492.0,1041.0,272.0,3.0,2.0,0.0,0.957,0.012,0.025,0.007,0.0,0.0,0.0,-0.811,-1.0,17.52,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,[['confidence']],1.0,0.0,2280.0,"[0, 0, 0, 0, 0, 0]"
vmsft24-CZE.1.3_1,Jihočeský,Jindřichův Hradec,"[1, 1, 1, 1, 1, 1]",66182.0,13724297.823,207.372,82.841,39411.35,4.737,28.367,219.683,0.0,0.0,1514.0,0.023,66182.0,1.0,66182.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,[['confidence']],1.0,0.0,3147.0,"[0, 0, 0, 0, 0, 0]"
vmsft24-CZE.1.4_1,Jihočeský,Písek,"[1, 1, 1, 1, 1, 1]",51098.0,9694469.754,189.723,85.078,31048.691,4.36,27.867,207.306,0.0,0.0,1430.0,0.028,51098.0,1.0,51098.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,[['confidence']],1.0,0.0,2868.0,"[0, 0, 0, 0, 0, 0]"
vmsft24-CZE.1.5_1,Jihočeský,Prachatice,"[1, 1, 1, 1, 1, 1]",30251.0,6118865.066,202.27,107.208,17778.999,4.347,36.241,227.855,0.0,0.0,511.0,0.017,30251.0,1.0,7475.0,5361.0,13503.0,3725.0,135.0,52.0,0.0,0.247,0.177,0.446,0.123,0.004,0.002,0.0,2.417,2.553,23.815,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,[['confidence']],1.0,0.0,1509.0,"[0, 0, 0, 0, 0, 0]"
vmsft24-CZE.1.6_1,Jihočeský,Strakonice,"[1, 1, 1, 1, 1, 1]",43976.0,9316531.802,211.855,100.771,29877.15,4.362,32.727,228.945,0.0,0.0,915.0,0.021,43976.0,1.0,28960.0,3587.0,9472.0,1880.0,72.0,5.0,0.0,0.659,0.082,0.215,0.043,0.002,0.0,0.0,0.485,-1.0,22.303,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,[['confidence']],1.0,0.0,3612.0,"[0, 0, 0, 0, 0, 0]"
vmsft24-CZE.1.7_1,Jihočeský,Tábor,"[1, 1, 1, 1, 1, 1]",69463.0,12970729.611,186.729,86.584,22552.028,4.499,29.755,202.059,0.0,0.0,1941.0,0.028,69463.0,1.0,69463.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,[['confidence']],1.0,0.0,3123.0,"[0, 0, 0, 0, 0, 0]"
vmsft24-CZE.2.1_1,Jihomoravský,Blansko,"[0, 0, 0, 0, 0, 1]",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,[0],1.0,1.0,0.0,"[0, 0, 0, 0, 0, 0]"
vmsft24-CZE.2.2_1,Jihomoravský,Břeclav,"[1, 1, 1, 1, 1, 1]",55616.0,14431065.843,259.477,100.155,51151.132,4.345,36.987,243.924,0.0,0.0,839.0,0.015,55616.0,1.0,1126.0,11693.0,34022.0,8228.0,434.0,104.0,9.0,0.02,0.21,0.612,0.148,0.008,0.002,0.0,3.42,3.218,29.365,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,[['confidence']],1.0,0.0,2600.0,"[0, 0, 0, 0, 0, 0]"
vmsft24-CZE.2.3_1,Jihomoravský,Brno,"[0, 0, 0, 0, 0, 1]",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,[0],1.0,1.0,0.0,"[0, 0, 0, 0, 0, 0]"
