id,region,city,n_files,bldgs_n_tot,a_tot,a_mean,a_med,a_max,a_min,a_25,a_75,a_n_0,a_p_0,a_n_10,a_p_10,height_n,height_p,height_n_inf_0,height_n_0_2,height_n_3_5,height_n_6_10,height_n_11_15,height_n_16_25,height_n_26_inf,height_p_inf_0,height_p_0_2,height_p_3_5,height_p_6_10,height_p_11_15,height_p_16_25,height_p_26_inf,height_mean,height_med,height_max,height_min,age_n,age_p,age_n_0_1800,age_n_1801_1900,age_n_1901_1950,age_n_1951_2000,age_n_2001_2022,age_n_2023_inf,age_p_0_1800,age_p_1801_1900,age_p_1901_1950,age_p_1951_2000,age_p_2001_2022,age_p_2023_inf,age_mean,age_med,age_max,age_min,type_n,type_p,type_n_res,type_n_non_res,type_p_res,type_p_non_res,extra_attribs,const_bldgs_file,const_id_files,n_bldg_buffer,unnamed_0_bits
vmsft24-FRA.1.1.1.1_1,Auvergne-Rhône-Alpes,Ambérieu-en-Bugey,"[1, 1, 1, 1, 1, 1]",12019.0,2600150.42,216.337,141.347,41837.696,5.122,34.651,221.333,0.0,0.0,302.0,0.025,12019.0,1.0,9353.0,408.0,1957.0,292.0,8.0,1.0,0.0,0.778,0.034,0.163,0.024,0.001,0.0,0.0,0.002,-1.0,15.141,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,[['confidence']],1.0,1.0,835.0,"[0, 0, 0, 0, 0, 0]"
vmsft24-FRA.1.1.1.2_1,Auvergne-Rhône-Alpes,Belley,"[1, 1, 1, 1, 1, 1]",13611.0,2733990.992,200.866,133.845,15300.839,4.987,30.617,225.887,0.0,0.0,378.0,0.028,13611.0,1.0,10936.0,401.0,1923.0,344.0,7.0,0.0,0.0,0.803,0.029,0.141,0.025,0.001,0.0,0.0,-0.099,-1.0,11.712,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,[['confidence']],1.0,1.0,1332.0,"[0, 0, 0, 0, 0, 0]"
vmsft24-FRA.1.1.1.3_1,Auvergne-Rhône-Alpes,Champagne-en-Valromey,"[1, 1, 1, 1, 1, 1]",5523.0,1044555.318,189.128,121.473,6762.775,5.146,28.984,239.379,0.0,0.0,153.0,0.028,5523.0,1.0,4458.0,124.0,695.0,235.0,9.0,2.0,0.0,0.807,0.022,0.126,0.043,0.002,0.0,0.0,-0.026,-1.0,17.949,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,[['confidence']],1.0,0.0,238.0,"[0, 0, 0, 0, 0, 0]"
vmsft24-FRA.1.1.1.4_1,Auvergne-Rhône-Alpes,Hauteville-Lompnes,"[1, 1, 1, 1, 1, 1]",3755.0,768136.882,204.564,129.298,4873.735,5.081,30.396,246.354,0.0,0.0,125.0,0.033,3755.0,1.0,2969.0,148.0,480.0,152.0,5.0,1.0,0.0,0.791,0.039,0.128,0.04,0.001,0.0,0.0,-0.016,-1.0,18.452,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,[['confidence']],1.0,0.0,135.0,"[0, 0, 0, 0, 0, 0]"
vmsft24-FRA.1.1.1.5_1,Auvergne-Rhône-Alpes,Lagnieu,"[1, 1, 1, 1, 1, 1]",13872.0,3656513.038,263.589,132.333,65883.114,5.424,30.398,218.449,0.0,0.0,403.0,0.029,13872.0,1.0,10852.0,464.0,2223.0,325.0,7.0,1.0,0.0,0.782,0.033,0.16,0.023,0.001,0.0,0.0,-0.029,-1.0,23.079,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,[['confidence']],1.0,1.0,3676.0,"[0, 0, 0, 0, 0, 0]"
vmsft24-FRA.1.1.1.6_1,Auvergne-Rhône-Alpes,Lhuis,"[1, 1, 1, 1, 1, 1]",5893.0,1114326.719,189.093,117.537,31649.492,5.32,30.357,220.835,0.0,0.0,142.0,0.024,5893.0,1.0,4654.0,184.0,861.0,193.0,1.0,0.0,0.0,0.79,0.031,0.146,0.033,0.0,0.0,0.0,-0.02,-1.0,12.022,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,[['confidence']],1.0,0.0,636.0,"[0, 0, 0, 0, 0, 0]"
vmsft24-FRA.1.1.1.7_1,Auvergne-Rhône-Alpes,Saint-Rambert-en-Bugey,"[1, 1, 1, 1, 1, 1]",4488.0,790386.083,176.111,83.343,10780.884,4.951,24.656,201.994,0.0,0.0,147.0,0.033,4488.0,1.0,3314.0,145.0,852.0,175.0,1.0,1.0,0.0,0.738,0.032,0.19,0.039,0.0,0.0,0.0,0.236,-1.0,18.35,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,[['confidence']],1.0,1.0,100.0,"[0, 0, 0, 0, 0, 0]"
vmsft24-FRA.1.1.1.8_1,Auvergne-Rhône-Alpes,Seyssel,"[1, 1, 1, 1, 1, 1]",4620.0,869118.645,188.121,119.449,27766.488,5.397,29.831,206.526,0.0,0.0,121.0,0.026,4620.0,1.0,3761.0,129.0,595.0,133.0,1.0,1.0,0.0,0.814,0.028,0.129,0.029,0.0,0.0,0.0,-0.122,-1.0,15.946,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,[['confidence']],1.0,1.0,954.0,"[0, 0, 0, 0, 0, 0]"
vmsft24-FRA.1.1.1.9_1,Auvergne-Rhône-Alpes,Virieu-le-Grand,"[1, 1, 1, 1, 1, 1]",4341.0,746285.319,171.916,102.026,7727.604,5.487,27.307,225.545,0.0,0.0,133.0,0.031,4341.0,1.0,3506.0,105.0,543.0,182.0,3.0,2.0,0.0,0.808,0.024,0.125,0.042,0.001,0.0,0.0,-0.052,-1.0,16.253,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,[['confidence']],1.0,0.0,687.0,"[0, 0, 0, 0, 0, 0]"
vmsft24-FRA.1.1.2.1_1,Auvergne-Rhône-Alpes,Bâgé-le-Châtel,"[1, 1, 1, 1, 1, 1]",12562.0,2737223.868,217.897,148.669,60187.674,4.941,31.627,250.09,0.0,0.0,391.0,0.031,12562.0,1.0,10237.0,334.0,1770.0,215.0,6.0,0.0,0.0,0.815,0.027,0.141,0.017,0.0,0.0,0.0,-0.17,-1.0,14.422,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,[['confidence']],1.0,0.0,1469.0,"[0, 0, 0, 0, 0, 0]"
