id,region,city,n_files,bldgs_n_tot,a_tot,a_mean,a_med,a_max,a_min,a_25,a_75,a_n_0,a_p_0,a_n_10,a_p_10,height_n,height_p,height_n_inf_0,height_n_0_2,height_n_3_5,height_n_6_10,height_n_11_15,height_n_16_25,height_n_26_inf,height_p_inf_0,height_p_0_2,height_p_3_5,height_p_6_10,height_p_11_15,height_p_16_25,height_p_26_inf,height_mean,height_med,height_max,height_min,age_n,age_p,age_n_0_1800,age_n_1801_1900,age_n_1901_1950,age_n_1951_2000,age_n_2001_2022,age_n_2023_inf,age_p_0_1800,age_p_1801_1900,age_p_1901_1950,age_p_1951_2000,age_p_2001_2022,age_p_2023_inf,age_mean,age_med,age_max,age_min,type_n,type_p,type_n_res,type_n_non_res,type_p_res,type_p_non_res,extra_attribs,const_bldgs_file,const_id_files,n_bldg_buffer,unnamed_0_bits
vmsft24-HUN.1.1_1,Bács-Kiskun,Bácsalmás,"[1, 1, 1, 1, 1, 1]",16799.0,2207149.232,131.386,91.737,6381.393,5.154,32.332,170.542,0.0,0.0,234.0,0.014,16799.0,1.0,16799.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,[['confidence']],1.0,0.0,25.0,"[0, 0, 0, 0, 0, 0]"
vmsft24-HUN.1.2_1,Bács-Kiskun,Baja,"[1, 1, 1, 1, 1, 1]",59440.0,8553596.398,143.903,87.045,21302.774,4.831,33.005,174.589,0.0,0.0,859.0,0.014,59440.0,1.0,59440.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,[['confidence']],1.0,0.0,1019.0,"[0, 0, 0, 0, 0, 0]"
vmsft24-HUN.1.3_1,Bács-Kiskun,Jánoshalm,"[1, 1, 1, 1, 1, 1]",18374.0,2354277.861,128.131,83.96,8469.132,5.527,32.361,165.411,0.0,0.0,204.0,0.011,18374.0,1.0,18374.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,[['confidence']],1.0,1.0,90.0,"[0, 0, 0, 0, 0, 0]"
vmsft24-HUN.1.4_1,Bács-Kiskun,Kalocsa,"[1, 1, 1, 1, 1, 1]",44670.0,6330160.366,141.709,94.074,14878.053,5.019,35.586,176.07,0.0,0.0,596.0,0.013,44670.0,1.0,44670.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,[['confidence']],1.0,0.0,706.0,"[0, 0, 0, 0, 0, 0]"
vmsft24-HUN.1.5_1,Bács-Kiskun,Kecskemét,"[1, 1, 1, 1, 1, 1]",125459.0,16335905.583,130.209,73.894,111701.131,4.912,32.351,143.767,0.0,0.0,1214.0,0.01,125459.0,1.0,125459.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,[['confidence']],1.0,0.0,2565.0,"[0, 0, 0, 0, 0, 0]"
vmsft24-HUN.1.6_1,Bács-Kiskun,Kiskőrös,"[1, 1, 1, 1, 1, 1]",61856.0,8358344.179,135.126,87.38,19264.864,4.864,35.76,173.599,0.0,0.0,710.0,0.011,61856.0,1.0,61856.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,[['confidence']],1.0,1.0,571.0,"[0, 0, 0, 0, 0, 0]"
vmsft24-HUN.1.7_1,Bács-Kiskun,Kiskunfélegyház,"[1, 1, 1, 1, 1, 1]",46320.0,6599347.016,142.473,83.919,20606.899,5.556,35.34,163.489,0.0,0.0,449.0,0.01,46320.0,1.0,46320.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,[['confidence']],1.0,0.0,570.0,"[0, 0, 0, 0, 0, 0]"
vmsft24-HUN.1.8_1,Bács-Kiskun,Kiskunhalas,"[1, 1, 1, 1, 1, 1]",36514.0,5033251.092,137.844,80.058,17078.721,5.144,33.758,167.586,0.0,0.0,369.0,0.01,36514.0,1.0,36514.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,[['confidence']],1.0,0.0,509.0,"[0, 0, 0, 0, 0, 0]"
vmsft24-HUN.1.9_1,Bács-Kiskun,Kiskunmajsa,"[1, 1, 1, 1, 1, 1]",18650.0,2508244.11,134.49,88.31,7169.193,4.758,36.274,171.529,0.0,0.0,198.0,0.011,18650.0,1.0,18650.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,[['confidence']],1.0,0.0,530.0,"[0, 0, 0, 0, 0, 0]"
vmsft24-HUN.1.10_1,Bács-Kiskun,Kunszentmiklós,"[1, 1, 1, 1, 1, 1]",27983.0,3141337.236,112.259,71.573,6803.256,5.915,31.824,142.65,0.0,0.0,454.0,0.016,27983.0,1.0,27983.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,[['confidence']],1.0,0.0,718.0,"[0, 0, 0, 0, 0, 0]"
