id,region,city,n_files,bldgs_n_tot,a_tot,a_mean,a_med,a_max,a_min,a_25,a_75,a_n_0,a_p_0,a_n_10,a_p_10,height_n,height_p,height_n_inf_0,height_n_0_2,height_n_3_5,height_n_6_10,height_n_11_15,height_n_16_25,height_n_26_inf,height_p_inf_0,height_p_0_2,height_p_3_5,height_p_6_10,height_p_11_15,height_p_16_25,height_p_26_inf,height_mean,height_med,height_max,height_min,age_n,age_p,age_n_0_1800,age_n_1801_1900,age_n_1901_1950,age_n_1951_2000,age_n_2001_2022,age_n_2023_inf,age_p_0_1800,age_p_1801_1900,age_p_1901_1950,age_p_1951_2000,age_p_2001_2022,age_p_2023_inf,age_mean,age_med,age_max,age_min,type_n,type_p,type_n_res,type_n_non_res,type_p_res,type_p_non_res,extra_attribs,const_bldgs_file,const_id_files,n_bldg_buffer,unnamed_0_bits
vmsft24-ITA.1.1.1_1,Abruzzo,Altino,"[1, 1, 1, 1, 1, 1]",1401.0,252771.886,180.422,134.576,1534.011,6.638,54.086,245.375,0.0,0.0,9.0,0.006,1401.0,1.0,15.0,353.0,860.0,172.0,1.0,0.0,0.0,0.011,0.252,0.614,0.123,0.001,0.0,0.0,3.171,3.054,11.058,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,[['confidence']],1.0,1.0,625.0,"[0, 0, 0, 0, 0, 0]"
vmsft24-ITA.1.1.2_1,Abruzzo,Archi,"[1, 1, 1, 1, 1, 1]",1509.0,250926.607,166.287,125.29,2406.412,6.672,55.844,229.641,0.0,0.0,6.0,0.004,1509.0,1.0,11.0,350.0,935.0,213.0,0.0,0.0,0.0,0.007,0.232,0.62,0.141,0.0,0.0,0.0,3.321,3.258,9.676,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,[['confidence']],1.0,1.0,614.0,"[0, 0, 0, 0, 0, 0]"
vmsft24-ITA.1.1.3_1,Abruzzo,Ari,"[1, 1, 1, 1, 1, 1]",975.0,159908.88,164.009,122.623,2999.867,7.496,56.383,225.171,0.0,0.0,2.0,0.002,975.0,1.0,2.0,183.0,667.0,122.0,1.0,0.0,0.0,0.002,0.188,0.684,0.125,0.001,0.0,0.0,3.433,3.419,10.575,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,[['confidence']],1.0,1.0,598.0,"[0, 0, 0, 0, 0, 0]"
vmsft24-ITA.1.1.4_1,Abruzzo,Arielli,"[1, 1, 1, 1, 1, 1]",857.0,240285.883,280.38,167.179,9081.782,7.783,68.296,279.384,0.0,0.0,6.0,0.007,857.0,1.0,18.0,239.0,453.0,141.0,5.0,1.0,0.0,0.021,0.279,0.529,0.165,0.006,0.001,0.0,3.309,3.336,16.904,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,[['confidence']],1.0,1.0,634.0,"[0, 0, 0, 0, 0, 0]"
vmsft24-ITA.1.1.5_1,Abruzzo,Atessa,"[1, 1, 1, 1, 1, 1]",5288.0,2089334.075,395.109,145.627,356002.641,5.791,59.939,251.973,0.0,0.0,26.0,0.005,5288.0,1.0,79.0,1562.0,2768.0,793.0,78.0,8.0,0.0,0.015,0.295,0.523,0.15,0.015,0.002,0.0,3.309,3.104,20.096,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,[['confidence']],1.0,0.0,891.0,"[0, 0, 0, 0, 0, 0]"
vmsft24-ITA.1.1.6_1,Abruzzo,Bomba,"[1, 1, 1, 1, 1, 1]",493.0,77281.388,156.757,98.706,1252.459,7.053,45.597,207.397,0.0,0.0,4.0,0.008,493.0,1.0,1.0,81.0,264.0,140.0,5.0,2.0,0.0,0.002,0.164,0.535,0.284,0.01,0.004,0.0,4.233,3.863,22.983,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,[['confidence']],1.0,0.0,64.0,"[0, 0, 0, 0, 0, 0]"
vmsft24-ITA.1.1.7_1,Abruzzo,Borrello,"[1, 1, 1, 1, 1, 1]",311.0,58069.545,186.719,129.236,1290.574,6.244,55.842,239.861,0.0,0.0,2.0,0.006,311.0,1.0,3.0,49.0,166.0,93.0,0.0,0.0,0.0,0.01,0.158,0.534,0.299,0.0,0.0,0.0,3.961,4.034,9.013,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,[['confidence']],1.0,1.0,323.0,"[0, 0, 0, 0, 0, 0]"
vmsft24-ITA.1.1.8_1,Abruzzo,Bucchianico,"[1, 1, 1, 1, 1, 1]",2920.0,531584.534,182.049,148.842,3648.739,7.016,67.07,244.075,0.0,0.0,17.0,0.006,2920.0,1.0,25.0,668.0,1780.0,436.0,9.0,2.0,0.0,0.009,0.229,0.61,0.149,0.003,0.001,0.0,3.376,3.415,21.792,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,[['confidence']],1.0,1.0,1192.0,"[0, 0, 0, 0, 0, 0]"
vmsft24-ITA.1.1.9_1,Abruzzo,Canosa Sannita,"[1, 1, 1, 1, 1, 1]",833.0,173753.813,208.588,155.664,8296.413,6.853,67.564,252.361,0.0,0.0,6.0,0.007,833.0,1.0,6.0,227.0,503.0,87.0,4.0,6.0,0.0,0.007,0.273,0.604,0.104,0.005,0.007,0.0,3.244,3.199,17.513,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,[['confidence']],1.0,1.0,744.0,"[0, 0, 0, 0, 0, 0]"
vmsft24-ITA.1.1.10_1,Abruzzo,Carpineto Sinello,"[1, 1, 1, 1, 1, 1]",476.0,75113.75,157.802,118.782,1058.009,7.668,53.187,210.717,0.0,0.0,1.0,0.002,476.0,1.0,7.0,105.0,314.0,49.0,1.0,0.0,0.0,0.015,0.221,0.66,0.103,0.002,0.0,0.0,3.25,3.393,14.021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,[['confidence']],1.0,0.0,295.0,"[0, 0, 0, 0, 0, 0]"
