id,region,city,n_files,bldgs_n_tot,a_tot,a_mean,a_med,a_max,a_min,a_25,a_75,a_n_0,a_p_0,a_n_10,a_p_10,height_n,height_p,height_n_inf_0,height_n_0_2,height_n_3_5,height_n_6_10,height_n_11_15,height_n_16_25,height_n_26_inf,height_p_inf_0,height_p_0_2,height_p_3_5,height_p_6_10,height_p_11_15,height_p_16_25,height_p_26_inf,height_mean,height_med,height_max,height_min,age_n,age_p,age_n_0_1800,age_n_1801_1900,age_n_1901_1950,age_n_1951_2000,age_n_2001_2022,age_n_2023_inf,age_p_0_1800,age_p_1801_1900,age_p_1901_1950,age_p_1951_2000,age_p_2001_2022,age_p_2023_inf,age_mean,age_med,age_max,age_min,type_n,type_p,type_n_res,type_n_non_res,type_p_res,type_p_non_res,extra_attribs,const_bldgs_file,const_id_files,n_bldg_buffer,unnamed_0_bits
vmsft24-LVA.1.1_1,Kurzeme,Kuldiga,"[1, 1, 1, 1, 1, 1]",21183.0,2335331.433,110.246,52.752,7747.897,3.26,19.087,125.962,0.0,0.0,1860.0,0.088,21183.0,1.0,21183.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,[['confidence']],1.0,0.0,290.0,"[0, 0, 0, 0, 0, 0]"
vmsft24-LVA.1.2_1,Kurzeme,Liepaja,"[1, 1, 1, 1, 1, 1]",53601.0,7644204.706,142.613,55.714,33573.56,3.34,20.63,135.414,0.0,0.0,4128.0,0.077,53601.0,1.0,53601.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,[['confidence']],1.0,1.0,304.0,"[0, 0, 0, 0, 0, 0]"
vmsft24-LVA.1.3_1,Kurzeme,Saldus,"[1, 1, 1, 1, 1, 1]",14.0,598.717,42.765,33.822,86.854,8.842,24.687,67.413,0.0,0.0,2.0,0.143,14.0,1.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,[['confidence']],1.0,1.0,1.0,"[0, 0, 0, 0, 0, 0]"
vmsft24-LVA.1.4_1,Kurzeme,Talsi,"[1, 1, 1, 1, 1, 1]",35435.0,4180255.372,117.97,63.873,6894.998,3.372,22.729,133.606,0.0,0.0,2487.0,0.07,35435.0,1.0,35435.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,[['confidence']],1.0,0.0,233.0,"[0, 0, 0, 0, 0, 0]"
vmsft24-LVA.1.5_1,Kurzeme,Ventspils,"[1, 1, 1, 1, 1, 1]",34874.0,4675255.561,134.061,52.062,33582.977,3.249,20.929,125.11,0.0,0.0,2544.0,0.073,34874.0,1.0,34874.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,[['confidence']],1.0,0.0,311.0,"[0, 0, 0, 0, 0, 0]"
vmsft24-LVA.2.1_1,Latgale,Balvi,"[1, 1, 1, 1, 1, 1]",38803.0,2966733.16,76.456,41.668,4663.135,3.096,17.897,94.112,0.0,0.0,3930.0,0.101,38803.0,1.0,38803.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,[['confidence']],1.0,0.0,233.0,"[0, 0, 0, 0, 0, 0]"
vmsft24-LVA.2.2_1,Latgale,Daugavpils,"[1, 1, 1, 1, 1, 1]",94194.0,9405412.059,99.851,45.315,30546.674,3.289,19.394,101.06,0.0,0.0,7370.0,0.078,94194.0,1.0,94194.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,[['confidence']],1.0,0.0,2089.0,"[0, 0, 0, 0, 0, 0]"
vmsft24-LVA.2.3_1,Latgale,Kraslava,"[1, 1, 1, 1, 1, 1]",25860.0,1965729.186,76.014,47.44,12843.268,3.228,19.926,96.223,0.0,0.0,2054.0,0.079,25860.0,1.0,25860.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,[['confidence']],1.0,0.0,542.0,"[0, 0, 0, 0, 0, 0]"
vmsft24-LVA.2.4_1,Latgale,Ludza,"[1, 1, 1, 1, 1, 1]",37977.0,2944864.625,77.543,48.496,3592.106,3.177,20.324,91.998,0.0,0.0,3259.0,0.086,37977.0,1.0,37977.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,[['confidence']],1.0,1.0,867.0,"[0, 0, 0, 0, 0, 0]"
vmsft24-LVA.2.5_1,Latgale,Preili,"[1, 1, 1, 1, 1, 1]",40376.0,3455390.217,85.58,51.811,15928.438,3.423,20.603,103.379,0.0,0.0,3260.0,0.081,40376.0,1.0,40376.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,[['confidence']],1.0,0.0,2035.0,"[0, 0, 0, 0, 0, 0]"
