id,region,city,n_files,bldgs_n_tot,a_tot,a_mean,a_med,a_max,a_min,a_25,a_75,a_n_0,a_p_0,a_n_10,a_p_10,height_n,height_p,height_n_inf_0,height_n_0_2,height_n_3_5,height_n_6_10,height_n_11_15,height_n_16_25,height_n_26_inf,height_p_inf_0,height_p_0_2,height_p_3_5,height_p_6_10,height_p_11_15,height_p_16_25,height_p_26_inf,height_mean,height_med,height_max,height_min,age_n,age_p,age_n_0_1800,age_n_1801_1900,age_n_1901_1950,age_n_1951_2000,age_n_2001_2022,age_n_2023_inf,age_p_0_1800,age_p_1801_1900,age_p_1901_1950,age_p_1951_2000,age_p_2001_2022,age_p_2023_inf,age_mean,age_med,age_max,age_min,type_n,type_p,type_n_res,type_n_non_res,type_p_res,type_p_non_res,extra_attribs,const_bldgs_file,const_id_files,n_bldg_buffer,unnamed_0_bits
vmsft24-LUX.1.1.1_1,Diekirch,Clervaux,"[1, 1, 1, 1, 1, 1]",809.0,298979.231,369.566,167.447,24303.328,5.29,89.244,287.016,0.0,0.0,4.0,0.005,809.0,1.0,98.0,96.0,334.0,265.0,12.0,4.0,0.0,0.121,0.119,0.413,0.328,0.015,0.005,0.0,3.835,4.306,19.007,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,[['confidence']],1.0,1.0,183.0,"[0, 0, 0, 0, 0, 0]"
vmsft24-LUX.1.1.2_1,Diekirch,Consthum,"[1, 1, 1, 1, 1, 1]",348.0,108404.842,311.508,180.214,3277.322,8.266,83.265,319.038,0.0,0.0,2.0,0.006,348.0,1.0,335.0,8.0,5.0,0.0,0.0,0.0,0.0,0.963,0.023,0.014,0.0,0.0,0.0,0.0,-0.888,-1.0,4.603,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,[['confidence']],1.0,1.0,131.0,"[0, 0, 0, 0, 0, 0]"
vmsft24-LUX.1.1.3_1,Diekirch,Heinerscheid,"[1, 1, 1, 1, 1, 1]",903.0,279768.16,309.821,184.187,5193.664,6.829,69.482,326.473,0.0,0.0,5.0,0.006,903.0,1.0,241.0,128.0,399.0,132.0,3.0,0.0,0.0,0.267,0.142,0.442,0.146,0.003,0.0,0.0,2.508,3.055,12.288,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,[['confidence']],1.0,1.0,131.0,"[0, 0, 0, 0, 0, 0]"
vmsft24-LUX.1.1.4_1,Diekirch,Hosingen,"[1, 1, 1, 1, 1, 1]",1509.0,394055.985,261.137,142.764,14190.923,7.664,54.713,235.889,0.0,0.0,4.0,0.003,1509.0,1.0,1485.0,18.0,5.0,1.0,0.0,0.0,0.0,0.984,0.012,0.003,0.001,0.0,0.0,0.0,-0.952,-1.0,5.373,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,[['confidence']],1.0,1.0,529.0,"[0, 0, 0, 0, 0, 0]"
vmsft24-LUX.1.1.5_1,Diekirch,Munshausen,"[1, 1, 1, 1, 1, 1]",659.0,152125.11,230.842,158.869,6189.317,4.557,55.478,253.405,0.0,0.0,6.0,0.009,659.0,1.0,321.0,69.0,191.0,75.0,2.0,1.0,0.0,0.487,0.105,0.29,0.114,0.003,0.002,0.0,1.421,0.632,17.694,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,[['confidence']],1.0,1.0,286.0,"[0, 0, 0, 0, 0, 0]"
vmsft24-LUX.1.1.6_1,Diekirch,Troisvierges,"[1, 1, 1, 1, 1, 1]",1412.0,430622.877,304.974,170.333,26714.078,4.871,63.127,271.715,0.0,0.0,16.0,0.011,1412.0,1.0,20.0,178.0,741.0,472.0,1.0,0.0,0.0,0.014,0.126,0.525,0.334,0.001,0.0,0.0,4.111,4.42,10.04,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,[['confidence']],1.0,1.0,217.0,"[0, 0, 0, 0, 0, 0]"
vmsft24-LUX.1.1.7_1,Diekirch,Weiswampach,"[1, 1, 1, 1, 1, 1]",935.0,279323.66,298.742,183.894,5777.713,4.591,74.466,299.997,0.0,0.0,11.0,0.012,935.0,1.0,28.0,168.0,492.0,233.0,14.0,0.0,0.0,0.03,0.18,0.526,0.249,0.015,0.0,0.0,3.895,4.099,13.443,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,[['confidence']],1.0,1.0,311.0,"[0, 0, 0, 0, 0, 0]"
vmsft24-LUX.1.1.8_1,Diekirch,Wincrange,"[1, 1, 1, 1, 1, 1]",3078.0,942998.064,306.367,176.22,16927.369,5.504,70.726,296.124,0.0,0.0,26.0,0.008,3078.0,1.0,113.0,502.0,1920.0,533.0,9.0,1.0,0.0,0.037,0.163,0.624,0.173,0.003,0.0,0.0,3.562,3.898,15.612,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,[['confidence']],1.0,1.0,219.0,"[0, 0, 0, 0, 0, 0]"
vmsft24-LUX.1.2.1_1,Diekirch,Bettendorf,"[1, 1, 1, 1, 1, 1]",924.0,234447.424,253.731,175.677,3386.185,5.419,91.41,261.536,0.0,0.0,9.0,0.01,924.0,1.0,924.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,[['confidence']],1.0,1.0,365.0,"[0, 0, 0, 0, 0, 0]"
vmsft24-LUX.1.2.2_1,Diekirch,Bourscheid,"[1, 1, 1, 1, 1, 1]",1074.0,237039.346,220.707,132.355,4242.311,6.686,55.287,220.635,0.0,0.0,6.0,0.006,1074.0,1.0,1074.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,[['confidence']],1.0,1.0,257.0,"[0, 0, 0, 0, 0, 0]"
vmsft24-LUX.1.2.3_1,Diekirch,Diekirch,"[1, 1, 1, 1, 1, 1]",1176.0,498749.934,424.107,199.972,9134.631,4.18,103.342,368.06,0.0,0.0,12.0,0.01,1176.0,1.0,1176.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,[['confidence']],1.0,1.0,529.0,"[0, 0, 0, 0, 0, 0]"
