id,region,city,n_files,bldgs_n_tot,a_tot,a_mean,a_med,a_max,a_min,a_25,a_75,a_n_0,a_p_0,a_n_10,a_p_10,height_n,height_p,height_n_inf_0,height_n_0_2,height_n_3_5,height_n_6_10,height_n_11_15,height_n_16_25,height_n_26_inf,height_p_inf_0,height_p_0_2,height_p_3_5,height_p_6_10,height_p_11_15,height_p_16_25,height_p_26_inf,height_mean,height_med,height_max,height_min,age_n,age_p,age_n_0_1800,age_n_1801_1900,age_n_1901_1950,age_n_1951_2000,age_n_2001_2022,age_n_2023_inf,age_p_0_1800,age_p_1801_1900,age_p_1901_1950,age_p_1951_2000,age_p_2001_2022,age_p_2023_inf,age_mean,age_med,age_max,age_min,type_n,type_p,type_n_res,type_n_non_res,type_p_res,type_p_non_res,extra_attribs,const_bldgs_file,const_id_files,n_bldg_buffer,unnamed_0_bits
vmsft24-NLD.1.1_1,Drenthe,Aa en Hunze,"[1, 1, 1, 1, 1, 1]",19788.0,3035183.014,153.385,96.281,19344.211,3.734,38.491,178.557,0.0,0.0,417.0,0.021,19788.0,1.0,19750.0,1.0,32.0,5.0,0.0,0.0,0.0,0.998,0.0,0.002,0.0,0.0,0.0,0.0,-0.991,-1.0,5.498,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,[['confidence']],1.0,0.0,3028.0,"[0, 0, 0, 0, 0, 0]"
vmsft24-NLD.1.2_1,Drenthe,Assen,"[1, 1, 1, 1, 1, 1]",16082.0,4019117.192,249.914,138.379,19051.458,3.803,38.929,254.585,0.0,0.0,319.0,0.02,16082.0,1.0,16082.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,[['confidence']],1.0,1.0,825.0,"[0, 0, 0, 0, 0, 0]"
vmsft24-NLD.1.3_1,Drenthe,Borger-Odoorn,"[1, 1, 1, 1, 1, 1]",20154.0,2522751.593,125.174,61.109,11838.658,3.751,26.956,135.157,0.0,0.0,830.0,0.041,20154.0,1.0,13213.0,1760.0,4053.0,1060.0,51.0,17.0,0.0,0.656,0.087,0.201,0.053,0.003,0.001,0.0,0.518,-1.0,19.372,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,[['confidence']],1.0,0.0,4594.0,"[0, 0, 0, 0, 0, 0]"
vmsft24-NLD.1.4_1,Drenthe,Coevorden,"[1, 1, 1, 1, 1, 1]",25377.0,3491952.88,137.603,63.096,19586.376,3.994,24.349,143.984,0.0,0.0,1352.0,0.053,25377.0,1.0,25377.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,[['confidence']],1.0,1.0,2508.0,"[0, 0, 0, 0, 0, 0]"
vmsft24-NLD.1.5_1,Drenthe,De Wolden,"[1, 1, 1, 1, 1, 1]",18170.0,1881159.033,103.531,58.998,6263.792,4.007,23.381,124.181,0.0,0.0,966.0,0.053,18170.0,1.0,18170.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,[['confidence']],1.0,1.0,3478.0,"[0, 0, 0, 0, 0, 0]"
vmsft24-NLD.1.6_1,Drenthe,Emmen,"[1, 1, 1, 1, 1, 1]",44715.0,8494237.573,189.964,82.233,58611.149,3.896,30.45,172.075,0.0,0.0,1754.0,0.039,44715.0,1.0,22976.0,5115.0,13768.0,2749.0,94.0,12.0,1.0,0.514,0.114,0.308,0.061,0.002,0.0,0.0,1.113,-1.0,29.461,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,[['confidence']],1.0,1.0,2138.0,"[0, 0, 0, 0, 0, 0]"
vmsft24-NLD.1.7_1,Drenthe,Hoogeveen,"[1, 1, 1, 1, 1, 1]",21686.0,2368000.195,109.195,56.327,12415.256,3.881,21.797,124.057,0.0,0.0,1290.0,0.059,21686.0,1.0,21686.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,[['confidence']],1.0,1.0,1221.0,"[0, 0, 0, 0, 0, 0]"
vmsft24-NLD.1.8_1,Drenthe,Meppel,"[1, 1, 1, 1, 1, 1]",7932.0,1515439.175,191.054,71.164,10406.573,4.137,22.023,191.191,0.0,0.0,513.0,0.065,7932.0,1.0,7932.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,[['confidence']],1.0,1.0,2047.0,"[0, 0, 0, 0, 0, 0]"
vmsft24-NLD.1.9_1,Drenthe,Midden-Drenthe,"[1, 1, 1, 1, 1, 1]",22465.0,3383393.854,150.607,65.646,19885.038,4.081,23.838,158.982,0.0,0.0,1195.0,0.053,22465.0,1.0,22465.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,[['confidence']],1.0,0.0,2743.0,"[0, 0, 0, 0, 0, 0]"
vmsft24-NLD.1.10_1,Drenthe,Noordenveld,"[1, 1, 1, 1, 1, 1]",15649.0,3008876.274,192.273,119.564,19058.866,4.031,49.297,203.443,0.0,0.0,189.0,0.012,15649.0,1.0,15649.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,[['confidence']],1.0,1.0,4200.0,"[0, 0, 0, 0, 0, 0]"
vmsft24-NLD.1.11_1,Drenthe,Tynaarlo,"[1, 1, 1, 1, 1, 1]",17107.0,2963646.147,173.242,117.465,9215.414,3.771,46.494,199.668,0.0,0.0,237.0,0.014,17107.0,1.0,17107.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,[['confidence']],1.0,1.0,3019.0,"[0, 0, 0, 0, 0, 0]"
vmsft24-NLD.1.12_1,Drenthe,Westerveld,"[1, 1, 1, 1, 1, 1]",13618.0,1346736.209,98.894,44.239,3748.602,3.803,20.778,109.685,0.0,0.0,857.0,0.063,13618.0,1.0,13618.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,[['confidence']],1.0,0.0,1529.0,"[0, 0, 0, 0, 0, 0]"
vmsft24-NLD.2.1_1,Flevoland,Almere,"[1, 1, 1, 1, 1, 1]",3050.0,485291.689,159.112,92.811,26679.927,4.991,28.762,172.543,0.0,0.0,107.0,0.035,3050.0,1.0,3050.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,[['confidence']],1.0,1.0,189.0,"[0, 0, 0, 0, 0, 0]"
vmsft24-NLD.2.2_1,Flevoland,Dronten,"[1, 1, 1, 1, 1, 1]",17067.0,2662702.972,156.015,78.151,6890.707,4.068,23.466,159.393,0.0,0.0,986.0,0.058,17067.0,1.0,17067.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,[['confidence']],1.0,0.0,910.0,"[0, 0, 0, 0, 0, 0]"
vmsft24-NLD.2.3_1,Flevoland,Lelystad,"[1, 1, 1, 1, 1, 1]",1623.0,303213.891,186.823,53.319,4544.711,5.207,23.73,134.419,0.0,0.0,74.0,0.046,1623.0,1.0,1623.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,[['confidence']],1.0,1.0,194.0,"[0, 0, 0, 0, 0, 0]"
