id,region,city,n_files,bldgs_n_tot,a_tot,a_mean,a_med,a_max,a_min,a_25,a_75,a_n_0,a_p_0,a_n_10,a_p_10,height_n,height_p,height_n_inf_0,height_n_0_2,height_n_3_5,height_n_6_10,height_n_11_15,height_n_16_25,height_n_26_inf,height_p_inf_0,height_p_0_2,height_p_3_5,height_p_6_10,height_p_11_15,height_p_16_25,height_p_26_inf,height_mean,height_med,height_max,height_min,age_n,age_p,age_n_0_1800,age_n_1801_1900,age_n_1901_1950,age_n_1951_2000,age_n_2001_2022,age_n_2023_inf,age_p_0_1800,age_p_1801_1900,age_p_1901_1950,age_p_1951_2000,age_p_2001_2022,age_p_2023_inf,age_mean,age_med,age_max,age_min,type_n,type_p,type_n_res,type_n_non_res,type_p_res,type_p_non_res,extra_attribs,const_bldgs_file,const_id_files,n_bldg_buffer,unnamed_0_bits
vmsft24-PRT.1.1_1,Aveiro,Águeda,"[1, 1, 1, 1, 1, 1]",42374.0,8669483.94,204.594,96.461,71971.359,5.895,42.847,202.257,0.0,0.0,189.0,0.004,42374.0,1.0,42374.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,[['confidence']],1.0,0.0,2732.0,"[0, 0, 0, 0, 0, 0]"
vmsft24-PRT.1.2_1,Aveiro,Albergaria-a-Velha,"[1, 1, 1, 1, 1, 1]",22080.0,4022269.763,182.168,92.113,28203.841,6.276,41.219,187.756,0.0,0.0,91.0,0.004,22080.0,1.0,22080.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,[['confidence']],1.0,0.0,2770.0,"[0, 0, 0, 0, 0, 0]"
vmsft24-PRT.1.3_1,Aveiro,Anadia,"[1, 1, 1, 1, 1, 1]",28714.0,5652394.886,196.852,105.218,65845.25,6.157,46.619,217.452,0.0,0.0,122.0,0.004,28714.0,1.0,28714.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,[['confidence']],1.0,0.0,3051.0,"[0, 0, 0, 0, 0, 0]"
vmsft24-PRT.1.4_1,Aveiro,Arouca,"[1, 1, 1, 1, 1, 1]",21717.0,2959497.759,136.276,87.71,10614.216,6.105,42.065,171.743,0.0,0.0,68.0,0.003,21717.0,1.0,21717.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,[['confidence']],1.0,0.0,1685.0,"[0, 0, 0, 0, 0, 0]"
vmsft24-PRT.1.5_1,Aveiro,Aveiro,"[1, 1, 1, 1, 1, 1]",35753.0,9090290.767,254.253,115.169,63359.435,5.837,45.787,239.354,0.0,0.0,114.0,0.003,35753.0,1.0,35753.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,[['confidence']],1.0,1.0,3241.0,"[0, 0, 0, 0, 0, 0]"
vmsft24-PRT.1.6_1,Aveiro,Castelo de Paiva,"[1, 1, 1, 1, 1, 1]",11944.0,1597173.901,133.722,89.621,11106.338,6.327,40.371,170.533,0.0,0.0,50.0,0.004,11944.0,1.0,11944.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,[['confidence']],1.0,0.0,2453.0,"[0, 0, 0, 0, 0, 0]"
vmsft24-PRT.1.7_1,Aveiro,Espinho,"[1, 1, 1, 1, 1, 1]",7037.0,2220149.393,315.497,153.212,21989.991,6.815,70.587,280.963,0.0,0.0,41.0,0.006,7037.0,1.0,968.0,1690.0,3615.0,718.0,40.0,6.0,0.0,0.138,0.24,0.514,0.102,0.006,0.001,0.0,2.607,2.599,22.085,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,[['confidence']],1.0,0.0,2215.0,"[0, 0, 0, 0, 0, 0]"
vmsft24-PRT.1.8_1,Aveiro,Estarreja,"[1, 1, 1, 1, 1, 1]",25432.0,4224052.978,166.092,93.316,30946.453,6.133,41.826,188.691,0.0,0.0,121.0,0.005,25432.0,1.0,25432.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,[['confidence']],1.0,0.0,3982.0,"[0, 0, 0, 0, 0, 0]"
vmsft24-PRT.1.9_1,Aveiro,Ílhavo,"[1, 1, 1, 1, 1, 1]",24647.0,4870861.3,197.625,109.789,43387.093,6.344,46.201,201.162,0.0,0.0,102.0,0.004,24647.0,1.0,24647.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,[['confidence']],1.0,1.0,3369.0,"[0, 0, 0, 0, 0, 0]"
vmsft24-PRT.1.10_1,Aveiro,Mealhada,"[1, 1, 1, 1, 1, 1]",17276.0,3023665.63,175.021,92.205,34886.263,5.977,40.868,195.386,0.0,0.0,71.0,0.004,17276.0,1.0,17276.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,[['confidence']],1.0,1.0,2098.0,"[0, 0, 0, 0, 0, 0]"
