id,region,city,n_files,bldgs_n_tot,a_tot,a_mean,a_med,a_max,a_min,a_25,a_75,a_n_0,a_p_0,a_n_10,a_p_10,height_n,height_p,height_n_inf_0,height_n_0_2,height_n_3_5,height_n_6_10,height_n_11_15,height_n_16_25,height_n_26_inf,height_p_inf_0,height_p_0_2,height_p_3_5,height_p_6_10,height_p_11_15,height_p_16_25,height_p_26_inf,height_mean,height_med,height_max,height_min,age_n,age_p,age_n_0_1800,age_n_1801_1900,age_n_1901_1950,age_n_1951_2000,age_n_2001_2022,age_n_2023_inf,age_p_0_1800,age_p_1801_1900,age_p_1901_1950,age_p_1951_2000,age_p_2001_2022,age_p_2023_inf,age_mean,age_med,age_max,age_min,type_n,type_p,type_n_res,type_n_non_res,type_p_res,type_p_non_res,extra_attribs,const_bldgs_file,const_id_files,n_bldg_buffer,unnamed_0_bits
vmsft24-ROU.1.1_1,Alba,Abrud,"[1, 1, 1, 1, 1, 1]",3222.0,322123.908,99.976,52.53,3677.976,6.153,26.502,107.817,0.0,0.0,45.0,0.014,3222.0,1.0,3222.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,[['confidence']],1.0,1.0,868.0,"[0, 0, 0, 0, 0, 0]"
vmsft24-ROU.1.2_1,Alba,Aiud,"[1, 1, 1, 1, 1, 1]",10966.0,1565004.621,142.714,84.881,12936.215,5.639,34.953,154.551,0.0,0.0,145.0,0.013,10966.0,1.0,10966.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,[['confidence']],1.0,1.0,1327.0,"[0, 0, 0, 0, 0, 0]"
vmsft24-ROU.1.3_1,Alba,Alba Iulia,"[1, 1, 1, 1, 1, 1]",17510.0,3334805.739,190.451,106.313,22132.691,6.022,38.86,190.985,0.0,0.0,169.0,0.01,17510.0,1.0,17510.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,[['confidence']],1.0,0.0,653.0,"[0, 0, 0, 0, 0, 0]"
vmsft24-ROU.1.4_1,Alba,Albac,"[1, 1, 1, 1, 1, 1]",3013.0,190843.331,63.34,49.267,1425.941,7.007,24.371,83.098,0.0,0.0,47.0,0.016,3013.0,1.0,3013.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,[['confidence']],1.0,1.0,892.0,"[0, 0, 0, 0, 0, 0]"
vmsft24-ROU.1.5_1,Alba,Almasu Mare,"[1, 1, 1, 1, 1, 1]",1073.0,96435.779,89.875,80.548,904.642,7.066,33.198,122.554,0.0,0.0,18.0,0.017,1073.0,1.0,1073.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,[['confidence']],1.0,1.0,46.0,"[0, 0, 0, 0, 0, 0]"
vmsft24-ROU.1.6_1,Alba,Arieseni,"[1, 1, 1, 1, 1, 1]",3378.0,225523.724,66.762,48.084,913.581,5.413,24.008,91.1,0.0,0.0,77.0,0.023,3378.0,1.0,3378.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,[['confidence']],1.0,0.0,554.0,"[0, 0, 0, 0, 0, 0]"
vmsft24-ROU.1.7_1,Alba,Avram Iancu,"[1, 1, 1, 1, 1, 1]",2645.0,146738.371,55.478,43.841,898.64,7.134,25.189,71.852,0.0,0.0,33.0,0.012,2645.0,1.0,2645.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,[['confidence']],1.0,1.0,395.0,"[0, 0, 0, 0, 0, 0]"
vmsft24-ROU.1.8_1,Alba,Baia De Aries,"[1, 1, 1, 1, 1, 1]",3366.0,256009.433,76.057,53.584,2097.141,5.636,26.799,92.231,0.0,0.0,58.0,0.017,3366.0,1.0,3366.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,[['confidence']],1.0,0.0,136.0,"[0, 0, 0, 0, 0, 0]"
vmsft24-ROU.1.9_1,Alba,Berghin,"[1, 1, 1, 1, 1, 1]",3114.0,253105.884,81.28,65.005,1303.299,6.14,28.609,97.194,0.0,0.0,64.0,0.021,3114.0,1.0,3114.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,[['confidence']],1.0,0.0,439.0,"[0, 0, 0, 0, 0, 0]"
vmsft24-ROU.1.10_1,Alba,Bistra,"[1, 1, 1, 1, 1, 1]",6507.0,384775.931,59.133,44.386,1994.166,6.113,24.781,78.08,0.0,0.0,122.0,0.019,6507.0,1.0,6507.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,[['confidence']],1.0,1.0,850.0,"[0, 0, 0, 0, 0, 0]"
