id,region,city,n_files,bldgs_n_tot,a_tot,a_mean,a_med,a_max,a_min,a_25,a_75,a_n_0,a_p_0,a_n_10,a_p_10,height_n,height_p,height_n_inf_0,height_n_0_2,height_n_3_5,height_n_6_10,height_n_11_15,height_n_16_25,height_n_26_inf,height_p_inf_0,height_p_0_2,height_p_3_5,height_p_6_10,height_p_11_15,height_p_16_25,height_p_26_inf,height_mean,height_med,height_max,height_min,age_n,age_p,age_n_0_1800,age_n_1801_1900,age_n_1901_1950,age_n_1951_2000,age_n_2001_2022,age_n_2023_inf,age_p_0_1800,age_p_1801_1900,age_p_1901_1950,age_p_1951_2000,age_p_2001_2022,age_p_2023_inf,age_mean,age_med,age_max,age_min,type_n,type_p,type_n_res,type_n_non_res,type_p_res,type_p_non_res,extra_attribs,const_bldgs_file,const_id_files,n_bldg_buffer,unnamed_0_bits
vmsft24-SVK.1.1_1,Banskobystrický,Banská Bystrica,"[1, 1, 1, 1, 1, 1]",34341.0,6100254.678,177.638,87.135,17567.672,5.148,29.283,181.421,0.0,0.0,784.0,0.023,34341.0,1.0,34341.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,[['confidence']],1.0,1.0,607.0,"[0, 0, 0, 0, 0, 0]"
vmsft24-SVK.1.2_1,Banskobystrický,Banská Štiavnica,"[1, 1, 1, 1, 1, 1]",10294.0,1400986.967,136.097,80.468,6088.563,5.136,31.415,164.617,0.0,0.0,211.0,0.02,10294.0,1.0,10294.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,[['confidence']],1.0,0.0,160.0,"[0, 0, 0, 0, 0, 0]"
vmsft24-SVK.1.3_1,Banskobystrický,Brezno,"[1, 1, 1, 1, 1, 1]",7580.0,943178.18,124.43,86.195,7197.367,5.582,28.828,152.771,0.0,0.0,186.0,0.025,7580.0,1.0,7580.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,[['confidence']],1.0,1.0,290.0,"[0, 0, 0, 0, 0, 0]"
vmsft24-SVK.1.4_1,Banskobystrický,Detva,"[1, 1, 1, 1, 1, 1]",17880.0,2276008.415,127.294,76.839,10238.63,5.361,27.074,156.724,0.0,0.0,462.0,0.026,17880.0,1.0,17880.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,[['confidence']],1.0,1.0,834.0,"[0, 0, 0, 0, 0, 0]"
vmsft24-SVK.1.5_1,Banskobystrický,Krupina,"[1, 1, 1, 1, 1, 1]",7014.0,1111241.027,158.432,93.572,6523.763,4.976,34.45,195.428,0.0,0.0,134.0,0.019,7014.0,1.0,7014.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,[['confidence']],1.0,0.0,598.0,"[0, 0, 0, 0, 0, 0]"
vmsft24-SVK.1.6_1,Banskobystrický,Lucenec,"[1, 1, 1, 1, 1, 1]",18838.0,2437253.445,129.38,69.287,32363.209,5.216,27.594,154.147,0.0,0.0,434.0,0.023,18838.0,1.0,18838.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,[['confidence']],1.0,1.0,1059.0,"[0, 0, 0, 0, 0, 0]"
vmsft24-SVK.1.7_1,Banskobystrický,Poltár,"[1, 1, 1, 1, 1, 1]",1322.0,184443.101,139.518,91.006,3445.614,5.947,30.27,171.403,0.0,0.0,23.0,0.017,1322.0,1.0,1322.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,[['confidence']],1.0,1.0,6.0,"[0, 0, 0, 0, 0, 0]"
vmsft24-SVK.1.8_1,Banskobystrický,Revúca,"[1, 1, 1, 1, 1, 1]",20974.0,3071136.466,146.426,79.043,24112.712,5.264,29.185,174.748,0.0,0.0,494.0,0.024,20974.0,1.0,20974.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,[['confidence']],1.0,1.0,1217.0,"[0, 0, 0, 0, 0, 0]"
vmsft24-SVK.1.9_1,Banskobystrický,Rimavská Sobota,"[1, 1, 1, 1, 1, 1]",39303.0,5546198.349,141.114,74.35,10525.635,5.146,28.146,168.749,0.0,0.0,923.0,0.023,39303.0,1.0,39303.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,[['confidence']],1.0,1.0,1163.0,"[0, 0, 0, 0, 0, 0]"
vmsft24-SVK.1.10_1,Banskobystrický,Velký Krtíš,"[1, 1, 1, 1, 1, 1]",25797.0,3710388.93,143.83,81.678,30658.108,4.5,29.309,173.821,0.0,0.0,469.0,0.018,25797.0,1.0,25797.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,[['confidence']],1.0,1.0,463.0,"[0, 0, 0, 0, 0, 0]"
