id,region,city,n_files,bldgs_n_tot,a_tot,a_mean,a_med,a_max,a_min,a_25,a_75,a_n_0,a_p_0,a_n_10,a_p_10,height_n,height_p,height_n_inf_0,height_n_0_2,height_n_3_5,height_n_6_10,height_n_11_15,height_n_16_25,height_n_26_inf,height_p_inf_0,height_p_0_2,height_p_3_5,height_p_6_10,height_p_11_15,height_p_16_25,height_p_26_inf,height_mean,height_med,height_max,height_min,age_n,age_p,age_n_0_1800,age_n_1801_1900,age_n_1901_1950,age_n_1951_2000,age_n_2001_2022,age_n_2023_inf,age_p_0_1800,age_p_1801_1900,age_p_1901_1950,age_p_1951_2000,age_p_2001_2022,age_p_2023_inf,age_mean,age_med,age_max,age_min,type_n,type_p,type_n_res,type_n_non_res,type_p_res,type_p_non_res,extra_attribs,const_bldgs_file,const_id_files,n_bldg_buffer,unnamed_0_bits
vmsft24-SVN.1.1_1,Gorenjska,Bled,"[1, 1, 1, 1, 1, 1]",6711.0,1009045.545,150.357,102.373,4978.364,5.632,36.721,204.086,0.0,0.0,92.0,0.014,6711.0,1.0,6102.0,234.0,299.0,74.0,1.0,1.0,0.0,0.909,0.035,0.045,0.011,0.0,0.0,0.0,-0.643,-1.0,18.064,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,[['confidence']],1.0,1.0,895.0,"[0, 0, 0, 0, 0, 0]"
vmsft24-SVN.1.2_1,Gorenjska,Bohinj,"[1, 1, 1, 1, 1, 1]",5435.0,694090.772,127.708,82.24,5413.069,5.433,43.342,161.302,0.0,0.0,38.0,0.007,5435.0,1.0,460.0,1544.0,2772.0,647.0,11.0,1.0,0.0,0.085,0.284,0.51,0.119,0.002,0.0,0.0,2.769,2.725,16.117,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,[['confidence']],1.0,1.0,96.0,"[0, 0, 0, 0, 0, 0]"
vmsft24-SVN.1.3_1,Gorenjska,Cerklje na Gorenjskem,"[1, 1, 1, 1, 1, 1]",4942.0,946630.91,191.548,127.774,8772.642,4.817,48.304,217.581,0.0,0.0,67.0,0.014,4942.0,1.0,4942.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,[['confidence']],1.0,1.0,664.0,"[0, 0, 0, 0, 0, 0]"
vmsft24-SVN.1.4_1,Gorenjska,Gorenja Vas-Poljane,"[1, 1, 1, 1, 1, 1]",5685.0,872077.126,153.4,122.042,4376.09,5.99,48.114,203.852,0.0,0.0,60.0,0.011,5685.0,1.0,5685.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,[['confidence']],1.0,1.0,784.0,"[0, 0, 0, 0, 0, 0]"
vmsft24-SVN.1.5_1,Gorenjska,Jesenice,"[1, 1, 1, 1, 1, 1]",4665.0,1064441.377,228.176,121.009,60743.617,5.834,47.973,207.975,0.0,0.0,32.0,0.007,4665.0,1.0,2436.0,418.0,1195.0,511.0,81.0,24.0,0.0,0.522,0.09,0.256,0.11,0.017,0.005,0.0,1.529,-1.0,23.715,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,[['confidence']],1.0,1.0,201.0,"[0, 0, 0, 0, 0, 0]"
vmsft24-SVN.1.6_1,Gorenjska,Jezersko,"[1, 1, 1, 1, 1, 1]",522.0,59779.36,114.52,80.988,1073.081,7.835,35.49,154.323,0.0,0.0,8.0,0.015,522.0,1.0,522.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,[['confidence']],1.0,1.0,30.0,"[0, 0, 0, 0, 0, 0]"
vmsft24-SVN.1.7_1,Gorenjska,Kranj,"[1, 1, 1, 1, 1, 1]",14814.0,3277812.084,221.264,141.236,75606.085,4.957,51.813,216.798,0.0,0.0,154.0,0.01,14814.0,1.0,14814.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,[['confidence']],1.0,1.0,3809.0,"[0, 0, 0, 0, 0, 0]"
vmsft24-SVN.1.8_1,Gorenjska,Kranjska Gora,"[1, 1, 1, 1, 1, 1]",3595.0,585982.963,162.999,126.492,4261.303,5.092,56.39,203.271,0.0,0.0,33.0,0.009,3595.0,1.0,174.0,665.0,2080.0,662.0,13.0,1.0,0.0,0.048,0.185,0.579,0.184,0.004,0.0,0.0,3.438,3.582,15.745,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,[['confidence']],1.0,1.0,238.0,"[0, 0, 0, 0, 0, 0]"
vmsft24-SVN.1.9_1,Gorenjska,Naklo,"[1, 1, 1, 1, 1, 1]",3209.0,554642.929,172.84,136.55,5558.313,5.356,43.964,208.454,0.0,0.0,36.0,0.011,3209.0,1.0,3209.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,[['confidence']],1.0,1.0,1142.0,"[0, 0, 0, 0, 0, 0]"
vmsft24-SVN.1.10_1,Gorenjska,Preddvor,"[1, 1, 1, 1, 1, 1]",2039.0,311401.737,152.723,116.417,2360.839,5.381,44.748,191.409,0.0,0.0,32.0,0.016,2039.0,1.0,2039.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,[['confidence']],1.0,1.0,351.0,"[0, 0, 0, 0, 0, 0]"
