id,region,city,n_files,bldgs_n_tot,a_tot,a_mean,a_med,a_max,a_min,a_25,a_75,a_n_0,a_p_0,a_n_10,a_p_10,height_n,height_p,height_n_inf_0,height_n_0_2,height_n_3_5,height_n_6_10,height_n_11_15,height_n_16_25,height_n_26_inf,height_p_inf_0,height_p_0_2,height_p_3_5,height_p_6_10,height_p_11_15,height_p_16_25,height_p_26_inf,height_mean,height_med,height_max,height_min,age_n,age_p,age_n_0_1800,age_n_1801_1900,age_n_1901_1950,age_n_1951_2000,age_n_2001_2022,age_n_2023_inf,age_p_0_1800,age_p_1801_1900,age_p_1901_1950,age_p_1951_2000,age_p_2001_2022,age_p_2023_inf,age_mean,age_med,age_max,age_min,type_n,type_p,type_n_res,type_n_non_res,type_p_res,type_p_non_res,extra_attribs,const_bldgs_file,const_id_files,n_bldg_buffer,unnamed_0_bits
v0.1-AUT.1.2.1_1,Burgenland,Eisenstadt,"[1, 1, 1, 1, 1, 1]",5174.0,1374146.486,265.587,144.064,21795.37,4.706,91.616,230.509,0.0,0.0,8.0,0.002,47.0,0.01,0.0,0.0,34.0,10.0,2.0,1.0,0.0,0.0,0.0,0.007,0.002,0.0,0.0,0.0,5.33,,15.5,2.5,2.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1863.5,,2012.0,1715.0,789.0,0.152,539.0,250.0,0.104,0.048,"[['id_source', 'building:use', 'amenity', 'building:material', 'id_misaligned']]",1.0,0.0,189.0,"[0, 0, 0, 0, 0, 0]"
v0.1-AUT.1.1.1_1,Burgenland,Breitenbrunn am Neusiedler See,"[1, 1, 1, 1, 1, 1]",1546.0,286465.585,185.295,150.932,8877.008,3.26,89.569,226.507,0.0,0.0,39.0,0.025,8.0,0.01,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005,0.0,0.0,0.0,0.0,4.25,,5.0,4.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.001,0.0,0.0,0.0,0.0,0.0,1725.0,,1725.0,1725.0,1408.0,0.911,1396.0,12.0,0.903,0.008,"[['id_source', 'building:use', 'amenity', 'building:material', 'id_misaligned']]",1.0,0.0,150.0,"[0, 0, 0, 0, 0, 0]"
v0.1-AUT.1.1.2_1,Burgenland,Donnerskirchen,"[1, 1, 1, 1, 1, 1]",1384.0,245871.173,177.653,144.716,3439.317,3.492,77.707,220.018,0.0,0.0,7.0,0.005,28.0,0.02,0.0,0.0,28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.0,3.393,,5.0,2.5,2.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.001,0.001,0.0,0.0,0.0,0.0,1794.5,,1896.0,1693.0,432.0,0.312,258.0,174.0,0.186,0.126,"[['id_source', 'building:use', 'amenity', 'building:material', 'id_misaligned']]",1.0,0.0,5.0,"[0, 0, 0, 0, 0, 0]"
v0.1-AUT.1.1.3_1,Burgenland,Großhöflein,"[1, 1, 1, 1, 1, 1]",1136.0,212133.45,186.737,159.584,1676.034,5.406,108.899,225.353,0.0,0.0,3.0,0.003,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002,0.0,0.0,0.0,0.0,3.75,,5.0,2.5,3.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.001,0.0,0.0,0.0,0.002,0.0,1916.333,,2018.0,1716.0,284.0,0.25,264.0,20.0,0.232,0.018,"[['id_source', 'building:use', 'amenity', 'building:material', 'id_misaligned']]",1.0,0.0,519.0,"[0, 0, 0, 0, 0, 0]"
v0.1-AUT.1.1.4_1,Burgenland,Hornstein,"[1, 1, 1, 1, 1, 1]",2684.0,442546.47,164.883,119.375,7365.813,3.89,73.115,180.594,0.0,0.0,8.0,0.003,3.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.0,0.0,0.0,0.0,4.167,,5.0,2.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,169.0,0.063,99.0,70.0,0.037,0.026,"[['id_source', 'building:use', 'amenity', 'building:material', 'id_misaligned']]",1.0,0.0,567.0,"[0, 0, 0, 0, 0, 0]"
v0.1-AUT.1.1.5_1,Burgenland,Klingenbach,"[1, 1, 1, 1, 1, 1]",535.0,110129.172,205.849,170.312,2204.113,8.218,117.531,228.937,0.0,0.0,1.0,0.002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,22.0,0.041,1.0,21.0,0.002,0.039,"[['id_source', 'building:use', 'amenity', 'building:material', 'id_misaligned']]",1.0,0.0,231.0,"[0, 0, 0, 0, 0, 0]"
v0.1-AUT.1.1.6_1,Burgenland,Leithaprodersdorf,"[1, 1, 1, 1, 1, 1]",1271.0,315798.931,248.465,180.271,7034.044,7.161,104.99,267.767,0.0,0.0,1.0,0.001,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.0,0.0,12.0,,12.0,12.0,2.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.001,0.0,0.0,0.0,0.001,0.0,1853.5,,2011.0,1696.0,175.0,0.138,52.0,123.0,0.041,0.097,"[['id_source', 'building:use', 'amenity', 'building:material', 'id_misaligned']]",1.0,0.0,516.0,"[0, 0, 0, 0, 0, 0]"
v0.1-AUT.1.1.7_1,Burgenland,Loretto,"[1, 1, 1, 1, 1, 1]",270.0,42674.363,158.053,114.535,4115.809,7.865,62.385,199.667,0.0,0.0,2.0,0.007,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,28.0,0.104,3.0,25.0,0.011,0.093,"[['id_source', 'building:use', 'amenity', 'building:material', 'id_misaligned']]",1.0,0.0,189.0,"[0, 0, 0, 0, 0, 0]"
v0.1-AUT.1.1.8_1,Burgenland,Mörbisch am See,"[1, 1, 1, 1, 1, 1]",1985.0,336917.667,169.732,136.679,1974.646,8.787,84.897,204.973,0.0,0.0,3.0,0.002,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.0,0.0,0.0,0.0,5.0,,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,440.0,0.222,386.0,54.0,0.194,0.027,"[['id_source', 'building:use', 'amenity', 'building:material', 'id_misaligned']]",1.0,0.0,43.0,"[0, 0, 0, 0, 0, 0]"
v0.1-AUT.1.1.9_1,Burgenland,Müllendorf,"[1, 1, 1, 1, 1, 1]",931.0,261673.716,281.067,152.892,33477.843,4.895,112.592,211.435,0.0,0.0,3.0,0.003,4.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.003,0.001,0.0,0.0,0.0,5.625,,7.5,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,510.0,0.548,471.0,39.0,0.506,0.042,"[['id_source', 'building:use', 'amenity', 'building:material', 'id_misaligned']]",1.0,0.0,115.0,"[0, 0, 0, 0, 0, 0]"
