id,region,city,n_files,bldgs_n_tot,a_tot,a_mean,a_med,a_max,a_min,a_25,a_75,a_n_0,a_p_0,a_n_10,a_p_10,height_n,height_p,height_n_inf_0,height_n_0_2,height_n_3_5,height_n_6_10,height_n_11_15,height_n_16_25,height_n_26_inf,height_p_inf_0,height_p_0_2,height_p_3_5,height_p_6_10,height_p_11_15,height_p_16_25,height_p_26_inf,height_mean,height_med,height_max,height_min,age_n,age_p,age_n_0_1800,age_n_1801_1900,age_n_1901_1950,age_n_1951_2000,age_n_2001_2022,age_n_2023_inf,age_p_0_1800,age_p_1801_1900,age_p_1901_1950,age_p_1951_2000,age_p_2001_2022,age_p_2023_inf,age_mean,age_med,age_max,age_min,type_n,type_p,type_n_res,type_n_non_res,type_p_res,type_p_non_res,extra_attribs,const_bldgs_file,const_id_files,n_bldg_buffer,unnamed_0_bits
v0.1-DNK.1.1_1,Hovedstaden,Albertslund,"[1, 1, 1, 0, 1, 1]",16854.0,2327694.028,138.109,35.928,45843.395,1.221,8.889,113.326,0.0,0.0,4659.0,0.276,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,[0],1.0,0.0,7207.0,"[0, 0, 0, 0, 0, 0]"
v0.1-DNK.1.2_1,Hovedstaden,Allerød,"[1, 1, 1, 0, 1, 1]",24517.0,2756972.026,112.451,40.475,16288.597,1.4,14.009,150.617,0.0,0.0,4246.0,0.173,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,[0],1.0,0.0,4196.0,"[0, 0, 0, 0, 0, 0]"
v0.1-DNK.1.3_1,Hovedstaden,Ballerup,"[1, 1, 1, 0, 1, 1]",34589.0,4024053.66,116.339,35.862,28427.699,0.706,15.768,120.592,0.0,0.0,3464.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,[0],1.0,0.0,12872.0,"[0, 0, 0, 0, 0, 0]"
v0.1-DNK.1.4_1,Hovedstaden,Bornholm,"[1, 1, 1, 0, 1, 1]",67114.0,7866166.688,117.206,69.151,11330.2,1.041,27.25,136.626,0.0,0.0,2136.0,0.032,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,[0],1.0,0.0,29.0,"[0, 0, 0, 0, 0, 0]"
v0.1-DNK.1.5_1,Hovedstaden,Brøndby,"[1, 1, 1, 0, 1, 1]",17342.0,2776033.342,160.076,43.353,34404.846,1.595,19.053,129.398,0.0,0.0,1132.0,0.065,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,[0],1.0,0.0,14129.0,"[0, 0, 0, 0, 0, 0]"
v0.1-DNK.1.6_1,Hovedstaden,Christiansø,"[1, 1, 1, 0, 1, 1]",100.0,8848.044,88.48,49.109,715.723,12.367,28.826,81.081,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,[0],1.0,1.0,0.0,"[0, 0, 0, 0, 0, 0]"
v0.1-DNK.1.7_1,Hovedstaden,Dragør,"[1, 1, 1, 0, 1, 1]",13270.0,1227473.384,92.5,50.391,7678.293,1.221,19.694,130.569,0.0,0.0,888.0,0.067,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,[0],1.0,0.0,439.0,"[0, 0, 0, 0, 0, 0]"
v0.1-DNK.1.8_1,Hovedstaden,Egedal,"[1, 1, 1, 0, 1, 1]",38548.0,4258514.903,110.473,52.85,10920.817,1.545,20.568,157.229,0.0,0.0,2637.0,0.068,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,[0],1.0,0.0,8751.0,"[0, 0, 0, 0, 0, 0]"
v0.1-DNK.1.9_1,Hovedstaden,Fredensborg,"[1, 1, 1, 0, 1, 1]",31690.0,3517614.87,111.001,47.39,26237.23,0.915,16.358,149.111,0.0,0.0,4611.0,0.146,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,[0],1.0,0.0,6260.0,"[0, 0, 0, 0, 0, 0]"
v0.1-DNK.1.10_1,Hovedstaden,Frederiksberg,"[1, 1, 1, 0, 1, 1]",11910.0,2049367.299,172.071,55.789,14901.389,1.507,19.41,170.068,0.0,0.0,457.0,0.038,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,[0],1.0,0.0,13976.0,"[0, 0, 0, 0, 0, 0]"
v0.1-DNK.1.11_1,Hovedstaden,Frederikssund,"[1, 1, 1, 0, 1, 1]",60133.0,5999861.709,99.777,48.308,19279.96,1.049,19.629,127.836,0.0,0.0,4462.0,0.074,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,[0],1.0,0.0,2734.0,"[0, 0, 0, 0, 0, 0]"
v0.1-DNK.1.12_1,Hovedstaden,Furesø,"[1, 1, 1, 0, 1, 1]",32087.0,3235481.883,100.835,35.497,15393.423,1.062,14.155,133.645,0.0,0.0,5170.0,0.161,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,[0],1.0,0.0,6672.0,"[0, 0, 0, 0, 0, 0]"
v0.1-DNK.1.13_1,Hovedstaden,Gentofte,"[1, 1, 1, 0, 1, 1]",35586.0,3862859.325,108.55,47.557,11907.215,1.12,20.383,138.983,0.0,0.0,1408.0,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,[0],1.0,1.0,12713.0,"[0, 0, 0, 0, 0, 0]"
