id,region,city,n_files,bldgs_n_tot,a_tot,a_mean,a_med,a_max,a_min,a_25,a_75,a_n_0,a_p_0,a_n_10,a_p_10,height_n,height_p,height_n_inf_0,height_n_0_2,height_n_3_5,height_n_6_10,height_n_11_15,height_n_16_25,height_n_26_inf,height_p_inf_0,height_p_0_2,height_p_3_5,height_p_6_10,height_p_11_15,height_p_16_25,height_p_26_inf,height_mean,height_med,height_max,height_min,age_n,age_p,age_n_0_1800,age_n_1801_1900,age_n_1901_1950,age_n_1951_2000,age_n_2001_2022,age_n_2023_inf,age_p_0_1800,age_p_1801_1900,age_p_1901_1950,age_p_1951_2000,age_p_2001_2022,age_p_2023_inf,age_mean,age_med,age_max,age_min,type_n,type_p,type_n_res,type_n_non_res,type_p_res,type_p_non_res,extra_attribs,const_bldgs_file,const_id_files,n_bldg_buffer,unnamed_0_bits
v0.1-EST.1.1_1,Harju,Aegviidu,"[1, 1, 1, 0, 1, 1]",1074.0,121758.351,113.369,88.021,2391.567,18.297,50.981,130.616,0.0,0.0,0.0,0.0,1074.0,1.0,0.0,6.0,393.0,597.0,63.0,14.0,1.0,0.0,0.006,0.366,0.556,0.059,0.013,0.001,6.302,5.84,26.64,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,[0],1.0,1.0,60.0,"[0, 0, 0, 0, 0, 0]"
v0.1-EST.1.2_1,Harju,Anija,"[1, 1, 1, 0, 1, 1]",5604.0,803638.664,143.404,83.462,8837.23,20.209,44.621,141.208,0.0,0.0,0.0,0.0,5604.0,1.0,0.0,119.0,2220.0,2945.0,281.0,33.0,6.0,0.0,0.021,0.396,0.526,0.05,0.006,0.001,5.909,5.62,37.46,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,[0],1.0,1.0,1379.0,"[0, 0, 0, 0, 0, 0]"
v0.1-EST.1.3_1,Harju,Harku,"[1, 1, 1, 0, 1, 1]",14166.0,2060773.261,145.473,95.491,25004.546,20.185,46.076,157.251,0.0,0.0,0.0,0.0,14166.0,1.0,0.0,129.0,5999.0,7251.0,572.0,199.0,16.0,0.0,0.009,0.423,0.512,0.04,0.014,0.001,6.014,5.67,38.68,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,[0],1.0,1.0,2950.0,"[0, 0, 0, 0, 0, 0]"
v0.1-EST.1.4_1,Harju,Jõelähtme,"[1, 1, 1, 0, 1, 1]",7793.0,1314645.523,168.696,70.528,30843.656,20.189,37.017,138.457,0.0,0.0,0.0,0.0,7793.0,1.0,0.0,98.0,3766.0,3593.0,289.0,46.0,1.0,0.0,0.013,0.483,0.461,0.037,0.006,0.0,5.581,5.03,31.71,0.31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,[0],1.0,1.0,2216.0,"[0, 0, 0, 0, 0, 0]"
v0.1-EST.1.5_1,Harju,Keila,"[1, 1, 1, 0, 1, 1]",11000.0,1536992.828,139.727,89.795,10949.846,16.947,44.885,142.168,0.0,0.0,0.0,0.0,11000.0,1.0,0.0,109.0,4489.0,5580.0,558.0,245.0,19.0,0.0,0.01,0.408,0.507,0.051,0.022,0.002,6.207,5.83,48.24,0.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,[0],1.0,1.0,2015.0,"[0, 0, 0, 0, 0, 0]"
v0.1-EST.1.6_1,Harju,Kernu,"[1, 1, 1, 0, 1, 1]",6218.0,591588.516,95.141,74.131,9520.712,20.218,40.12,106.58,0.0,0.0,0.0,0.0,6218.0,1.0,0.0,63.0,3173.0,2855.0,116.0,11.0,0.0,0.0,0.01,0.51,0.459,0.019,0.002,0.0,5.283,4.83,22.51,0.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,[0],1.0,1.0,169.0,"[0, 0, 0, 0, 0, 0]"
v0.1-EST.1.7_1,Harju,Kiili,"[1, 1, 1, 0, 1, 1]",4138.0,610149.472,147.45,105.176,8758.811,20.25,50.848,174.16,0.0,0.0,0.0,0.0,4138.0,1.0,0.0,39.0,1616.0,2321.0,124.0,38.0,0.0,0.0,0.009,0.391,0.561,0.03,0.009,0.0,6.025,5.92,24.47,0.56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,[0],1.0,1.0,609.0,"[0, 0, 0, 0, 0, 0]"
v0.1-EST.1.8_1,Harju,Kose,"[1, 1, 1, 0, 1, 1]",4649.0,754025.024,162.191,97.255,9778.635,20.208,49.158,167.335,0.0,0.0,0.0,0.0,4649.0,1.0,0.0,78.0,1611.0,2704.0,225.0,28.0,3.0,0.0,0.017,0.347,0.582,0.048,0.006,0.001,6.103,5.95,53.07,0.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,[0],1.0,1.0,140.0,"[0, 0, 0, 0, 0, 0]"
v0.1-EST.1.9_1,Harju,Kõue,"[1, 1, 1, 0, 1, 1]",1980.0,303085.411,153.073,93.573,9265.171,20.201,49.913,161.658,0.0,0.0,0.0,0.0,1980.0,1.0,0.0,49.0,660.0,1175.0,78.0,17.0,1.0,0.0,0.025,0.333,0.593,0.039,0.009,0.001,6.051,5.97,31.27,0.21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,[0],1.0,1.0,119.0,"[0, 0, 0, 0, 0, 0]"
v0.1-EST.1.10_1,Harju,Kuusalu,"[1, 1, 1, 0, 1, 1]",11243.0,1365901.236,121.489,74.511,15583.505,20.202,41.951,127.114,0.0,0.0,0.0,0.0,11243.0,1.0,0.0,167.0,4105.0,6502.0,409.0,57.0,3.0,0.0,0.015,0.365,0.578,0.036,0.005,0.0,5.901,5.69,37.65,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,[0],1.0,1.0,940.0,"[0, 0, 0, 0, 0, 0]"
