id,region,city,n_files,bldgs_n_tot,a_tot,a_mean,a_med,a_max,a_min,a_25,a_75,a_n_0,a_p_0,a_n_10,a_p_10,height_n,height_p,height_n_inf_0,height_n_0_2,height_n_3_5,height_n_6_10,height_n_11_15,height_n_16_25,height_n_26_inf,height_p_inf_0,height_p_0_2,height_p_3_5,height_p_6_10,height_p_11_15,height_p_16_25,height_p_26_inf,height_mean,height_med,height_max,height_min,age_n,age_p,age_n_0_1800,age_n_1801_1900,age_n_1901_1950,age_n_1951_2000,age_n_2001_2022,age_n_2023_inf,age_p_0_1800,age_p_1801_1900,age_p_1901_1950,age_p_1951_2000,age_p_2001_2022,age_p_2023_inf,age_mean,age_med,age_max,age_min,type_n,type_p,type_n_res,type_n_non_res,type_p_res,type_p_non_res,extra_attribs,const_bldgs_file,const_id_files,n_bldg_buffer,unnamed_0_bits
v0.1-FIN.1.1.1.1_1,Eastern Finland,Ilomantsi,"[1, 1, 1, 0, 1, 1]",16311.0,1368909.145,83.926,51.08,10161.038,5.387,28.736,95.545,0.0,0.0,110.0,0.007,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,[0],1.0,1.0,338.0,"[0, 0, 0, 0, 0, 0]"
v0.1-FIN.1.1.1.2_1,Eastern Finland,Tuupovaara,"[1, 1, 1, 0, 1, 1]",6974.0,547279.337,78.474,49.972,13249.566,1.987,27.237,89.068,0.0,0.0,47.0,0.007,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,[0],1.0,0.0,368.0,"[0, 0, 0, 0, 0, 0]"
v0.1-FIN.1.1.2.1_1,Eastern Finland,Eno,"[1, 1, 1, 0, 1, 1]",13314.0,1262274.305,94.808,53.095,53664.877,3.996,29.611,103.171,0.0,0.0,110.0,0.008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,[0],1.0,0.0,673.0,"[0, 0, 0, 0, 0, 0]"
v0.1-FIN.1.1.2.2_1,Eastern Finland,Joensuu,"[1, 1, 1, 0, 1, 1]",18016.0,4159689.761,230.889,134.746,38039.432,2.693,57.973,210.808,0.0,0.0,80.0,0.004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,[0],1.0,1.0,1199.0,"[0, 0, 0, 0, 0, 0]"
v0.1-FIN.1.1.2.3_1,Eastern Finland,Kiihtelysvaara,"[1, 1, 1, 0, 1, 1]",6563.0,569585.921,86.787,51.645,8265.597,3.566,28.947,99.38,0.0,0.0,25.0,0.004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,[0],1.0,1.0,631.0,"[0, 0, 0, 0, 0, 0]"
v0.1-FIN.1.1.2.4_1,Eastern Finland,Kontiolahti,"[1, 1, 1, 0, 1, 1]",20109.0,2007730.359,99.842,60.352,9915.123,3.382,30.806,127.946,0.0,0.0,101.0,0.005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,[0],1.0,0.0,2876.0,"[0, 0, 0, 0, 0, 0]"
v0.1-FIN.1.1.2.5_1,Eastern Finland,Liperi,"[1, 1, 1, 0, 1, 1]",25171.0,2603264.36,103.423,60.691,10165.149,4.08,32.662,121.104,0.0,0.0,108.0,0.004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,[0],1.0,1.0,1112.0,"[0, 0, 0, 0, 0, 0]"
v0.1-FIN.1.1.2.6_1,Eastern Finland,Outokumpu,"[1, 1, 1, 0, 1, 1]",11913.0,1244689.404,104.482,57.727,15913.768,4.388,31.992,111.202,0.0,0.0,81.0,0.007,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,[0],1.0,0.0,415.0,"[0, 0, 0, 0, 0, 0]"
v0.1-FIN.1.1.2.7_1,Eastern Finland,Polvijärvi,"[1, 1, 1, 0, 1, 1]",14812.0,1382165.742,93.314,58.8,7150.824,5.798,33.029,110.379,0.0,0.0,35.0,0.002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,[0],1.0,1.0,988.0,"[0, 0, 0, 0, 0, 0]"
v0.1-FIN.1.1.2.8_1,Eastern Finland,Pyhäselkä,"[1, 1, 1, 0, 1, 1]",10134.0,1158303.979,114.299,73.724,4155.633,5.884,37.15,147.297,0.0,0.0,34.0,0.003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,[0],1.0,0.0,495.0,"[0, 0, 0, 0, 0, 0]"
