id,region,city,n_files,bldgs_n_tot,a_tot,a_mean,a_med,a_max,a_min,a_25,a_75,a_n_0,a_p_0,a_n_10,a_p_10,height_n,height_p,height_n_inf_0,height_n_0_2,height_n_3_5,height_n_6_10,height_n_11_15,height_n_16_25,height_n_26_inf,height_p_inf_0,height_p_0_2,height_p_3_5,height_p_6_10,height_p_11_15,height_p_16_25,height_p_26_inf,height_mean,height_med,height_max,height_min,age_n,age_p,age_n_0_1800,age_n_1801_1900,age_n_1901_1950,age_n_1951_2000,age_n_2001_2022,age_n_2023_inf,age_p_0_1800,age_p_1801_1900,age_p_1901_1950,age_p_1951_2000,age_p_2001_2022,age_p_2023_inf,age_mean,age_med,age_max,age_min,type_n,type_p,type_n_res,type_n_non_res,type_p_res,type_p_non_res,extra_attribs,const_bldgs_file,const_id_files,n_bldg_buffer,unnamed_0_bits
v0.1-FRA.1.1.1.1_1,Auvergne-Rhône-Alpes,Ambérieu-en-Bugey,"[1, 1, 1, 1, 1, 1]",17531.0,2168115.568,123.673,70.418,42733.906,0.376,23.28,133.4,0.0,0.0,1983.0,0.113,17528.0,1.0,1477.0,207.0,8021.0,7126.0,591.0,104.0,2.0,0.084,0.012,0.458,0.406,0.034,0.006,0.0,4.896,,29.1,0.0,8213.0,0.47,876.0,1145.0,675.0,3743.0,1774.0,0.0,0.05,0.065,0.039,0.214,0.101,0.0,1943.551,,2016.0,1400.0,9461.0,0.54,6830.0,2631.0,0.39,0.15,"[['id_source', 'PREC_ALTI', 'MAT_MURS', 'MAT_TOITS', 'Z_MIN_SOL', 'Z_MIN_TOIT', 'Z_MAX_TOIT', 'geometry']]",1.0,1.0,1155.0,"[0, 0, 0, 0, 0, 0]"
v0.1-FRA.1.1.1.2_1,Auvergne-Rhône-Alpes,Belley,"[1, 1, 1, 1, 1, 1]",18596.0,2175204.81,116.972,72.385,13630.055,0.29,27.842,137.708,0.0,0.0,1362.0,0.073,18585.0,1.0,1602.0,87.0,7367.0,8824.0,615.0,88.0,2.0,0.086,0.005,0.396,0.475,0.033,0.005,0.0,5.163,,32.5,0.0,8026.0,0.43,1617.0,1777.0,385.0,2583.0,1664.0,0.0,0.087,0.096,0.021,0.139,0.089,0.0,1917.524,,2016.0,1300.0,9464.0,0.509,6614.0,2850.0,0.356,0.153,"[['id_source', 'PREC_ALTI', 'MAT_MURS', 'MAT_TOITS', 'Z_MIN_SOL', 'Z_MIN_TOIT', 'Z_MAX_TOIT', 'geometry']]",1.0,1.0,1837.0,"[0, 0, 0, 0, 0, 0]"
v0.1-FRA.1.1.1.3_1,Auvergne-Rhône-Alpes,Champagne-en-Valromey,"[1, 1, 1, 1, 1, 1]",6991.0,809535.178,115.797,75.063,3841.574,0.265,27.88,147.308,0.0,0.0,514.0,0.074,6991.0,1.0,849.0,39.0,2540.0,3433.0,123.0,7.0,0.0,0.121,0.006,0.363,0.491,0.018,0.001,0.0,4.881,5.1,21.9,0.0,3027.0,0.43,766.0,779.0,181.0,840.0,461.0,0.0,0.11,0.111,0.026,0.12,0.066,0.0,1899.242,,2016.0,1300.0,3630.0,0.519,2485.0,1145.0,0.355,0.164,"[['id_source', 'PREC_ALTI', 'MAT_MURS', 'MAT_TOITS', 'Z_MIN_SOL', 'Z_MIN_TOIT', 'Z_MAX_TOIT', 'geometry']]",1.0,0.0,212.0,"[0, 0, 0, 0, 0, 0]"
v0.1-FRA.1.1.1.4_1,Auvergne-Rhône-Alpes,Hauteville-Lompnes,"[1, 1, 1, 1, 1, 1]",4821.0,606094.628,125.72,82.89,4645.905,0.366,23.011,160.415,0.0,0.0,525.0,0.109,4820.0,1.0,509.0,30.0,1909.0,2195.0,150.0,25.0,2.0,0.106,0.006,0.396,0.455,0.031,0.005,0.0,5.048,,50.1,0.0,2085.0,0.43,215.0,481.0,275.0,845.0,269.0,0.0,0.045,0.1,0.057,0.175,0.056,0.0,1928.524,,2016.0,1509.0,2520.0,0.523,1739.0,781.0,0.361,0.162,"[['id_source', 'PREC_ALTI', 'MAT_MURS', 'MAT_TOITS', 'Z_MIN_SOL', 'Z_MIN_TOIT', 'Z_MAX_TOIT', 'geometry']]",1.0,0.0,120.0,"[0, 0, 0, 0, 0, 0]"
v0.1-FRA.1.1.1.5_1,Auvergne-Rhône-Alpes,Lagnieu,"[1, 1, 1, 1, 1, 1]",18764.0,3300159.198,175.877,72.674,52566.445,0.351,23.659,139.79,0.0,0.0,2090.0,0.111,18758.0,1.0,903.0,860.0,8928.0,7382.0,622.0,54.0,9.0,0.048,0.046,0.476,0.393,0.033,0.003,0.0,4.915,,110.5,0.0,8676.0,0.46,1131.0,1554.0,259.0,3797.0,1935.0,0.0,0.06,0.083,0.014,0.202,0.103,0.0,1935.805,,2017.0,1300.0,10482.0,0.559,7316.0,3166.0,0.39,0.169,"[['id_source', 'PREC_ALTI', 'MAT_MURS', 'MAT_TOITS', 'Z_MIN_SOL', 'Z_MIN_TOIT', 'Z_MAX_TOIT', 'geometry']]",1.0,1.0,3792.0,"[0, 0, 0, 0, 0, 0]"
v0.1-FRA.1.1.1.6_1,Auvergne-Rhône-Alpes,Lhuis,"[1, 1, 1, 1, 1, 1]",8283.0,896413.613,108.223,65.632,15671.577,0.641,26.528,129.401,0.0,0.0,672.0,0.081,8271.0,1.0,185.0,226.0,3452.0,4247.0,154.0,7.0,0.0,0.022,0.027,0.417,0.513,0.019,0.001,0.0,5.285,,18.5,0.0,3310.0,0.4,839.0,844.0,183.0,941.0,503.0,0.0,0.101,0.102,0.022,0.114,0.061,0.0,1899.729,,2016.0,1350.0,3984.0,0.481,2745.0,1239.0,0.331,0.15,"[['id_source', 'PREC_ALTI', 'MAT_MURS', 'MAT_TOITS', 'Z_MIN_SOL', 'Z_MIN_TOIT', 'Z_MAX_TOIT', 'geometry']]",1.0,1.0,681.0,"[0, 0, 0, 0, 0, 0]"
v0.1-FRA.1.1.1.7_1,Auvergne-Rhône-Alpes,Saint-Rambert-en-Bugey,"[1, 1, 1, 1, 1, 1]",6889.0,657994.546,95.514,56.902,9031.986,0.205,27.184,108.955,0.0,0.0,462.0,0.067,6887.0,1.0,622.0,50.0,2194.0,3345.0,575.0,101.0,0.0,0.09,0.007,0.318,0.486,0.083,0.015,0.0,5.828,,23.9,0.0,2971.0,0.43,522.0,1264.0,243.0,622.0,320.0,0.0,0.076,0.183,0.035,0.09,0.046,0.0,1895.05,,2016.0,1400.0,3459.0,0.502,2537.0,922.0,0.368,0.134,"[['id_source', 'PREC_ALTI', 'MAT_MURS', 'MAT_TOITS', 'Z_MIN_SOL', 'Z_MIN_TOIT', 'Z_MAX_TOIT', 'geometry']]",1.0,1.0,86.0,"[0, 0, 0, 0, 0, 0]"
v0.1-FRA.1.1.1.8_1,Auvergne-Rhône-Alpes,Seyssel,"[1, 1, 1, 1, 1, 1]",6189.0,711558.262,114.971,64.967,31892.368,0.952,24.544,123.629,0.0,0.0,599.0,0.097,6188.0,1.0,752.0,30.0,2188.0,2998.0,201.0,19.0,0.0,0.122,0.005,0.354,0.484,0.032,0.003,0.0,5.059,,24.1,0.0,2800.0,0.45,595.0,476.0,217.0,1037.0,475.0,0.0,0.096,0.077,0.035,0.168,0.077,0.0,1920.285,,2016.0,1320.0,3361.0,0.543,2429.0,932.0,0.392,0.151,"[['id_source', 'PREC_ALTI', 'MAT_MURS', 'MAT_TOITS', 'Z_MIN_SOL', 'Z_MIN_TOIT', 'Z_MAX_TOIT', 'geometry']]",1.0,0.0,1205.0,"[0, 0, 0, 0, 0, 0]"
v0.1-FRA.1.1.1.9_1,Auvergne-Rhône-Alpes,Virieu-le-Grand,"[1, 1, 1, 1, 1, 1]",6186.0,579869.389,93.739,62.46,7629.572,0.381,27.453,125.162,0.0,0.0,446.0,0.072,6185.0,1.0,761.0,66.0,2337.0,2872.0,144.0,5.0,0.0,0.123,0.011,0.378,0.464,0.023,0.001,0.0,4.856,,18.5,0.0,2668.0,0.43,834.0,718.0,111.0,630.0,375.0,0.0,0.135,0.116,0.018,0.102,0.061,0.0,1890.175,,2016.0,1300.0,3060.0,0.495,2174.0,886.0,0.351,0.143,"[['id_source', 'PREC_ALTI', 'MAT_MURS', 'MAT_TOITS', 'Z_MIN_SOL', 'Z_MIN_TOIT', 'Z_MAX_TOIT', 'geometry']]",1.0,1.0,841.0,"[0, 0, 0, 0, 0, 0]"
v0.1-FRA.1.1.2.1_1,Auvergne-Rhône-Alpes,Bâgé-le-Châtel,"[1, 1, 1, 1, 1, 1]",16893.0,2197359.577,130.075,74.661,57855.848,0.23,21.861,161.454,0.0,0.0,1560.0,0.092,16893.0,1.0,1757.0,595.0,10997.0,3402.0,134.0,8.0,0.0,0.104,0.035,0.651,0.201,0.008,0.0,0.0,3.792,3.8,19.9,0.0,6921.0,0.41,406.0,1508.0,234.0,3155.0,1618.0,0.0,0.024,0.089,0.014,0.187,0.096,0.0,1948.911,,2016.0,1550.0,8378.0,0.496,5529.0,2849.0,0.327,0.169,"[['id_source', 'PREC_ALTI', 'MAT_MURS', 'MAT_TOITS', 'Z_MIN_SOL', 'Z_MIN_TOIT', 'Z_MAX_TOIT', 'geometry']]",1.0,1.0,705.0,"[0, 0, 0, 0, 0, 0]"
