id,region,city,n_files,bldgs_n_tot,a_tot,a_mean,a_med,a_max,a_min,a_25,a_75,a_n_0,a_p_0,a_n_10,a_p_10,height_n,height_p,height_n_inf_0,height_n_0_2,height_n_3_5,height_n_6_10,height_n_11_15,height_n_16_25,height_n_26_inf,height_p_inf_0,height_p_0_2,height_p_3_5,height_p_6_10,height_p_11_15,height_p_16_25,height_p_26_inf,height_mean,height_med,height_max,height_min,age_n,age_p,age_n_0_1800,age_n_1801_1900,age_n_1901_1950,age_n_1951_2000,age_n_2001_2022,age_n_2023_inf,age_p_0_1800,age_p_1801_1900,age_p_1901_1950,age_p_1951_2000,age_p_2001_2022,age_p_2023_inf,age_mean,age_med,age_max,age_min,type_n,type_p,type_n_res,type_n_non_res,type_p_res,type_p_non_res,extra_attribs,const_bldgs_file,const_id_files,n_bldg_buffer,unnamed_0_bits
v0.1-ITA.1.1.1_1,Abruzzo,Altino,"[1, 1, 1, 0, 1, 1]",1277.0,178963.459,140.144,106.973,1042.557,0.037,48.883,201.935,0.0,0.0,9.0,0.007,1277.0,1.0,0.0,0.0,501.0,644.0,114.0,18.0,0.0,0.0,0.0,0.392,0.504,0.089,0.014,0.0,6.359,5.92,23.2,2.71,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,[0],1.0,0.0,519.0,"[0, 0, 0, 0, 0, 0]"
v0.1-ITA.1.1.2_1,Abruzzo,Archi,"[1, 1, 1, 0, 1, 1]",1267.0,156825.354,123.777,95.553,1944.575,2.94,52.678,167.877,0.0,0.0,8.0,0.006,1267.0,1.0,0.0,0.0,450.0,632.0,164.0,19.0,2.0,0.0,0.0,0.355,0.499,0.129,0.015,0.002,6.745,6.19,28.98,2.63,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,[0],1.0,0.0,557.0,"[0, 0, 0, 0, 0, 0]"
v0.1-ITA.1.1.3_1,Abruzzo,Ari,"[1, 1, 1, 0, 1, 1]",944.0,114605.077,121.404,91.37,2243.824,6.193,48.916,167.886,0.0,0.0,6.0,0.006,944.0,1.0,0.0,0.0,478.0,426.0,35.0,4.0,1.0,0.0,0.0,0.506,0.451,0.037,0.004,0.001,5.583,4.97,29.99,2.92,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,[0],1.0,1.0,574.0,"[0, 0, 0, 0, 0, 0]"
v0.1-ITA.1.1.4_1,Abruzzo,Arielli,"[1, 1, 1, 0, 1, 1]",744.0,150860.2,202.769,142.013,5484.992,6.469,73.378,214.834,0.0,0.0,2.0,0.003,744.0,1.0,0.0,0.0,363.0,341.0,36.0,4.0,0.0,0.0,0.0,0.488,0.458,0.048,0.005,0.0,5.819,5.195,18.91,2.91,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,[0],1.0,1.0,559.0,"[0, 0, 0, 0, 0, 0]"
v0.1-ITA.1.1.5_1,Abruzzo,Atessa,"[1, 1, 1, 0, 1, 1]",4632.0,1086784.786,234.625,115.232,28351.064,0.165,63.372,199.936,0.0,0.0,64.0,0.014,4632.0,1.0,0.0,0.0,1597.0,2329.0,582.0,118.0,6.0,0.0,0.0,0.345,0.503,0.126,0.025,0.001,6.985,6.39,38.02,2.53,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,[0],1.0,0.0,809.0,"[0, 0, 0, 0, 0, 0]"
v0.1-ITA.1.1.6_1,Abruzzo,Bomba,"[1, 1, 1, 0, 1, 1]",430.0,47476.515,110.411,77.164,914.517,4.481,39.704,142.046,0.0,0.0,10.0,0.023,430.0,1.0,0.0,0.0,135.0,185.0,93.0,17.0,0.0,0.0,0.0,0.314,0.43,0.216,0.04,0.0,7.713,7.23,20.15,2.72,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,[0],1.0,0.0,61.0,"[0, 0, 0, 0, 0, 0]"
v0.1-ITA.1.1.7_1,Abruzzo,Borrello,"[1, 1, 1, 0, 1, 1]",218.0,44498.759,204.123,158.512,1301.977,9.474,80.257,254.167,0.0,0.0,1.0,0.005,218.0,1.0,0.0,0.0,64.0,138.0,15.0,1.0,0.0,0.0,0.0,0.294,0.633,0.069,0.005,0.0,6.606,6.39,24.08,2.91,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,[0],1.0,1.0,265.0,"[0, 0, 0, 0, 0, 0]"
v0.1-ITA.1.1.8_1,Abruzzo,Bucchianico,"[1, 1, 1, 0, 1, 1]",2388.0,365811.917,153.188,130.776,1621.945,5.904,72.267,200.711,0.0,0.0,8.0,0.003,2388.0,1.0,1.0,0.0,1043.0,1197.0,132.0,15.0,0.0,0.0,0.0,0.437,0.501,0.055,0.006,0.0,6.029,5.605,24.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,[0],1.0,1.0,988.0,"[0, 0, 0, 0, 0, 0]"
v0.1-ITA.1.1.9_1,Abruzzo,Canosa Sannita,"[1, 1, 1, 0, 1, 1]",715.0,119681.5,167.387,135.586,3112.15,7.972,71.944,209.252,0.0,0.0,1.0,0.001,715.0,1.0,0.0,0.0,304.0,363.0,43.0,4.0,1.0,0.0,0.0,0.425,0.508,0.06,0.006,0.001,6.099,5.69,32.47,2.91,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,[0],1.0,1.0,688.0,"[0, 0, 0, 0, 0, 0]"
v0.1-ITA.1.1.10_1,Abruzzo,Carpineto Sinello,"[1, 1, 1, 0, 1, 1]",408.0,54504.691,133.59,101.254,792.977,6.014,53.313,175.81,0.0,0.0,3.0,0.007,408.0,1.0,0.0,0.0,157.0,197.0,47.0,7.0,0.0,0.0,0.0,0.385,0.483,0.115,0.017,0.0,6.649,6.06,20.72,2.61,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,[0],1.0,0.0,231.0,"[0, 0, 0, 0, 0, 0]"
v0.1-ITA.1.1.11_1,Abruzzo,Carunchio,"[1, 1, 1, 0, 1, 1]",500.0,70116.957,140.234,100.114,2456.334,3.335,45.729,176.025,0.0,0.0,7.0,0.014,500.0,1.0,0.0,0.0,194.0,223.0,81.0,1.0,1.0,0.0,0.0,0.388,0.446,0.162,0.002,0.002,6.815,6.17,26.91,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,[0],1.0,1.0,111.0,"[0, 0, 0, 0, 0, 0]"
v0.1-ITA.1.1.12_1,Abruzzo,Casacanditella,"[1, 1, 1, 0, 1, 1]",966.0,115505.407,119.571,91.762,1398.64,3.497,47.553,165.324,0.0,0.0,26.0,0.027,966.0,1.0,0.0,0.0,475.0,456.0,32.0,3.0,0.0,0.0,0.0,0.492,0.472,0.033,0.003,0.0,5.645,5.07,24.0,2.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,[0],1.0,1.0,477.0,"[0, 0, 0, 0, 0, 0]"
