id,region,city,n_files,bldgs_n_tot,a_tot,a_mean,a_med,a_max,a_min,a_25,a_75,a_n_0,a_p_0,a_n_10,a_p_10,height_n,height_p,height_n_inf_0,height_n_0_2,height_n_3_5,height_n_6_10,height_n_11_15,height_n_16_25,height_n_26_inf,height_p_inf_0,height_p_0_2,height_p_3_5,height_p_6_10,height_p_11_15,height_p_16_25,height_p_26_inf,height_mean,height_med,height_max,height_min,age_n,age_p,age_n_0_1800,age_n_1801_1900,age_n_1901_1950,age_n_1951_2000,age_n_2001_2022,age_n_2023_inf,age_p_0_1800,age_p_1801_1900,age_p_1901_1950,age_p_1951_2000,age_p_2001_2022,age_p_2023_inf,age_mean,age_med,age_max,age_min,type_n,type_p,type_n_res,type_n_non_res,type_p_res,type_p_non_res,extra_attribs,const_bldgs_file,const_id_files,n_bldg_buffer,unnamed_0_bits
v0.1-LTU.1.1_1,Alytaus,Alytaus,"[1, 1, 1, 0, 1, 1]",63142.0,8865128.679,140.4,88.809,161506.813,12.006,40.001,144.528,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,[0],1.0,1.0,2859.0,"[0, 0, 0, 0, 0, 0]"
v0.1-LTU.1.2_1,Alytaus,Druskininkų,"[1, 1, 1, 0, 1, 1]",2975.0,691514.563,232.442,123.269,12744.203,12.046,59.121,204.82,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,[0],1.0,1.0,293.0,"[0, 0, 0, 0, 0, 0]"
v0.1-LTU.1.3_1,Alytaus,Lazdijų,"[1, 1, 1, 0, 1, 1]",40272.0,4622603.046,114.785,91.821,31672.004,11.314,43.755,135.182,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,[0],1.0,1.0,2206.0,"[0, 0, 0, 0, 0, 0]"
v0.1-LTU.1.4_1,Alytaus,Varėnos,"[1, 1, 1, 0, 1, 1]",45163.0,5055983.351,111.95,82.484,18556.298,8.374,38.184,127.445,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,[0],1.0,1.0,3165.0,"[0, 0, 0, 0, 0, 0]"
v0.1-LTU.2.1_1,Kauno,Birštono,"[1, 1, 1, 0, 1, 1]",1013.0,222552.442,219.696,105.53,6044.101,12.086,54.272,188.438,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,[0],1.0,1.0,419.0,"[0, 0, 0, 0, 0, 0]"
v0.1-LTU.2.2_1,Kauno,Jonavos,"[1, 1, 1, 0, 1, 1]",28655.0,4283289.069,149.478,82.419,28776.92,12.009,37.992,137.289,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,[0],1.0,1.0,1742.0,"[0, 0, 0, 0, 0, 0]"
v0.1-LTU.2.3_1,Kauno,Kaišiadorių,"[1, 1, 1, 0, 1, 1]",39829.0,5484418.477,137.699,92.264,148310.973,12.013,43.637,137.576,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,[0],1.0,1.0,3243.0,"[0, 0, 0, 0, 0, 0]"
v0.1-LTU.2.4_1,Kauno,Kauno,"[1, 1, 1, 0, 1, 1]",137551.0,25326523.368,184.125,99.854,98740.159,12.007,47.569,168.364,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,[0],1.0,1.0,5266.0,"[0, 0, 0, 0, 0, 0]"
v0.1-LTU.2.5_1,Kauno,Kėdainių,"[1, 1, 1, 0, 1, 1]",40498.0,6843393.443,168.981,98.061,44348.73,12.018,44.865,148.151,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,[0],1.0,1.0,978.0,"[0, 0, 0, 0, 0, 0]"
v0.1-LTU.2.6_1,Kauno,Prienų,"[1, 1, 1, 0, 1, 1]",39449.0,5139990.623,130.295,97.305,16702.948,12.007,46.829,144.35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,[0],1.0,1.0,4159.0,"[0, 0, 0, 0, 0, 0]"
