id,region,city,n_files,bldgs_n_tot,a_tot,a_mean,a_med,a_max,a_min,a_25,a_75,a_n_0,a_p_0,a_n_10,a_p_10,height_n,height_p,height_n_inf_0,height_n_0_2,height_n_3_5,height_n_6_10,height_n_11_15,height_n_16_25,height_n_26_inf,height_p_inf_0,height_p_0_2,height_p_3_5,height_p_6_10,height_p_11_15,height_p_16_25,height_p_26_inf,height_mean,height_med,height_max,height_min,age_n,age_p,age_n_0_1800,age_n_1801_1900,age_n_1901_1950,age_n_1951_2000,age_n_2001_2022,age_n_2023_inf,age_p_0_1800,age_p_1801_1900,age_p_1901_1950,age_p_1951_2000,age_p_2001_2022,age_p_2023_inf,age_mean,age_med,age_max,age_min,type_n,type_p,type_n_res,type_n_non_res,type_p_res,type_p_non_res,extra_attribs,const_bldgs_file,const_id_files,n_bldg_buffer,unnamed_0_bits
v0.1-LUX.1.1.1_1,Diekirch,Clervaux,"[1, 1, 1, 0, 1, 1]",840.0,285110.481,339.417,162.13,20832.626,2.184,88.286,267.79,0.0,0.0,8.0,0.01,840.0,1.0,0.0,0.0,536.0,281.0,22.0,1.0,0.0,0.0,0.0,0.638,0.335,0.026,0.001,0.0,5.669,5.0,16.4,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,[0],1.0,1.0,139.0,"[0, 0, 0, 0, 0, 0]"
v0.1-LUX.1.1.2_1,Diekirch,Consthum,"[1, 1, 1, 0, 1, 1]",346.0,93970.854,271.592,188.163,3877.679,8.331,96.028,310.539,0.0,0.0,3.0,0.009,346.0,1.0,0.0,0.0,230.0,115.0,1.0,0.0,0.0,0.0,0.0,0.665,0.332,0.003,0.0,0.0,5.389,5.0,12.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,[0],1.0,1.0,126.0,"[0, 0, 0, 0, 0, 0]"
v0.1-LUX.1.1.3_1,Diekirch,Heinerscheid,"[1, 1, 1, 0, 1, 1]",860.0,232938.062,270.858,180.684,4563.892,1.65,105.396,294.587,0.0,0.0,11.0,0.013,860.0,1.0,0.0,0.0,591.0,267.0,2.0,0.0,0.0,0.0,0.0,0.687,0.31,0.002,0.0,0.0,5.37,5.0,11.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,[0],1.0,1.0,100.0,"[0, 0, 0, 0, 0, 0]"
v0.1-LUX.1.1.4_1,Diekirch,Hosingen,"[1, 1, 1, 0, 1, 1]",1225.0,317764.859,259.4,151.706,12545.588,1.469,86.274,254.512,0.0,0.0,13.0,0.011,1225.0,1.0,0.0,0.0,796.0,421.0,8.0,0.0,0.0,0.0,0.0,0.65,0.344,0.007,0.0,0.0,5.482,5.0,14.3,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,[0],1.0,1.0,187.0,"[0, 0, 0, 0, 0, 0]"
v0.1-LUX.1.1.5_1,Diekirch,Munshausen,"[1, 1, 1, 0, 1, 1]",609.0,134815.884,221.373,159.181,4541.438,4.873,83.483,245.72,0.0,0.0,5.0,0.008,609.0,1.0,0.0,0.0,392.0,216.0,1.0,0.0,0.0,0.0,0.0,0.644,0.355,0.002,0.0,0.0,5.403,5.0,10.5,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,[0],1.0,1.0,281.0,"[0, 0, 0, 0, 0, 0]"
v0.1-LUX.1.1.6_1,Diekirch,Troisvierges,"[1, 1, 1, 0, 1, 1]",1271.0,396322.433,311.819,174.249,26357.763,1.565,87.57,278.686,0.0,0.0,17.0,0.013,1271.0,1.0,0.0,0.0,753.0,491.0,25.0,2.0,0.0,0.0,0.0,0.592,0.386,0.02,0.002,0.0,5.685,5.0,24.9,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,[0],1.0,1.0,185.0,"[0, 0, 0, 0, 0, 0]"
v0.1-LUX.1.1.7_1,Diekirch,Weiswampach,"[1, 1, 1, 0, 1, 1]",843.0,242486.302,287.647,174.095,16591.817,6.016,96.16,286.73,0.0,0.0,10.0,0.012,843.0,1.0,0.0,0.0,624.0,209.0,10.0,0.0,0.0,0.0,0.0,0.74,0.248,0.012,0.0,0.0,5.361,5.0,12.4,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,[0],1.0,1.0,271.0,"[0, 0, 0, 0, 0, 0]"
v0.1-LUX.1.1.8_1,Diekirch,Wincrange,"[1, 1, 1, 0, 1, 1]",3190.0,895592.49,280.75,167.996,52891.928,0.02,77.69,281.643,0.0,0.0,30.0,0.009,3190.0,1.0,0.0,0.0,2084.0,1094.0,10.0,2.0,0.0,0.0,0.0,0.653,0.343,0.003,0.001,0.0,5.416,5.0,16.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,[0],1.0,1.0,208.0,"[0, 0, 0, 0, 0, 0]"
v0.1-LUX.1.2.1_1,Diekirch,Bettendorf,"[1, 1, 1, 0, 1, 1]",1019.0,205975.028,202.134,150.836,2646.261,0.079,74.756,232.013,0.0,0.0,18.0,0.018,1019.0,1.0,0.0,0.0,664.0,347.0,6.0,2.0,0.0,0.0,0.0,0.652,0.341,0.006,0.002,0.0,5.489,5.0,21.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,[0],1.0,1.0,310.0,"[0, 0, 0, 0, 0, 0]"
v0.1-LUX.1.2.2_1,Diekirch,Bourscheid,"[1, 1, 1, 0, 1, 1]",1120.0,224933.343,200.833,124.143,3558.16,3.521,58.315,216.331,0.0,0.0,27.0,0.024,1120.0,1.0,0.0,0.0,838.0,279.0,3.0,0.0,0.0,0.0,0.0,0.748,0.249,0.003,0.0,0.0,5.316,5.0,12.1,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,[0],1.0,1.0,288.0,"[0, 0, 0, 0, 0, 0]"
