id,region,city,n_files,bldgs_n_tot,a_tot,a_mean,a_med,a_max,a_min,a_25,a_75,a_n_0,a_p_0,a_n_10,a_p_10,height_n,height_p,height_n_inf_0,height_n_0_2,height_n_3_5,height_n_6_10,height_n_11_15,height_n_16_25,height_n_26_inf,height_p_inf_0,height_p_0_2,height_p_3_5,height_p_6_10,height_p_11_15,height_p_16_25,height_p_26_inf,height_mean,height_med,height_max,height_min,age_n,age_p,age_n_0_1800,age_n_1801_1900,age_n_1901_1950,age_n_1951_2000,age_n_2001_2022,age_n_2023_inf,age_p_0_1800,age_p_1801_1900,age_p_1901_1950,age_p_1951_2000,age_p_2001_2022,age_p_2023_inf,age_mean,age_med,age_max,age_min,type_n,type_p,type_n_res,type_n_non_res,type_p_res,type_p_non_res,extra_attribs,const_bldgs_file,const_id_files,n_bldg_buffer,unnamed_0_bits
v0.1-MLT.1.1_1,Ċentrali,Birkirkara,"[1, 1, 1, 1, 1, 1]",2461.0,1196483.629,486.178,11.699,14328.622,1.101,5.674,52.886,0.0,0.0,1105.0,0.449,2461.0,1.0,53.0,108.0,1607.0,197.0,195.0,287.0,14.0,0.022,0.044,0.653,0.08,0.079,0.117,0.006,5.97,3.334,43.53,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,"[['id_source', 'building:use', 'amenity', 'building:material', 'geometry', 'id_misaligned']]",1.0,1.0,3194.0,"[0, 0, 0, 0, 0, 0]"
v0.1-MLT.1.2_1,Ċentrali,Ħ'Attard,"[1, 1, 1, 1, 1, 1]",3036.0,862598.101,284.123,28.225,25270.09,1.13,10.018,188.339,0.0,0.0,757.0,0.249,3036.0,1.0,162.0,228.0,1717.0,454.0,388.0,84.0,3.0,0.053,0.075,0.566,0.15,0.128,0.028,0.001,5.034,3.394,26.659,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,"[['id_source', 'building:use', 'amenity', 'building:material', 'geometry', 'id_misaligned']]",1.0,1.0,3445.0,"[0, 0, 0, 0, 0, 0]"
v0.1-MLT.1.3_1,Ċentrali,Ħal Balzan,"[1, 1, 1, 1, 1, 1]",1075.0,362796.566,337.485,14.2,11959.824,1.213,6.363,117.396,0.0,0.0,420.0,0.391,1075.0,1.0,19.0,27.0,710.0,113.0,134.0,71.0,1.0,0.018,0.025,0.66,0.105,0.125,0.066,0.001,5.581,3.414,29.343,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,"[['id_source', 'building:use', 'amenity', 'building:material', 'geometry', 'id_misaligned']]",1.0,1.0,2263.0,"[0, 0, 0, 0, 0, 0]"
v0.1-MLT.1.4_1,Ċentrali,Ħal Lija,"[1, 1, 1, 1, 1, 1]",867.0,279715.193,322.624,22.775,11385.436,1.204,8.976,106.388,0.0,0.0,243.0,0.28,867.0,1.0,42.0,85.0,520.0,101.0,86.0,32.0,1.0,0.048,0.098,0.6,0.116,0.099,0.037,0.001,4.711,3.185,34.423,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,"[['id_source', 'building:use', 'amenity', 'building:material', 'geometry', 'id_misaligned']]",1.0,1.0,2442.0,"[0, 0, 0, 0, 0, 0]"
v0.1-MLT.1.5_1,Ċentrali,Il-Gżira,"[1, 1, 1, 1, 1, 1]",849.0,334383.969,393.856,14.155,6221.705,1.061,6.318,112.251,0.0,0.0,341.0,0.402,849.0,1.0,22.0,19.0,539.0,112.0,54.0,86.0,17.0,0.026,0.022,0.635,0.132,0.064,0.101,0.02,6.455,3.65,42.415,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,"[['id_source', 'building:use', 'amenity', 'building:material', 'geometry', 'id_misaligned']]",1.0,1.0,2036.0,"[0, 0, 0, 0, 0, 0]"
v0.1-MLT.1.6_1,Ċentrali,L-Iklin,"[1, 1, 1, 1, 1, 1]",1276.0,269614.19,211.296,19.957,8474.515,1.183,8.204,75.205,0.0,0.0,389.0,0.305,1276.0,1.0,69.0,156.0,768.0,210.0,45.0,28.0,0.0,0.054,0.122,0.602,0.165,0.035,0.022,0.0,4.101,3.07,21.269,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,"[['id_source', 'building:use', 'amenity', 'building:material', 'geometry', 'id_misaligned']]",1.0,1.0,2844.0,"[0, 0, 0, 0, 0, 0]"
v0.1-MLT.1.7_1,Ċentrali,L-Imsida,"[1, 1, 1, 1, 1, 1]",1622.0,603762.079,372.233,15.437,49591.547,1.1,6.527,67.805,0.0,0.0,613.0,0.378,1622.0,1.0,72.0,89.0,1023.0,164.0,79.0,158.0,37.0,0.044,0.055,0.631,0.101,0.049,0.097,0.023,5.997,3.35,46.192,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,"[['id_source', 'building:use', 'amenity', 'building:material', 'geometry', 'id_misaligned']]",1.0,1.0,4020.0,"[0, 0, 0, 0, 0, 0]"
v0.1-MLT.1.8_1,Ċentrali,San Ġiljan,"[1, 1, 1, 1, 1, 1]",1008.0,571725.301,567.188,58.913,28846.033,1.205,13.569,404.487,0.0,0.0,185.0,0.184,1008.0,1.0,27.0,81.0,405.0,149.0,167.0,110.0,69.0,0.027,0.08,0.402,0.148,0.166,0.109,0.068,9.04,4.848,103.196,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,"[['id_source', 'building:use', 'amenity', 'building:material', 'geometry', 'id_misaligned']]",1.0,1.0,2020.0,"[0, 0, 0, 0, 0, 0]"
v0.1-MLT.1.9_1,Ċentrali,San Ġwann,"[1, 1, 1, 1, 1, 1]",2080.0,702257.829,337.624,30.636,10559.661,1.156,9.437,222.882,0.0,0.0,547.0,0.263,2080.0,1.0,62.0,191.0,1028.0,329.0,321.0,141.0,8.0,0.03,0.092,0.494,0.158,0.154,0.068,0.004,6.13,3.696,32.299,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,"[['id_source', 'building:use', 'amenity', 'building:material', 'geometry', 'id_misaligned']]",1.0,1.0,3398.0,"[0, 0, 0, 0, 0, 0]"
v0.1-MLT.1.10_1,Ċentrali,Santa Venera,"[1, 1, 1, 1, 1, 1]",826.0,419296.612,507.623,14.515,21301.339,1.253,6.693,70.53,0.0,0.0,322.0,0.39,826.0,1.0,32.0,28.0,504.0,110.0,53.0,94.0,5.0,0.039,0.034,0.61,0.133,0.064,0.114,0.006,5.973,3.545,34.239,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,"[['id_source', 'building:use', 'amenity', 'building:material', 'geometry', 'id_misaligned']]",1.0,1.0,2681.0,"[0, 0, 0, 0, 0, 0]"
v0.1-MLT.1.11_1,Ċentrali,Ta' Xbiex,"[1, 1, 1, 1, 1, 1]",269.0,88247.085,328.056,150.397,6519.373,1.556,11.941,335.339,0.0,0.0,59.0,0.219,269.0,1.0,2.0,10.0,107.0,28.0,69.0,46.0,7.0,0.007,0.037,0.398,0.104,0.257,0.171,0.026,9.215,8.758,36.635,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,"[['id_source', 'building:use', 'amenity', 'building:material', 'geometry', 'id_misaligned']]",1.0,1.0,1546.0,"[0, 0, 0, 0, 0, 0]"
v0.1-MLT.1.12_1,Ċentrali,Tal-Pietà,"[1, 1, 1, 1, 1, 1]",371.0,185735.524,500.635,16.387,9824.066,1.505,7.198,122.447,0.0,0.0,129.0,0.348,371.0,1.0,17.0,8.0,248.0,40.0,7.0,38.0,13.0,0.046,0.022,0.668,0.108,0.019,0.102,0.035,6.279,3.348,40.595,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,"[['id_source', 'building:use', 'amenity', 'building:material', 'geometry', 'id_misaligned']]",1.0,1.0,1987.0,"[0, 0, 0, 0, 0, 0]"
v0.1-MLT.1.13_1,Ċentrali,Tas-Sliema,"[1, 1, 1, 1, 1, 1]",728.0,734682.029,1009.179,21.407,11633.696,1.251,7.998,1070.398,0.0,0.0,235.0,0.323,728.0,1.0,22.0,39.0,336.0,80.0,28.0,117.0,106.0,0.03,0.054,0.462,0.11,0.038,0.161,0.146,10.785,4.467,66.868,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,"[['id_source', 'building:use', 'amenity', 'building:material', 'geometry', 'id_misaligned']]",1.0,1.0,1087.0,"[0, 0, 0, 0, 0, 0]"
v0.1-MLT.2.1_1,Għawdex,Għajnsielem,"[1, 1, 1, 1, 1, 1]",2247.0,379967.208,169.1,16.567,7064.033,1.104,6.977,72.206,0.0,0.0,788.0,0.351,2247.0,1.0,180.0,200.0,1378.0,224.0,165.0,96.0,4.0,0.08,0.089,0.613,0.1,0.073,0.043,0.002,4.453,3.028,65.007,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,"[['id_source', 'building:use', 'amenity', 'building:material', 'geometry', 'id_misaligned']]",1.0,1.0,1268.0,"[0, 0, 0, 0, 0, 0]"
v0.1-MLT.2.2_1,Għawdex,Il-Belt Victoria,"[1, 1, 1, 1, 1, 1]",1717.0,635261.01,369.983,20.591,13666.206,1.101,6.867,210.227,0.0,0.0,594.0,0.346,1717.0,1.0,100.0,138.0,962.0,196.0,168.0,141.0,12.0,0.058,0.08,0.56,0.114,0.098,0.082,0.007,5.642,3.388,41.955,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,"[['id_source', 'building:use', 'amenity', 'building:material', 'geometry', 'id_misaligned']]",1.0,1.0,1907.0,"[0, 0, 0, 0, 0, 0]"
v0.1-MLT.2.3_1,Għawdex,Il-Fontana,"[1, 1, 1, 1, 1, 1]",472.0,98022.27,207.674,20.37,4483.335,1.129,8.615,134.272,0.0,0.0,143.0,0.303,472.0,1.0,30.0,26.0,260.0,70.0,51.0,33.0,2.0,0.064,0.055,0.551,0.148,0.108,0.07,0.004,5.518,3.416,32.018,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,"[['id_source', 'building:use', 'amenity', 'building:material', 'geometry', 'id_misaligned']]",1.0,1.0,1575.0,"[0, 0, 0, 0, 0, 0]"
v0.1-MLT.2.4_1,Għawdex,Il-Munxar,"[1, 1, 1, 1, 1, 1]",1150.0,152470.5,132.583,10.016,5005.042,1.058,4.179,42.645,0.0,0.0,575.0,0.5,1150.0,1.0,120.0,183.0,604.0,115.0,80.0,45.0,3.0,0.104,0.159,0.525,0.1,0.07,0.039,0.003,4.214,2.696,30.721,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,"[['id_source', 'building:use', 'amenity', 'building:material', 'geometry', 'id_misaligned']]",1.0,1.0,1397.0,"[0, 0, 0, 0, 0, 0]"
v0.1-MLT.2.5_1,Għawdex,Il-Qala,"[1, 1, 1, 1, 1, 1]",3258.0,456515.185,140.121,13.003,10535.805,1.023,5.7,44.198,0.0,0.0,1379.0,0.423,3258.0,1.0,305.0,434.0,1782.0,367.0,290.0,77.0,3.0,0.094,0.133,0.547,0.113,0.089,0.024,0.001,4.222,2.87,42.579,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,"[['id_source', 'building:use', 'amenity', 'building:material', 'geometry', 'id_misaligned']]",1.0,1.0,1447.0,"[0, 0, 0, 0, 0, 0]"
v0.1-MLT.2.6_1,Għawdex,In-Nadur,"[1, 1, 1, 1, 1, 1]",1991.0,226879.555,113.953,12.539,4723.251,1.029,5.205,46.757,0.0,0.0,890.0,0.447,1991.0,1.0,202.0,314.0,1011.0,209.0,196.0,56.0,3.0,0.101,0.158,0.508,0.105,0.098,0.028,0.002,4.293,2.737,33.565,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,"[['id_source', 'building:use', 'amenity', 'building:material', 'geometry', 'id_misaligned']]",1.0,1.0,1350.0,"[0, 0, 0, 0, 0, 0]"
v0.1-MLT.2.7_1,Għawdex,Ix-Xagħra,"[1, 1, 1, 1, 1, 1]",3791.0,510942.221,134.778,15.204,8469.764,1.045,5.834,63.755,0.0,0.0,1476.0,0.389,3791.0,1.0,296.0,468.0,2081.0,472.0,352.0,118.0,4.0,0.078,0.123,0.549,0.125,0.093,0.031,0.001,4.544,3.058,109.382,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,"[['id_source', 'building:use', 'amenity', 'building:material', 'geometry', 'id_misaligned']]",1.0,1.0,1471.0,"[0, 0, 0, 0, 0, 0]"
v0.1-MLT.2.8_1,Għawdex,Ix-Xewkija,"[1, 1, 1, 1, 1, 1]",2366.0,505587.315,213.689,20.105,14077.7,1.048,7.803,96.736,0.0,0.0,772.0,0.326,2366.0,1.0,156.0,218.0,1362.0,343.0,238.0,47.0,2.0,0.066,0.092,0.576,0.145,0.101,0.02,0.001,4.585,3.206,68.005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,"[['id_source', 'building:use', 'amenity', 'building:material', 'geometry', 'id_misaligned']]",1.0,1.0,2537.0,"[0, 0, 0, 0, 0, 0]"
v0.1-MLT.2.9_1,Għawdex,Iż-Żebbuġ,"[1, 1, 1, 1, 1, 1]",1806.0,264568.612,146.494,9.425,6686.494,1.006,4.037,31.9,0.0,0.0,941.0,0.521,1806.0,1.0,210.0,320.0,907.0,178.0,91.0,81.0,19.0,0.116,0.177,0.502,0.099,0.05,0.045,0.011,4.3,2.628,35.349,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,"[['id_source', 'building:use', 'amenity', 'building:material', 'geometry', 'id_misaligned']]",1.0,1.0,1417.0,"[0, 0, 0, 0, 0, 0]"
v0.1-MLT.2.10_1,Għawdex,L-Għarb,"[1, 1, 1, 1, 1, 1]",1369.0,165961.75,121.228,8.106,5189.147,1.074,3.903,28.416,0.0,0.0,763.0,0.557,1369.0,1.0,203.0,229.0,700.0,99.0,116.0,21.0,1.0,0.148,0.167,0.511,0.072,0.085,0.015,0.001,3.687,2.454,50.546,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,"[['id_source', 'building:use', 'amenity', 'building:material', 'geometry', 'id_misaligned']]",1.0,1.0,821.0,"[0, 0, 0, 0, 0, 0]"
v0.1-MLT.2.11_1,Għawdex,L-Għasri,"[1, 1, 1, 1, 1, 1]",1060.0,93760.158,88.453,9.936,4431.489,1.074,4.293,43.161,0.0,0.0,532.0,0.502,1060.0,1.0,128.0,162.0,580.0,121.0,61.0,7.0,1.0,0.121,0.153,0.547,0.114,0.058,0.007,0.001,3.597,2.657,37.755,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,"[['id_source', 'building:use', 'amenity', 'building:material', 'geometry', 'id_misaligned']]",1.0,1.0,1300.0,"[0, 0, 0, 0, 0, 0]"
v0.1-MLT.2.12_1,Għawdex,San Lawrenz,"[1, 1, 1, 1, 1, 1]",878.0,82811.312,94.318,6.618,4711.215,1.074,3.286,27.289,0.0,0.0,519.0,0.591,878.0,1.0,142.0,207.0,395.0,70.0,59.0,4.0,1.0,0.162,0.236,0.45,0.08,0.067,0.005,0.001,3.323,2.269,33.474,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,"[['id_source', 'building:use', 'amenity', 'building:material', 'geometry', 'id_misaligned']]",1.0,1.0,1128.0,"[0, 0, 0, 0, 0, 0]"
v0.1-MLT.2.13_1,Għawdex,Sannat,"[1, 1, 1, 1, 1, 1]",1636.0,245458.399,150.036,14.071,4834.416,1.153,5.945,49.145,0.0,0.0,660.0,0.403,1636.0,1.0,121.0,197.0,984.0,183.0,112.0,38.0,1.0,0.074,0.12,0.601,0.112,0.068,0.023,0.001,4.1,2.944,31.131,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,"[['id_source', 'building:use', 'amenity', 'building:material', 'geometry', 'id_misaligned']]",1.0,1.0,1707.0,"[0, 0, 0, 0, 0, 0]"
