id,region,city,n_files,bldgs_n_tot,a_tot,a_mean,a_med,a_max,a_min,a_25,a_75,a_n_0,a_p_0,a_n_10,a_p_10,height_n,height_p,height_n_inf_0,height_n_0_2,height_n_3_5,height_n_6_10,height_n_11_15,height_n_16_25,height_n_26_inf,height_p_inf_0,height_p_0_2,height_p_3_5,height_p_6_10,height_p_11_15,height_p_16_25,height_p_26_inf,height_mean,height_med,height_max,height_min,age_n,age_p,age_n_0_1800,age_n_1801_1900,age_n_1901_1950,age_n_1951_2000,age_n_2001_2022,age_n_2023_inf,age_p_0_1800,age_p_1801_1900,age_p_1901_1950,age_p_1951_2000,age_p_2001_2022,age_p_2023_inf,age_mean,age_med,age_max,age_min,type_n,type_p,type_n_res,type_n_non_res,type_p_res,type_p_non_res,extra_attribs,const_bldgs_file,const_id_files,n_bldg_buffer,unnamed_0_bits
v0.1-NLD.1.1_1,Drenthe,Aa en Hunze,"[1, 1, 1, 0, 1, 1]",23227.0,2966797.714,127.731,76.357,26192.955,0.637,40.738,127.838,0.0,0.0,587.0,0.025,23227.0,1.0,0.0,54.0,10419.0,12689.0,56.0,8.0,1.0,0.0,0.002,0.449,0.546,0.002,0.0,0.0,5.062,5.319,35.113,0.338,23227.0,1.0,48.0,677.0,4256.0,14411.0,3835.0,0.0,0.002,0.029,0.183,0.62,0.165,0.0,1969.96,1975.0,2019.0,1328.0,0.0,0.0,0.0,0.0,0.0,0.0,[0],1.0,0.0,4743.0,"[0, 0, 0, 0, 0, 0]"
v0.1-NLD.1.2_1,Drenthe,Assen,"[1, 1, 1, 0, 1, 1]",40974.0,3936964.411,96.084,54.467,22946.538,0.064,15.203,86.241,0.0,0.0,6327.0,0.154,40974.0,1.0,0.0,67.0,17121.0,23074.0,617.0,82.0,13.0,0.0,0.002,0.418,0.563,0.015,0.002,0.0,5.487,6.179,40.213,1.452,40974.0,1.0,14.0,426.0,2621.0,28320.0,9593.0,0.0,0.0,0.01,0.064,0.691,0.234,0.0,1981.286,1983.0,2019.0,1467.0,0.0,0.0,0.0,0.0,0.0,0.0,[0],1.0,0.0,1046.0,"[0, 0, 0, 0, 0, 0]"
v0.1-NLD.1.3_1,Drenthe,Borger-Odoorn,"[1, 1, 1, 0, 1, 1]",25672.0,3148351.872,122.638,67.247,11237.839,0.018,31.838,112.961,0.0,0.0,1000.0,0.039,25672.0,1.0,0.0,64.0,12187.0,13360.0,56.0,4.0,1.0,0.0,0.002,0.475,0.52,0.002,0.0,0.0,4.964,5.153,31.363,0.299,25672.0,1.0,10.0,334.0,5570.0,15350.0,4408.0,0.0,0.0,0.013,0.217,0.598,0.172,0.0,1970.274,1975.0,2019.0,1640.0,0.0,0.0,0.0,0.0,0.0,0.0,[0],1.0,0.0,6584.0,"[0, 0, 0, 0, 0, 0]"
v0.1-NLD.1.4_1,Drenthe,Coevorden,"[1, 1, 1, 0, 1, 1]",27069.0,4260042.761,157.377,75.787,42892.2,0.064,44.922,126.451,0.0,0.0,894.0,0.033,27069.0,1.0,0.0,19.0,11189.0,15732.0,98.0,26.0,5.0,0.0,0.001,0.413,0.581,0.004,0.001,0.0,5.277,5.57,107.595,0.604,27069.0,1.0,106.0,503.0,3030.0,19594.0,3836.0,0.0,0.004,0.019,0.112,0.724,0.142,0.0,1973.452,1976.0,2019.0,1284.0,0.0,0.0,0.0,0.0,0.0,0.0,[0],1.0,0.0,2860.0,"[0, 0, 0, 0, 0, 0]"
v0.1-NLD.1.5_1,Drenthe,De Wolden,"[1, 1, 1, 0, 1, 1]",18342.0,2821825.508,153.845,85.109,12408.046,1.55,47.484,141.53,0.0,0.0,492.0,0.027,18342.0,1.0,0.0,69.0,8255.0,9997.0,20.0,1.0,0.0,0.0,0.004,0.45,0.545,0.001,0.0,0.0,5.026,5.229,16.75,1.507,18342.0,1.0,88.0,552.0,2459.0,12424.0,2819.0,0.0,0.005,0.03,0.134,0.677,0.154,0.0,1972.629,1979.0,2019.0,1423.0,0.0,0.0,0.0,0.0,0.0,0.0,[0],1.0,0.0,3970.0,"[0, 0, 0, 0, 0, 0]"
v0.1-NLD.1.6_1,Drenthe,Emmen,"[1, 1, 1, 0, 1, 1]",72738.0,11358591.589,156.158,64.081,70215.742,0.498,25.748,102.235,0.0,0.0,4656.0,0.064,72738.0,1.0,0.0,45.0,32419.0,39784.0,377.0,93.0,20.0,0.0,0.001,0.446,0.547,0.005,0.001,0.0,5.06,5.481,40.876,0.642,72738.0,1.0,34.0,439.0,11538.0,49391.0,11336.0,0.0,0.0,0.006,0.159,0.679,0.156,0.0,1972.984,1973.0,2019.0,1456.0,0.0,0.0,0.0,0.0,0.0,0.0,[0],1.0,0.0,2119.0,"[0, 0, 0, 0, 0, 0]"
v0.1-NLD.1.7_1,Drenthe,Hoogeveen,"[1, 1, 1, 0, 1, 1]",33534.0,4308329.771,128.476,62.131,36137.02,1.193,26.896,100.298,0.0,0.0,2495.0,0.074,33534.0,1.0,0.0,40.0,13861.0,19190.0,341.0,65.0,37.0,0.0,0.001,0.413,0.572,0.01,0.002,0.001,5.408,5.747,37.467,0.554,33534.0,1.0,13.0,81.0,3636.0,24700.0,5104.0,0.0,0.0,0.002,0.108,0.737,0.152,0.0,1975.733,1974.0,2019.0,1652.0,0.0,0.0,0.0,0.0,0.0,0.0,[0],1.0,0.0,912.0,"[0, 0, 0, 0, 0, 0]"
v0.1-NLD.1.8_1,Drenthe,Meppel,"[1, 1, 1, 0, 1, 1]",17279.0,2144627.306,124.118,57.686,21092.028,0.263,21.575,91.53,0.0,0.0,2703.0,0.156,17279.0,1.0,0.0,5.0,5721.0,11261.0,261.0,19.0,12.0,0.0,0.0,0.331,0.652,0.015,0.001,0.001,5.752,6.26,40.129,1.462,17279.0,1.0,48.0,596.0,2797.0,11833.0,2005.0,0.0,0.003,0.034,0.162,0.685,0.116,0.0,1970.611,1976.0,2016.0,1477.0,0.0,0.0,0.0,0.0,0.0,0.0,[0],1.0,0.0,2334.0,"[0, 0, 0, 0, 0, 0]"
v0.1-NLD.1.9_1,Drenthe,Midden-Drenthe,"[1, 1, 1, 0, 1, 1]",26753.0,3981654.987,148.83,72.523,44897.991,0.571,33.23,120.885,0.0,0.0,1353.0,0.051,26753.0,1.0,0.0,105.0,11978.0,14576.0,78.0,10.0,6.0,0.0,0.004,0.448,0.545,0.003,0.0,0.0,5.076,5.336,87.846,0.845,26753.0,1.0,34.0,543.0,3822.0,17400.0,4954.0,0.0,0.001,0.02,0.143,0.65,0.185,0.0,1974.985,1978.0,2019.0,1400.0,0.0,0.0,0.0,0.0,0.0,0.0,[0],1.0,0.0,2824.0,"[0, 0, 0, 0, 0, 0]"
v0.1-NLD.1.10_1,Drenthe,Noordenveld,"[1, 1, 1, 0, 1, 1]",24111.0,2917612.048,121.008,70.733,18541.592,1.47,30.104,112.151,0.0,0.0,1193.0,0.049,24111.0,1.0,0.0,49.0,11014.0,12980.0,60.0,7.0,1.0,0.0,0.002,0.457,0.538,0.002,0.0,0.0,5.054,5.304,25.98,1.52,24111.0,1.0,52.0,460.0,2627.0,16635.0,4337.0,0.0,0.002,0.019,0.109,0.69,0.18,0.0,1975.786,1976.0,2019.0,1260.0,0.0,0.0,0.0,0.0,0.0,0.0,[0],1.0,0.0,7066.0,"[0, 0, 0, 0, 0, 0]"
