id,region,city,n_files,bldgs_n_tot,a_tot,a_mean,a_med,a_max,a_min,a_25,a_75,a_n_0,a_p_0,a_n_10,a_p_10,height_n,height_p,height_n_inf_0,height_n_0_2,height_n_3_5,height_n_6_10,height_n_11_15,height_n_16_25,height_n_26_inf,height_p_inf_0,height_p_0_2,height_p_3_5,height_p_6_10,height_p_11_15,height_p_16_25,height_p_26_inf,height_mean,height_med,height_max,height_min,age_n,age_p,age_n_0_1800,age_n_1801_1900,age_n_1901_1950,age_n_1951_2000,age_n_2001_2022,age_n_2023_inf,age_p_0_1800,age_p_1801_1900,age_p_1901_1950,age_p_1951_2000,age_p_2001_2022,age_p_2023_inf,age_mean,age_med,age_max,age_min,type_n,type_p,type_n_res,type_n_non_res,type_p_res,type_p_non_res,extra_attribs,const_bldgs_file,const_id_files,n_bldg_buffer,unnamed_0_bits
v0.1-SVK.1.1_1,Banskobystrický,Banská Bystrica,"[1, 1, 1, 1, 1, 1]",53784.0,7057393.755,131.217,70.544,21706.727,2.725,30.103,141.705,0.0,0.0,48.0,0.001,53157.0,0.99,0.0,652.0,23869.0,22854.0,4538.0,876.0,368.0,0.0,0.012,0.444,0.425,0.084,0.016,0.007,6.275,,87.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,51128.0,0.951,21358.0,29770.0,0.397,0.554,"[['id_source', 'conditionOfConstruction', 'status', 'heightReference', 'buildingNature', 'verticalGeometryEstimatedAccuracy', 'geometry', 'id_misaligned']]",1.0,1.0,746.0,"[0, 0, 0, 0, 0, 0]"
v0.1-SVK.1.2_1,Banskobystrický,Banská Štiavnica,"[1, 1, 1, 1, 1, 1]",16394.0,1615599.756,98.548,56.701,4930.328,3.931,26.639,128.403,0.0,0.0,163.0,0.01,16003.0,0.98,0.0,707.0,7074.0,7346.0,631.0,197.0,48.0,0.0,0.043,0.431,0.448,0.038,0.012,0.003,5.918,,49.0,1.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,13589.0,0.829,5941.0,7648.0,0.362,0.467,"[['id_source', 'conditionOfConstruction', 'status', 'heightReference', 'buildingNature', 'verticalGeometryEstimatedAccuracy', 'geometry', 'id_misaligned']]",1.0,1.0,232.0,"[0, 0, 0, 0, 0, 0]"
v0.1-SVK.1.3_1,Banskobystrický,Brezno,"[1, 1, 1, 1, 1, 1]",40705.0,5241158.815,128.76,88.928,62926.394,5.76,42.747,136.067,0.0,0.0,172.0,0.004,35451.0,0.87,0.0,472.0,11000.0,21797.0,1774.0,292.0,116.0,0.0,0.012,0.27,0.535,0.044,0.007,0.003,6.654,,46.131,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,36789.0,0.904,17542.0,19247.0,0.431,0.473,"[['id_source', 'conditionOfConstruction', 'status', 'heightReference', 'buildingNature', 'verticalGeometryEstimatedAccuracy', 'geometry', 'id_misaligned']]",1.0,1.0,459.0,"[0, 0, 0, 0, 0, 0]"
v0.1-SVK.1.4_1,Banskobystrický,Detva,"[1, 1, 1, 1, 1, 1]",25139.0,2826494.142,112.435,81.157,10349.273,0.32,36.412,134.959,0.0,0.0,341.0,0.014,21762.0,0.87,0.0,80.0,8458.0,12357.0,744.0,84.0,39.0,0.0,0.003,0.336,0.492,0.03,0.003,0.002,6.172,,39.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,20975.0,0.834,9050.0,11925.0,0.36,0.474,"[['id_source', 'conditionOfConstruction', 'status', 'heightReference', 'buildingNature', 'verticalGeometryEstimatedAccuracy', 'geometry', 'id_misaligned']]",1.0,1.0,1053.0,"[0, 0, 0, 0, 0, 0]"
v0.1-SVK.1.5_1,Banskobystrický,Krupina,"[1, 1, 1, 1, 1, 1]",28245.0,3092087.122,109.474,61.384,19929.872,6.151,30.033,135.068,0.0,0.0,65.0,0.002,27610.0,0.98,0.0,160.0,12601.0,13764.0,949.0,106.0,30.0,0.0,0.006,0.446,0.487,0.034,0.004,0.001,5.569,,51.9,1.674,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,22500.0,0.797,8960.0,13540.0,0.317,0.479,"[['id_source', 'conditionOfConstruction', 'status', 'heightReference', 'buildingNature', 'verticalGeometryEstimatedAccuracy', 'geometry', 'id_misaligned']]",1.0,1.0,1103.0,"[0, 0, 0, 0, 0, 0]"
v0.1-SVK.1.6_1,Banskobystrický,Lucenec,"[1, 1, 1, 1, 1, 1]",55230.0,6278247.794,113.675,62.81,37132.259,4.469,29.572,130.86,0.0,0.0,471.0,0.009,51918.0,0.94,0.0,1889.0,24715.0,23368.0,1484.0,331.0,131.0,0.0,0.034,0.447,0.423,0.027,0.006,0.002,5.452,,72.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,44917.0,0.813,19110.0,25807.0,0.346,0.467,"[['id_source', 'conditionOfConstruction', 'status', 'heightReference', 'buildingNature', 'verticalGeometryEstimatedAccuracy', 'geometry', 'id_misaligned']]",1.0,1.0,1833.0,"[0, 0, 0, 0, 0, 0]"
v0.1-SVK.1.7_1,Banskobystrický,Poltár,"[1, 1, 1, 1, 1, 1]",18357.0,2305578.218,125.597,86.553,8756.956,5.888,43.093,144.899,0.0,0.0,57.0,0.003,17163.0,0.93,0.0,528.0,6679.0,9330.0,544.0,62.0,20.0,0.0,0.029,0.364,0.508,0.03,0.003,0.001,5.879,,33.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,16513.0,0.9,7312.0,9201.0,0.398,0.501,"[['id_source', 'conditionOfConstruction', 'status', 'heightReference', 'buildingNature', 'verticalGeometryEstimatedAccuracy', 'geometry', 'id_misaligned']]",1.0,1.0,1165.0,"[0, 0, 0, 0, 0, 0]"
v0.1-SVK.1.8_1,Banskobystrický,Revúca,"[1, 1, 1, 1, 1, 1]",29245.0,3286670.949,112.384,53.98,189817.397,2.331,24.568,129.209,0.0,0.0,1054.0,0.036,27053.0,0.93,0.0,1344.0,13274.0,11507.0,693.0,182.0,53.0,0.0,0.046,0.454,0.393,0.024,0.006,0.002,5.511,,53.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,27264.0,0.932,13067.0,14197.0,0.447,0.485,"[['id_source', 'conditionOfConstruction', 'status', 'heightReference', 'buildingNature', 'verticalGeometryEstimatedAccuracy', 'geometry', 'id_misaligned']]",1.0,1.0,1627.0,"[0, 0, 0, 0, 0, 0]"
v0.1-SVK.1.9_1,Banskobystrický,Rimavská Sobota,"[1, 1, 1, 1, 1, 1]",58693.0,6922672.162,117.947,69.908,21067.449,5.075,33.208,133.689,0.0,0.0,76.0,0.001,48265.0,0.82,0.0,3628.0,20634.0,22483.0,1208.0,202.0,110.0,0.0,0.062,0.352,0.383,0.021,0.003,0.002,5.67,,72.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,49675.0,0.846,22310.0,27365.0,0.38,0.466,"[['id_source', 'conditionOfConstruction', 'status', 'heightReference', 'buildingNature', 'verticalGeometryEstimatedAccuracy', 'geometry', 'id_misaligned']]",1.0,1.0,1808.0,"[0, 0, 0, 0, 0, 0]"
v0.1-SVK.1.10_1,Banskobystrický,Velký Krtíš,"[1, 1, 1, 1, 1, 1]",44617.0,4825198.96,108.147,55.559,28172.96,3.3,27.675,132.167,0.0,0.0,54.0,0.001,43805.0,0.98,0.0,512.0,21710.0,19975.0,1427.0,123.0,58.0,0.0,0.011,0.487,0.448,0.032,0.003,0.001,5.348,,52.528,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,36412.0,0.816,14655.0,21757.0,0.328,0.488,"[['id_source', 'conditionOfConstruction', 'status', 'heightReference', 'buildingNature', 'verticalGeometryEstimatedAccuracy', 'geometry', 'id_misaligned']]",1.0,1.0,1448.0,"[0, 0, 0, 0, 0, 0]"
