id,region,city,n_files,bldgs_n_tot,a_tot,a_mean,a_med,a_max,a_min,a_25,a_75,a_n_0,a_p_0,a_n_10,a_p_10,height_n,height_p,height_n_inf_0,height_n_0_2,height_n_3_5,height_n_6_10,height_n_11_15,height_n_16_25,height_n_26_inf,height_p_inf_0,height_p_0_2,height_p_3_5,height_p_6_10,height_p_11_15,height_p_16_25,height_p_26_inf,height_mean,height_med,height_max,height_min,age_n,age_p,age_n_0_1800,age_n_1801_1900,age_n_1901_1950,age_n_1951_2000,age_n_2001_2022,age_n_2023_inf,age_p_0_1800,age_p_1801_1900,age_p_1901_1950,age_p_1951_2000,age_p_2001_2022,age_p_2023_inf,age_mean,age_med,age_max,age_min,type_n,type_p,type_n_res,type_n_non_res,type_p_res,type_p_non_res,extra_attribs,const_bldgs_file,const_id_files,n_bldg_buffer,unnamed_0_bits
v0.1-SWE.1.1_1,Blekinge,Karlshamn,"[1, 1, 1, 1, 1, 1]",4182.0,1288783.966,308.174,148.294,57719.754,5.753,90.413,235.158,0.0,0.0,19.0,0.005,54.0,0.01,0.0,0.0,50.0,4.0,0.0,0.0,0.0,0.0,0.0,0.012,0.001,0.0,0.0,0.0,3.315,,10.0,2.5,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1918.0,,1918.0,1918.0,1685.0,0.403,1291.0,394.0,0.309,0.094,"[['id_source', 'building:use', 'amenity', 'building:material', 'geometry', 'id_misaligned']]",1.0,1.0,99.0,"[0, 0, 0, 0, 0, 0]"
v0.1-SWE.1.2_1,Blekinge,Karlskrona,"[1, 1, 1, 1, 1, 1]",15311.0,3127630.536,204.273,107.463,40354.147,2.871,47.906,174.404,0.0,0.0,205.0,0.013,77.0,0.01,0.0,0.0,69.0,7.0,0.0,0.0,1.0,0.0,0.0,0.005,0.0,0.0,0.0,0.0,5.331,,90.0,2.5,3.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1847.0,,1918.0,1705.0,1050.0,0.069,750.0,300.0,0.049,0.02,"[['id_source', 'building:use', 'amenity', 'building:material', 'geometry', 'id_misaligned']]",1.0,1.0,62.0,"[0, 0, 0, 0, 0, 0]"
v0.1-SWE.1.3_1,Blekinge,Olofström,"[1, 1, 1, 1, 1, 1]",1042.0,606847.403,582.387,135.024,116542.349,4.313,78.047,260.188,0.0,0.0,8.0,0.008,5.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005,0.0,0.0,0.0,0.0,4.0,,5.0,2.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,24.0,0.023,10.0,14.0,0.01,0.013,"[['id_source', 'building:use', 'amenity', 'building:material', 'geometry', 'id_misaligned']]",1.0,1.0,133.0,"[0, 0, 0, 0, 0, 0]"
v0.1-SWE.1.4_1,Blekinge,Ronneby,"[1, 1, 1, 1, 1, 1]",1508.0,683895.264,453.511,149.067,18980.736,3.858,93.803,309.768,0.0,0.0,3.0,0.002,115.0,0.08,0.0,0.0,108.0,6.0,1.0,0.0,0.0,0.0,0.0,0.072,0.004,0.001,0.0,0.0,3.239,,12.5,2.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,573.0,0.38,445.0,128.0,0.295,0.085,"[['id_source', 'building:use', 'amenity', 'building:material', 'geometry', 'id_misaligned']]",1.0,1.0,28.0,"[0, 0, 0, 0, 0, 0]"
v0.1-SWE.1.5_1,Blekinge,Sölvesborg,"[1, 1, 1, 1, 1, 1]",928.0,413516.418,445.6,160.2,29788.568,14.334,99.826,334.389,0.0,0.0,0.0,0.0,12.0,0.01,0.0,0.0,7.0,3.0,2.0,0.0,0.0,0.0,0.0,0.008,0.003,0.002,0.0,0.0,6.042,,12.5,2.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,167.0,0.18,131.0,36.0,0.141,0.039,"[['id_source', 'building:use', 'amenity', 'building:material', 'geometry', 'id_misaligned']]",1.0,1.0,2.0,"[0, 0, 0, 0, 0, 0]"
v0.1-SWE.2.1_1,Dalarna,Älvdalen,"[1, 1, 1, 1, 1, 1]",5165.0,790368.873,153.024,100.786,6792.094,5.424,61.305,160.365,0.0,0.0,6.0,0.001,149.0,0.03,0.0,0.0,148.0,1.0,0.0,0.0,0.0,0.0,0.0,0.029,0.0,0.0,0.0,0.0,3.376,,10.0,2.5,4.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1771.75,,1997.0,1285.0,2287.0,0.443,1384.0,903.0,0.268,0.175,"[['id_source', 'building:use', 'amenity', 'building:material', 'geometry', 'id_misaligned']]",1.0,1.0,244.0,"[0, 0, 0, 0, 0, 0]"
v0.1-SWE.2.2_1,Dalarna,Avesta,"[1, 1, 1, 1, 1, 1]",4839.0,1538477.571,317.933,120.214,38016.668,4.107,73.536,221.003,0.0,0.0,5.0,0.001,132.0,0.03,1.0,0.0,99.0,21.0,0.0,10.0,1.0,0.0,0.0,0.02,0.004,0.0,0.002,0.0,5.644,,30.0,0.0,3.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1898.0,,1913.0,1878.0,437.0,0.09,235.0,202.0,0.049,0.042,"[['id_source', 'building:use', 'amenity', 'building:material', 'geometry', 'id_misaligned']]",1.0,1.0,193.0,"[0, 0, 0, 0, 0, 0]"
v0.1-SWE.2.3_1,Dalarna,Borlänge,"[1, 1, 1, 1, 1, 1]",11936.0,3496272.978,292.918,129.876,69030.426,2.446,84.068,206.84,0.0,0.0,16.0,0.001,976.0,0.08,0.0,2.0,708.0,209.0,31.0,18.0,8.0,0.0,0.0,0.059,0.018,0.003,0.002,0.001,5.71,,40.0,2.0,19.0,0.0,2.0,2.0,10.0,2.0,3.0,0.0,0.0,0.0,0.001,0.0,0.0,0.0,1894.316,,2021.0,1469.0,2620.0,0.22,2104.0,516.0,0.176,0.043,"[['id_source', 'building:use', 'amenity', 'building:material', 'geometry', 'id_misaligned']]",1.0,1.0,350.0,"[0, 0, 0, 0, 0, 0]"
v0.1-SWE.2.4_1,Dalarna,Falun,"[1, 1, 1, 1, 1, 1]",19380.0,3793632.224,195.75,107.924,37211.847,2.645,59.434,178.372,0.0,0.0,158.0,0.008,2427.0,0.13,2.0,1.0,2051.0,317.0,36.0,16.0,4.0,0.0,0.0,0.106,0.016,0.002,0.001,0.0,4.398,,52.0,0.0,29.0,0.0,5.0,11.0,6.0,5.0,2.0,0.0,0.0,0.001,0.0,0.0,0.0,0.0,1882.724,,2020.0,1655.0,8779.0,0.453,5649.0,3130.0,0.291,0.162,"[['id_source', 'building:use', 'amenity', 'building:material', 'geometry', 'id_misaligned']]",1.0,1.0,388.0,"[0, 0, 0, 0, 0, 0]"
v0.1-SWE.2.5_1,Dalarna,Gagnef,"[1, 1, 1, 1, 1, 1]",1941.0,343753.348,177.101,87.879,15174.033,2.363,46.121,149.051,0.0,0.0,9.0,0.005,13.0,0.01,0.0,0.0,12.0,0.0,0.0,0.0,1.0,0.0,0.0,0.006,0.0,0.0,0.0,0.001,5.385,,30.0,2.5,4.0,0.0,0.0,0.0,2.0,1.0,1.0,0.0,0.0,0.0,0.001,0.001,0.001,0.0,1960.25,,2009.0,1930.0,262.0,0.135,175.0,87.0,0.09,0.045,"[['id_source', 'building:use', 'amenity', 'building:material', 'geometry', 'id_misaligned']]",1.0,1.0,89.0,"[0, 0, 0, 0, 0, 0]"
