id,region,city,n_files,bldgs_n_tot,a_tot,a_mean,a_med,a_max,a_min,a_25,a_75,a_n_0,a_p_0,a_n_10,a_p_10,height_n,height_p,height_n_inf_0,height_n_0_2,height_n_3_5,height_n_6_10,height_n_11_15,height_n_16_25,height_n_26_inf,height_p_inf_0,height_p_0_2,height_p_3_5,height_p_6_10,height_p_11_15,height_p_16_25,height_p_26_inf,height_mean,height_med,height_max,height_min,age_n,age_p,age_n_0_1800,age_n_1801_1900,age_n_1901_1950,age_n_1951_2000,age_n_2001_2022,age_n_2023_inf,age_p_0_1800,age_p_1801_1900,age_p_1901_1950,age_p_1951_2000,age_p_2001_2022,age_p_2023_inf,age_mean,age_med,age_max,age_min,type_n,type_p,type_n_res,type_n_non_res,type_p_res,type_p_non_res,extra_attribs,const_bldgs_file,const_id_files,n_bldg_buffer,unnamed_0_bits
v0.1-CHE.1.1_1,Aargau,Aarau,"[1, 1, 1, 1, 1, 1]",17253.0,4333319.667,251.163,129.305,53123.25,1.767,81.928,218.074,0.0,0.0,168.0,0.01,17253.0,1.0,1.0,425.0,975.0,13904.0,1602.0,316.0,30.0,0.0,0.025,0.057,0.806,0.093,0.018,0.002,7.264,6.66,53.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,"[['id_source', 'max_height', 'id_misaligned']]",1.0,0.0,2893.0,"[0, 0, 0, 0, 0, 0]"
v0.1-CHE.1.2_1,Aargau,Baden,"[1, 1, 1, 1, 1, 1]",25416.0,7002847.112,275.529,148.041,28544.72,0.797,94.634,264.541,0.0,0.0,331.0,0.013,25416.0,1.0,5.0,533.0,1123.0,19786.0,3338.0,526.0,105.0,0.0,0.021,0.044,0.778,0.131,0.021,0.004,7.774,7.17,103.62,-0.44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,"[['id_source', 'max_height', 'id_misaligned']]",1.0,0.0,3548.0,"[0, 0, 0, 0, 0, 0]"
v0.1-CHE.1.3_1,Aargau,Bremgarten,"[1, 1, 1, 1, 1, 1]",19194.0,4653065.941,242.423,142.424,48621.023,0.404,86.316,239.857,0.0,0.0,331.0,0.017,19194.0,1.0,15.0,548.0,1038.0,15532.0,1717.0,297.0,47.0,0.001,0.029,0.054,0.809,0.089,0.015,0.002,7.386,6.76,222.15,-1.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,"[['id_source', 'max_height', 'id_misaligned']]",1.0,0.0,3344.0,"[0, 0, 0, 0, 0, 0]"
v0.1-CHE.1.4_1,Aargau,Brugg,"[1, 1, 1, 1, 1, 1]",14052.0,3524698.971,250.833,134.033,75334.231,2.601,82.013,229.879,0.0,0.0,358.0,0.025,14052.0,1.0,2.0,405.0,876.0,11547.0,997.0,196.0,29.0,0.0,0.029,0.062,0.822,0.071,0.014,0.002,7.046,6.525,52.94,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,"[['id_source', 'max_height', 'id_misaligned']]",1.0,0.0,2786.0,"[0, 0, 0, 0, 0, 0]"
v0.1-CHE.1.5_1,Aargau,Kulm,"[1, 1, 1, 1, 1, 1]",14608.0,3149163.57,215.578,128.276,35850.31,1.075,78.126,217.245,0.0,0.0,339.0,0.023,14608.0,1.0,4.0,407.0,784.0,11970.0,1280.0,159.0,4.0,0.0,0.028,0.054,0.819,0.088,0.011,0.0,7.133,6.78,47.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,"[['id_source', 'max_height', 'id_misaligned']]",1.0,0.0,4312.0,"[0, 0, 0, 0, 0, 0]"
v0.1-CHE.1.6_1,Aargau,Laufenburg,"[1, 1, 1, 1, 1, 1]",11794.0,2797544.096,237.201,139.972,30597.664,1.246,75.225,235.837,0.0,0.0,436.0,0.037,11794.0,1.0,3.0,502.0,739.0,9501.0,880.0,146.0,23.0,0.0,0.043,0.063,0.806,0.075,0.012,0.002,6.95,6.43,139.72,-0.79,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,"[['id_source', 'max_height', 'id_misaligned']]",1.0,0.0,1197.0,"[0, 0, 0, 0, 0, 0]"
v0.1-CHE.1.7_1,Aargau,Lenzburg,"[1, 1, 1, 1, 1, 1]",18095.0,4536097.268,250.682,133.887,45596.143,0.86,85.934,223.815,0.0,0.0,196.0,0.011,18095.0,1.0,0.0,564.0,857.0,14938.0,1511.0,182.0,43.0,0.0,0.031,0.047,0.826,0.084,0.01,0.002,7.11,6.63,127.16,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,"[['id_source', 'max_height', 'id_misaligned']]",1.0,0.0,2665.0,"[0, 0, 0, 0, 0, 0]"
v0.1-CHE.1.8_1,Aargau,Muri,"[1, 1, 1, 1, 1, 1]",12730.0,2998962.16,235.582,143.777,28333.772,0.073,78.887,243.719,0.0,0.0,576.0,0.045,12730.0,1.0,2.0,545.0,571.0,10071.0,1303.0,210.0,28.0,0.0,0.043,0.045,0.791,0.102,0.016,0.002,7.243,6.74,32.38,-0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,"[['id_source', 'max_height', 'id_misaligned']]",1.0,0.0,2855.0,"[0, 0, 0, 0, 0, 0]"
v0.1-CHE.1.9_1,Aargau,Rheinfelden,"[1, 1, 1, 1, 1, 1]",10531.0,2986503.536,283.592,140.971,32994.82,1.051,85.84,247.051,0.0,0.0,242.0,0.023,10531.0,1.0,1.0,373.0,592.0,8448.0,866.0,213.0,38.0,0.0,0.035,0.056,0.802,0.082,0.02,0.004,7.224,6.59,48.78,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,"[['id_source', 'max_height', 'id_misaligned']]",1.0,0.0,1107.0,"[0, 0, 0, 0, 0, 0]"
v0.1-CHE.1.10_1,Aargau,Zofingen,"[1, 1, 1, 1, 1, 1]",20899.0,4930915.359,235.94,128.118,48695.303,1.792,78.126,219.769,0.0,0.0,464.0,0.022,20899.0,1.0,0.0,721.0,1247.0,16868.0,1710.0,334.0,19.0,0.0,0.034,0.06,0.807,0.082,0.016,0.001,7.035,6.53,40.92,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,"[['id_source', 'max_height', 'id_misaligned']]",1.0,0.0,3658.0,"[0, 0, 0, 0, 0, 0]"
