NAME_0,NAME_1
Sweden,Blekinge
Sweden,Dalarna
Sweden,Gävleborg
Sweden,Gotland
Sweden,Halland
Sweden,Jämtland
Sweden,Jönköping
Sweden,Kalmar
Sweden,Kronoberg
Sweden,Norrbotten
Sweden,Orebro
Sweden,Östergötland
Sweden,Skåne
Sweden,Södermanland
Sweden,Stockholm
Sweden,Uppsala
Sweden,Värmland
Sweden,Västerbotten
Sweden,Västernorrland
Sweden,Västmanland
Sweden,Västra Götaland
Romania,Alba
Romania,Arad
Romania,Argeș
Romania,Bacău
Romania,Bihor
Romania,Bistrița-Năsăud
Romania,Botoșani
Romania,Brașov
Romania,Brăila
Romania,Bucharest
Romania,Buzău
Romania,Călărași
Romania,Caraș-Severin
Romania,Cluj
Romania,Constanța
Romania,Covasna
Romania,Dâmbovița
Romania,Dolj
Romania,Galați
Romania,Giurgiu
Romania,Gorj
Romania,Harghita
Romania,Hunedoara
Romania,Iași
Romania,Ialomița
Romania,Ilfov
Romania,Maramureș
Romania,Mehedinți
Romania,Mureș
Romania,Neamț
Romania,Olt
Romania,Prahova
Romania,Sălaj
Romania,Satu Mare
Romania,Sibiu
Romania,Suceava
Romania,Teleorman
Romania,Timiș
Romania,Tulcea
Romania,Vâlcea
Romania,Vaslui
Romania,Vrancea
Croatia,Bjelovarska-Bilogorska
Croatia,Brodsko-Posavska
Croatia,Dubrovacko-Neretvanska
Croatia,Grad Zagreb
Croatia,Istarska
Croatia,Karlovacka
Croatia,Koprivničko-Križevačka
Croatia,Krapinsko-Zagorska
Croatia,Licko-Senjska
Croatia,Medimurska
Croatia,Osjecko-Baranjska
Croatia,Požeško-Slavonska
Croatia,Primorsko-Goranska
Croatia,Šibensko-Kninska
Croatia,Sisacko-Moslavacka
Croatia,Splitsko-Dalmatinska
Croatia,Varaždinska
Croatia,Viroviticko-Podravska
Croatia,Vukovarsko-Srijemska
Croatia,Zadarska
Croatia,Zagrebačka
Italy,Apulia
Italy,Campania
Italy,Friuli-Venezia Giulia
Italy,Marche
Italy,Molise
Italy,Umbria
Hungary,Bács-Kiskun
Hungary,Baranya
Hungary,Békés
Hungary,Borsod-Abaúj-Zemplén
Hungary,Budapest
Hungary,Csongrád
Hungary,Fejér
Hungary,Gyor-Moson-Sopron
Hungary,Hajdú-Bihar
Hungary,Heves
Hungary,Jász-Nagykun-Szolnok
Hungary,Komárom-Esztergom
Hungary,Nógrád
Hungary,Pest
Hungary,Somogy
Hungary,Szabolcs-Szatmár-Bereg
Hungary,Tolna
Hungary,Vas
Hungary,Veszprém
Hungary,Zala
Portugal,Aveiro
Portugal,Azores
Portugal,Beja
Portugal,Braga
Portugal,Bragança
Portugal,Castelo Branco
Portugal,Coimbra
Portugal,Évora
Portugal,Faro
Portugal,Guarda
Portugal,Leiria
Portugal,Lisboa
Portugal,Madeira
Portugal,Portalegre
Portugal,Porto
Portugal,Santarém
Portugal,Setúbal
Portugal,Viana do Castelo
Portugal,Vila Real
Portugal,Viseu
Spain,Comunidad Foral de Navarra
Spain,País Vasco
Latvia,Kurzeme
Latvia,Latgale
Latvia,Riga
Latvia,Vidzeme
Latvia,Zemgale
Ireland,Carlow
Ireland,Cavan
Ireland,Clare
Ireland,Cork
Ireland,Donegal
Ireland,Dublin
Ireland,Galway
Ireland,Kerry
Ireland,Kildare
Ireland,Kilkenny
Ireland,Laoighis
Ireland,Leitrim
Ireland,Limerick
Ireland,Longford
Ireland,Louth
Ireland,Mayo
Ireland,Meath
Ireland,Monaghan
Ireland,Offaly
Ireland,Roscommon
Ireland,Sligo
Ireland,Tipperary
Ireland,Waterford
Ireland,Westmeath
Ireland,Wexford
Ireland,Wicklow
Germany,Baden-Württemberg
Germany,Bayern
Germany,Bremen
Germany,Hessen
Germany,Rheinland-Pfalz
Germany,Saarland
Germany,Schleswig-Holstein
Austria,Burgenland
Austria,Kärnten
Austria,Niederösterreich
Austria,Salzburg
Austria,Steiermark
Austria,Tirol
Austria,Vorarlberg
Greece,Aegean
Greece,Athos
Greece,Attica
Greece,Crete
Greece,Epirus and Western Macedonia
Greece,Macedonia and Thrace
Greece,"Peloponnese, Western Greece and the Ionian Islands"
Greece,Thessaly and Central Greece
Bulgaria,Blagoevgrad
Bulgaria,Burgas
Bulgaria,Dobrich
Bulgaria,Gabrovo
Bulgaria,Grad Sofiya
Bulgaria,Haskovo
Bulgaria,Kardzhali
Bulgaria,Kyustendil
Bulgaria,Lovech
Bulgaria,Montana
Bulgaria,Pazardzhik
Bulgaria,Pernik
Bulgaria,Pleven
Bulgaria,Plovdiv
Bulgaria,Razgrad
Bulgaria,Ruse
Bulgaria,Shumen
Bulgaria,Silistra
Bulgaria,Sliven
Bulgaria,Smolyan
Bulgaria,Sofia
Bulgaria,Stara Zagora
Bulgaria,Targovishte
Bulgaria,Varna
Bulgaria,Veliko Tarnovo
Bulgaria,Vidin
Bulgaria,Vratsa
Bulgaria,Yambol
Lithuania,Alytaus
Lithuania,Kauno
Lithuania,Klaipedos
Lithuania,Marijampoles
Lithuania,Panevezio
Lithuania,Šiauliai
Lithuania,Taurages
Lithuania,Telšiai
Lithuania,Utenos
Lithuania,Vilniaus
